SampleID	sym_state	Original_airbrushing_slurry_volume	Airbrushing_surface_area_mm2	Sym_count_1	Sym_count_2	Sym_count_3	Sym_count_avg	Cells_per_mL	Total_Cells	Cells_per_mm2
2A3	Apo	15	778	0	1	0	0	3333	50000	64
2A7	Sym	15	562	75	86	83	81	813333	12200000	21708
2C1	Apo	15	773	0	0	0	0	0	0	0
2C8	Sym	11	1385	222	198	220	213	2133333	23466667	16943
2E9	Sym	15	1260	94	144	105	114	1143333	17150000	13611
2E14	Apo	15	1797	0	0	0	0	0	0	0
2F3	Sym	15	1283	214	163	211	196	1960000	29400000	22915
2F6	Apo	15	1229	0	0	0	0	0	0	0
2A1	Sym	16	1025	94	88	62	81	813333	13013333	12696
2A5	Apo	15	1512	1	0	1	1	6667	100000	66
2A8	Apo	5	348	1	0	0	0.333333333	3333.333333	16666.66667	47.89272031
2A13	Sym	6	208	55	48	24	42.33333333	423333.3333	2540000	12211.53846
2C6	Apo	6	335	0	0	0	0	0	0	0
269	Sym	6.5	356	92	96	71	86.33333333	863333.3333	5611666.667	15763.10861
2D6	Apo	4.5	331	0	0	0	0	0	0	0
2D7	Sym	4.5	360	24	34	17	25	250000	1125000	3125
2E8	Apo	6	358	0	0	0	0	0	0	0
2E4	Sym	6	487	75	45	17	45.66666667	456666.6667	2740000	5626.283368
2F8	Apo	6.5	350	0	1	1	0.666666667	6666.666667	43333.33333	123.8095238
2F1	Sym	7	251	53	39	39	43.66666667	436666.6667	3056666.667	12177.95485
