name	term	lev	seq	value
"lateral element"	GO:0000800	5	CCDC155	6.06856249895603
"lateral element"	GO:0000800	5	INCENP	7.3829236289862
"lateral element"	GO:0000800	5	SMC3	7.01512218158986
"lateral element"	GO:0000800	5	BLM	1.00855542331858
"lateral element"	GO:0000800	5	BRCA2	-0.0986624141783551
"lateral element"	GO:0000800	5	SMC1B	3.98142657026699
"lateral element"	GO:0000800	5	BRCA1	1.0635878270781
"lateral element"	GO:0000800	5	MEI4	5.74103619086653
"lateral element"	GO:0000800	5	HORMAD1	0.404943761579233
"lateral element"	GO:0000800	5	STAG3	2.69203477598649
"lateral element"	GO:0000800	5	SYCP3.1	0.248765353823682
"lateral element"	GO:0000800	5	BLM.2	0.0815548927014001
"microtubule organizing center part"	GO:0044450	2	KATNB1	0.954326788413818
"microtubule organizing center part"	GO:0044450	2	BBS4	0.515756975184916
"microtubule organizing center part"	GO:0044450	2	CEP89	3.68264259965981
"microtubule organizing center part"	GO:0044450	2	LRRCC1	0.67381253851706
"microtubule organizing center part"	GO:0044450	2	PARD6B	-0.134907312595515
"microtubule organizing center part"	GO:0044450	2	RTTN	-0.115904638580601
"microtubule organizing center part"	GO:0044450	2	FAM92A1.1	0.419150076415916
"microtubule organizing center part"	GO:0044450	2	CEP72	0.0685738339100219
"microtubule organizing center part"	GO:0044450	2	CFAP20	0.941023700579632
"microtubule organizing center part"	GO:0044450	2	MZT1	-0.580920567614607
"microtubule organizing center part"	GO:0044450	2	PLK1	0.334164021559722
"microtubule organizing center part"	GO:0044450	2	RP2	0.744797206509387
"microtubule organizing center part"	GO:0044450	2	CETN3	0.169339021303236
"microtubule organizing center part"	GO:0044450	2	CEP152	6.56593217369615
"microtubule organizing center part"	GO:0044450	2	RABL2B	-0.0612009868044241
"microtubule organizing center part"	GO:0044450	2	PPP2CB	-0.273542943051843
"microtubule organizing center part"	GO:0044450	2	TUBGCP2	-0.0149135019003876
"microtubule organizing center part"	GO:0044450	2	TUBGCP2.1	0.450846997045215
"microtubule organizing center part"	GO:0044450	2	TNKS	0.910443358153874
"microtubule organizing center part"	GO:0044450	2	ACTR1A	-0.0577070850126194
"microtubule organizing center part"	GO:0044450	2	DCTN1	2.76909824407905
"microtubule organizing center part"	GO:0044450	2	HTT	-1.06819295190357
"microtubule organizing center part"	GO:0044450	2	CEP83	2.84536491725609
"microtubule organizing center part"	GO:0044450	2	BCCIP	-0.0755329910645931
"microtubule organizing center part"	GO:0044450	2	ALMS1	0.590457181589398
"microtubule organizing center part"	GO:0044450	2	WDR34	0.378962238248466
"microtubule organizing center part"	GO:0044450	2	TACC2	4.05650561620874
"microtubule organizing center part"	GO:0044450	2	TUBGCP4	0.764135928157486
"microtubule organizing center part"	GO:0044450	2	CEP120	0.254239666436298
"microtubule organizing center part"	GO:0044450	2	KIF24	0.301855086995942
"microtubule organizing center part"	GO:0044450	2	CCDC113	-0.639152739748129
"microtubule organizing center part"	GO:0044450	2	CDK5RAP2	8.31286262828302
"microtubule organizing center part"	GO:0044450	2	CCDC151	-0.784202615398743
"microtubule organizing center part"	GO:0044450	2	FLOT1	15.8491668863329
"microtubule organizing center part"	GO:0044450	2	TUBGCP5	0.425362492467665
"microtubule organizing center part"	GO:0044450	2	BLOC1S2	0.298562917460471
"microtubule organizing center part"	GO:0044450	2	CROCC.1	48.3889409746345
"microtubule organizing center part"	GO:0044450	2	CEP19	-0.280260558261015
"microtubule organizing center part"	GO:0044450	2	CEP104	-0.452346869370217
"microtubule organizing center part"	GO:0044450	2	IFT88	-0.784440073194093
"microtubule organizing center part"	GO:0044450	2	KATNA1	1.00785281053638
"microtubule organizing center part"	GO:0044450	2	CEP85	1.16745489179141
"microtubule organizing center part"	GO:0044450	2	CEP162	0.791378790160506
"microtubule organizing center part"	GO:0044450	2	TTBK2	0.780834365289803
"microtubule organizing center part"	GO:0044450	2	KIAA0586	-0.262089870393253
"microtubule organizing center part"	GO:0044450	2	SDCCAG8	2.33586082126267
