name	term	lev	seq	value
"calcium-transporting ATPase activity"	GO:0005388	2	ATP2C1	0.803033460066213
"calcium-transporting ATPase activity"	GO:0005388	2	ATP13A1	-0.496108848527946
"calcium-transporting ATPase activity"	GO:0005388	2	ATP13A2	-0.306356722101356
"calcium-transporting ATPase activity"	GO:0005388	2	ATP2B1	-1.13812378923104
"calcium-transporting ATPase activity"	GO:0005388	2	ATP2B1.1	2.10491406242179
"calcium-transporting ATPase activity"	GO:0005388	2	ATP2A2	-5.06699157111146
"calcium-transporting ATPase activity"	GO:0005388	2	PITPNM2	-0.2318964760748
"1-acylglycerophosphocholine O-acyltransferase activity"	GO:0047184	4	LPCAT2	0.130722207754311
"1-acylglycerophosphocholine O-acyltransferase activity"	GO:0047184	4	LPCAT2.3	0.182702953050344
"1-acylglycerophosphocholine O-acyltransferase activity"	GO:0047184	4	TAZ	0.0889916942708116
"1-acylglycerophosphocholine O-acyltransferase activity"	GO:0047184	4	ale1	0.329295015605884
"1-acylglycerophosphocholine O-acyltransferase activity"	GO:0047184	4	LPCAT3	-0.0309265737651228
"1-acylglycerophosphocholine O-acyltransferase activity"	GO:0047184	4	LPCAT3.1	0.291925588707478
"1-acylglycerophosphocholine O-acyltransferase activity"	GO:0047184	4	TAZ.1	-0.444175116364072
"1-acylglycerophosphocholine O-acyltransferase activity"	GO:0047184	4	TAZ.3	-0.0559086234377584
"structural constituent of muscle"	GO:0008307	2	JPH3	0.390603331687724
"structural constituent of muscle"	GO:0008307	2	SNTB1	0.899219675356073
"structural constituent of muscle"	GO:0008307	2	TTN	-0.145745257312735
"structural constituent of muscle"	GO:0008307	2	Tm1	73.302983668541
"structural constituent of muscle"	GO:0008307	2	TTN.4	0.0935668079971058
"structural constituent of muscle"	GO:0008307	2	unc.22	-0.077703494645868
"structural constituent of muscle"	GO:0008307	2	NOS1AP	0.224285196497848
"structural constituent of muscle"	GO:0008307	2	unc.22.1	6.14926890542965
"structural constituent of muscle"	GO:0008307	2	ASPH	0.971121507511885
"structural constituent of muscle"	GO:0008307	2	unc.22.2	1.49690505895865
"structural constituent of muscle"	GO:0008307	2	DTNA	5.63738990943217
"structural constituent of muscle"	GO:0008307	2	UTRN	27.1940739951816
"structural constituent of muscle"	GO:0008307	2	g13744	0.61043009959915
"structural constituent of muscle"	GO:0008307	2	MYL6	-0.0458092284439662
"structural constituent of muscle"	GO:0008307	2	TTN.5	-0.0772183217648018
"structural constituent of muscle"	GO:0008307	2	DAG1	22.9033074004813
"structural constituent of muscle"	GO:0008307	2	DAG1.1	0.301581950627248
"structural constituent of muscle"	GO:0008307	2	SGCG	0.440447676977036
"structural constituent of muscle"	GO:0008307	2	SGCB	0.337402017396656
"structural constituent of muscle"	GO:0008307	2	TANC2.1	-1.1622615145152
"structural constituent of muscle"	GO:0008307	2	MYL6B	9.16750069139615
"structural constituent of muscle"	GO:0008307	2	unc.54	269.12816489188
