delta.rank	pval	level	nseqs	term	name	p.adj
0	1	2	6	GO:0000001	mitochondrion inheritance	1
0	1	2	32	GO:0000002	mitochondrial genome maintenance	1
0	1	2	11	GO:0000012	single strand break repair	1
0	0.775266399166586	2	118	GO:0000018	regulation of DNA recombination	1
0	1	2	15	GO:0000019	regulation of mitotic recombination	1
0	0.212833044147189	3	19	GO:0000022;GO:0051231	spindle elongation	1
0	4.37483070390726e-05	3	32	GO:0000027	ribosomal large subunit assembly	0.00641472269491518
0	6.26192128888101e-05	2	18	GO:0000028	ribosomal small subunit assembly	0.0084932799391304
0	1	2	23	GO:0000038	very long-chain fatty acid metabolic process	1
0	1	3	104	GO:0000041	transition metal ion transport	1
0	0.447181919631144	2	47	GO:0000045	autophagic vacuole assembly	1
0	0.011068690622869	3	13	GO:0000050;GO:0019627;GO:0071941	urea metabolic process	0.381355706979175
0	0.0958093261822078	2	8	GO:0000052	citrulline metabolic process	0.969627289853644
0	0.172130127756302	3	15	GO:0000054;GO:0033753;GO:0071428;GO:0033750	rRNA-containing ribonucleoprotein complex export from nucleus	1
0	1	2	8	GO:0000055	ribosomal large subunit export from nucleus	1
0	1	2	21	GO:0000060	protein import into nucleus, translocation	1
0	0.915880059551149	2	195	GO:0000070;GO:0000819	sister chromatid segregation	1
0	0.670832483667089	2	183	GO:0000075;GO:0007093	cell cycle checkpoint	1
0	1	6	24	GO:0000076	DNA replication checkpoint	1
0	1	2	139	GO:0000077;GO:0031570	DNA integrity checkpoint	1
0	0.208917623882629	3	68	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	1
0	0.760514933871064	6	113	GO:0000082;GO:0044843	cell cycle G1/S phase transition	1
0	1	7	22	GO:0000083	regulation of transcription involved in G1/S transition of mitotic cell cycle	1
0	0.728066800901395	2	103	GO:0000086;GO:0044839	cell cycle G2/M phase transition	1
0	1	2	49	GO:0000096	sulfur amino acid metabolic process	1
0	1	4	26	GO:0000097;GO:0009086	sulfur amino acid biosynthetic process	1
0	1	2	12	GO:0000098	sulfur amino acid catabolic process	1
0	1	2	13	GO:0000101;GO:0015811	sulfur amino acid transport	1
0	1	3	5	GO:0000105	histidine biosynthetic process	1
0	0.550758636471449	5	639	GO:0000122	negative regulation of transcription from RNA polymerase II promoter	1
0	0.0727476851121348	5	6	GO:0000147;GO:0044396	actin cortical patch organization	0.904682750753471
0	1	6	29	GO:0000154	rRNA modification	1
0	0.00283786530156093	3	282	GO:0000165;GO:0023014	signal transduction by phosphorylation	0.155589049794275
0	1	2	11	GO:0000183	chromatin silencing at rDNA	1
