"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 4 6 "GO:0000001" "mitochondrion inheritance" 1
0 1 4 32 "GO:0000002" "mitochondrial genome maintenance" 1
0 1 3 11 "GO:0000012" "single strand break repair" 1
0 1 6 118 "GO:0000018" "regulation of DNA recombination" 1
0 1 2 15 "GO:0000019" "regulation of mitotic recombination" 1
0 1 2 19 "GO:0000022;GO:0051231" "spindle elongation" 1
0 0.000690163082998487 2 32 "GO:0000027" "ribosomal large subunit assembly" 0.0868639256261896
0 2.10177628757395e-14 2 18 "GO:0000028" "ribosomal small subunit assembly" 6.01203553531949e-12
0 0.118616187610162 2 23 "GO:0000038" "very long-chain fatty acid metabolic process" 1
0 0.110704846514858 2 104 "GO:0000041" "transition metal ion transport" 1
0 1 2 47 "GO:0000045" "autophagic vacuole assembly" 1
0 1 2 13 "GO:0000050;GO:0019627;GO:0071941" "urea metabolic process" 1
0 1 2 8 "GO:0000052" "citrulline metabolic process" 1
0 1 3 15 "GO:0000054;GO:0033753;GO:0071428;GO:0033750" "rRNA-containing ribonucleoprotein complex export from nucleus" 1
0 1 4 8 "GO:0000055" "ribosomal large subunit export from nucleus" 1
0 1 2 21 "GO:0000060" "protein import into nucleus, translocation" 1
0 1 5 195 "GO:0000070;GO:0000819" "sister chromatid segregation" 1
0 0.264543739247362 3 183 "GO:0000075;GO:0007093" "cell cycle checkpoint" 1
0 1 3 24 "GO:0000076" "DNA replication checkpoint" 1
0 0.535600757286569 3 139 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 1
0 1 6 68 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 1
0 0.463569211150211 2 113 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 1
0 1 3 22 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 1
0 1 2 103 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 1
0 1 2 49 "GO:0000096" "sulfur amino acid metabolic process" 1
0 1 5 26 "GO:0000097;GO:0009086" "sulfur amino acid biosynthetic process" 1
0 1 3 12 "GO:0000098" "sulfur amino acid catabolic process" 1
0 1 2 13 "GO:0000101;GO:0015811" "sulfur amino acid transport" 1
0 1 3 5 "GO:0000105" "histidine biosynthetic process" 1
0 0.686987134283852 8 639 "GO:0000122" "negative regulation of transcription from RNA polymerase II promoter" 1
0 1 3 6 "GO:0000147;GO:0044396" "actin cortical patch organization" 1
0 1 6 29 "GO:0000154" "rRNA modification" 1
0 1 2 282 "GO:0000165;GO:0023014" "signal transduction by phosphorylation" 1
0 1 2 11 "GO:0000183" "chromatin silencing at rDNA" 1
0 8.83119116323813e-36 4 75 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 9.26244766504293e-33
0 1 6 11 "GO:0000185" "activation of MAPKKK activity" 1
0 1 5 48 "GO:0000186" "activation of MAPKK activity" 1
0 1 2 141 "GO:0000187" "activation of MAPK activity" 1
0 1 2 19 "GO:0000188" "inactivation of MAPK activity" 1
0 1 8 238 "GO:0000209" "protein polyubiquitination" 1
0 1 2 58 "GO:0000212" "meiotic spindle organization" 1
0 0.788786292070102 2 525 "GO:0000226" "microtubule cytoskeleton organization" 1
0 1 3 10 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 1
0 1 2 45 "GO:0000245" "spliceosomal complex assembly" 1
0 1 4 34 "GO:0000266" "mitochondrial fission" 1
0 1 3 43 "GO:0000271;GO:0033692;GO:0034637" "cellular carbohydrate biosynthetic process" 1
0 0.457803812430374 2 810 "GO:0000278" "mitotic cell cycle" 1
0 0.925173443406077 4 463 "GO:0000280;GO:0048285" "organelle fission" 1
0 0.170356737100815 2 136 "GO:0000281" "mitotic cytokinesis" 1
0 1 6 59 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 1
0 1 3 23 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 1
0 1 2 9 "GO:0000290" "deadenylation-dependent decapping of nuclear-transcribed mRNA" 1
0 1 4 39 "GO:0000291;GO:0043928" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 1
0 1 2 6 "GO:0000301" "retrograde transport, vesicle recycling within Golgi" 1
0 0.763666142086021 2 260 "GO:0000302" "response to reactive oxygen species" 1
0 0.137781869920009 2 27 "GO:0000303;GO:0000305" "response to oxygen radical" 1
0 1 3 44 "GO:0000335;GO:0000337;GO:0030423" "targeting of mRNA for destruction involved in RNA interference" 1
0 1 8 11 "GO:0000338" "protein deneddylation" 1
0 0.817545482877063 2 306 "GO:0000375;GO:0008380;GO:0000377;GO:0000398" "RNA splicing" 1
0 1 2 16 "GO:0000380" "alternative mRNA splicing, via spliceosome" 1
0 1 2 68 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 1
0 1 2 34 "GO:0000387" "spliceosomal snRNP assembly" 1
0 1 7 8 "GO:0000389" "mRNA 3'-splice site recognition" 1
0 1 2 5 "GO:0000393" "spliceosomal conformational changes to generate catalytic conformation" 1
0 1 2 12 "GO:0000394;GO:0006388" "RNA splicing, via endonucleolytic cleavage and ligation" 1
0 1 7 5 "GO:0000395" "mRNA 5'-splice site recognition" 1
0 1 7 32 "GO:0000413;GO:0018208" "peptidyl-proline modification" 1
0 1 4 6 "GO:0000414" "regulation of histone H3-K36 methylation" 1
0 1 2 38 "GO:0000422" "mitochondrion degradation" 1
0 1 4 9 "GO:0000423" "macromitophagy" 1
0 0.0790188157926084 2 15 "GO:0000447" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 1 4 7 "GO:0000459;GO:0000467;GO:0071035;GO:0071038" "exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 0.201687837694235 2 41 "GO:0000460" "maturation of 5.8S rRNA" 1
0 0.00351408850922469 2 56 "GO:0000462;GO:0030490" "maturation of SSU-rRNA" 0.3159165569793
0 0.0688491019549348 4 13 "GO:0000463" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 0.147210349562075 4 29 "GO:0000466" "maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 0.156537372444362 6 31 "GO:0000469" "cleavage involved in rRNA processing" 1
0 0.00946099956493181 2 27 "GO:0000470" "maturation of LSU-rRNA" 0.744225878276448
0 1 4 6 "GO:0000472;GO:0000967" "endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 0.113759646873566 3 22 "GO:0000479;GO:0000478" "endonucleolytic cleavage involved in rRNA processing" 1
0 1 2 9 "GO:0000480" "endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 1 2 10 "GO:0000491;GO:0000492" "small nucleolar ribonucleoprotein complex assembly" 1
0 0.181986771391157 2 269 "GO:0000578;GO:0009948;GO:0007351;GO:0008595" "anterior/posterior axis specification" 1
0 1 2 18 "GO:0000706" "meiotic DNA double-strand break processing" 1
0 1 4 9 "GO:0000707;GO:0000730" "DNA recombinase assembly" 1
0 1 2 5 "GO:0000710" "meiotic mismatch repair" 1
0 1 2 7 "GO:0000711" "meiotic DNA repair synthesis" 1
0 1 5 23 "GO:0000712" "resolution of meiotic recombination intermediates" 1
0 1 2 20 "GO:0000715" "nucleotide-excision repair, DNA damage recognition" 1
0 1 6 13 "GO:0000720;GO:0010934;GO:0061082;GO:0031393;GO:0033552;GO:0035356;GO:0045348;GO:0051097;GO:0071303;GO:0071441;GO:1901416;GO:2000111;GO:2000480;GO:2000612;GO:2000614;GO:2000654;GO:2000655" "positive regulation of macrophage apoptotic process" 1
0 1 6 21 "GO:0000722" "telomere maintenance via recombination" 1
0 1 2 110 "GO:0000723;GO:0032200" "telomere organization" 1
0 1 3 113 "GO:0000724;GO:0000725" "recombinational repair" 1
0 1 5 71 "GO:0000726;GO:0006303" "non-recombinational repair" 1
0 1 3 5 "GO:0000727" "double-strand break repair via break-induced replication" 1
0 1 2 37 "GO:0000729;GO:0000738" "DNA catabolic process, exonucleolytic" 1
0 1 3 61 "GO:0000731" "DNA synthesis involved in DNA repair" 1
0 1 2 11 "GO:0000733" "DNA strand renaturation" 1
0 1 4 30 "GO:0000737" "DNA catabolic process, endonucleolytic" 1
0 1 2 11 "GO:0000741;GO:0007344" "karyogamy" 1
0 1 2 98 "GO:0000768;GO:0006949;GO:0007520" "syncytium formation" 1
0 1 6 5 "GO:0000820" "regulation of glutamine family amino acid metabolic process" 1
0 0.981876877590149 4 1043 "GO:0000904" "cell morphogenesis involved in differentiation" 1
0 0.0897658270071234 3 194 "GO:0000910" "cytokinesis" 1
0 0.244458321499778 2 51 "GO:0000912;GO:0000915;GO:0044837" "actomyosin contractile ring organization" 1
0 1 2 10 "GO:0000916;GO:0036213" "actomyosin contractile ring contraction" 1
0 1 4 15 "GO:0000920" "cytokinetic cell separation" 1
0 1 2 25 "GO:0000959" "mitochondrial RNA metabolic process" 1
0 1 2 11 "GO:0000963" "mitochondrial RNA processing" 1
0 1 7 5 "GO:0000965" "mitochondrial RNA 3'-end processing" 1
0 1 3 22 "GO:0000966;GO:0034471" "RNA 5'-end processing" 1
0 1 2 8 "GO:0000972" "transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery" 1
0 0.215120024412563 2 436 "GO:0001101" "response to acid" 1
0 1 3 8 "GO:0001109;GO:0001111;GO:0001112;GO:0001120;GO:0001113" "promoter clearance from RNA polymerase II promoter" 1
0 1 7 5 "GO:0001178" "regulation of transcriptional start site selection at RNA polymerase II promoter" 1
