delta.rank	pval	level	nseqs	term	name	p.adj
340	0.430328027228735	4	21	GO:0000002	mitochondrial genome maintenance	0.680894026804071
1417	0.0578478327504844	2	7	GO:0000012	single strand break repair	0.217438606796677
639	0.00890575957244021	3	66	GO:0000018	regulation of DNA recombination	0.0678908254240785
1465	0.0497905045395958	2	7	GO:0000019	regulation of mitotic recombination	0.198396571163265
1691	0.00454433286616963	2	11	GO:0000022	mitotic spindle elongation	0.0432426639695127
-1532	0.000147887546070429	3	24	GO:0000027	ribosomal large subunit assembly	0.00316910202071396
-1396	0.00275073798772452	3	18	GO:0000028	ribosomal small subunit assembly	0.0304635664234615
5	0.990579749669122	2	19	GO:0000038	very long-chain fatty acid metabolic process	0.99704651340496
-803	0.0012035139128704	2	64	GO:0000041	transition metal ion transport	0.0165422379488727
-26	0.934911046731181	2	38	GO:0000045	autophagic vacuole assembly	0.974159021097671
553	0.376731041162631	3	10	GO:0000050;GO:0019627;GO:0071941	nitrogen cycle metabolic process	0.639995960377091
265	0.723095410931448	7	7	GO:0000052	citrulline metabolic process	0.874235522367808
-1301	0.0108214431756666	3	15	GO:0000054;GO:0033753;GO:0071428;GO:0033750	rRNA-containing ribonucleoprotein complex export from nucleus	0.0765944280951278
-1310	0.0607493427483186	4	8	GO:0000055	ribosomal large subunit export from nucleus	0.224175371240067
212	0.667977139454446	3	16	GO:0000060	protein import into nucleus, translocation	0.843572986090615
744	2.44640748141721e-05	2	128	GO:0000070;GO:0000819	sister chromatid segregation	0.000723684560943145
626	0.000136552042343909	2	148	GO:0000075;GO:0007093	cell cycle checkpoint	0.00296116640031035
76	0.860375068063826	3	21	GO:0000076	DNA replication checkpoint	0.940490660874128
771	4.47921662893146e-05	5	111	GO:0000077;GO:0031570	DNA integrity checkpoint	0.0012069493124393
364	0.180887444236893	7	53	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	0.427029412090462
184	0.371503737206355	2	93	GO:0000082;GO:0044843	cell cycle G1/S phase transition	0.635780826932095
1095	0.0187881462893629	6	18	GO:0000083	regulation of transcription involved in G1/S transition of mitotic cell cycle	0.108791361971279
1104	4.81334901754027e-07	2	82	GO:0000086;GO:0044839	cell cycle G2/M phase transition	2.91202656498437e-05
-829	0.0161184393375167	6	33	GO:0000096	sulfur amino acid metabolic process	0.0990210669459406
-1074	0.029769452632427	5	16	GO:0000097;GO:0009086	sulfur amino acid biosynthetic process	0.145322987155426
-1412	0.0133747598390902	2	12	GO:0000098	sulfur amino acid catabolic process	0.0879357425626245
-1284	0.146340052249665	2	5	GO:0000101;GO:0015811	sulfur amino acid transport	0.377498125709387
-440	0.618316158068036	3	5	GO:0000105	histidine biosynthetic process	0.809791830694013
143	0.165640240258032	6	386	GO:0000122	negative regulation of transcription from RNA polymerase II promoter	0.404114669531362
526	0.551413568530629	5	5	GO:0000147;GO:0044396	actin cortical patch assembly	0.764993549632965
-1585	0.000171607691808924	2	22	GO:0000154	rRNA modification	0.0035787765000612
312	0.0315962739107684	2	191	GO:0000165;GO:0023014	signal transduction by phosphorylation	0.150054255508871
-37	0.96702443093751	2	5	GO:0000183	chromatin silencing at rDNA	0.985861393068527
-1297	2.38025217611089e-08	7	73	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	2.27293203413536e-06
-102	0.877255015923362	4	9	GO:0000185	activation of MAPKKK activity	0.948529807642205
13	0.973712372779576	4	27	GO:0000186	activation of MAPKK activity	0.988338068438047
459	0.0353349778016985	2	83	GO:0000187	activation of MAPK activity	0.159873885431958
492	0.431473350531315	5	10	GO:0000188	inactivation of MAPK activity	0.68151754119035
125	0.413100684561836	2	171	GO:0000209	protein polyubiquitination	0.66701484012758
531	0.063598967197113	2	48	GO:0000212	meiotic spindle organization	0.229137720850589
480	1.10397110901251e-06	2	428	GO:0000226	microtubule cytoskeleton organization	5.72277594890961e-05
-509	0.41569487340129	7	10	GO:0000244	spliceosomal tri-snRNP complex assembly	0.668625057896933
-794	0.00938280439131989	2	42	GO:0000245	spliceosomal complex assembly	0.0703451849889176
-380	0.415378136033437	4	18	GO:0000266	mitochondrial fission	0.668625057896933
-23	0.960153606708105	2	19	GO:0000271;GO:0033692	polysaccharide biosynthetic process	0.984057657089703
625	7.81208662156507e-14	2	613	GO:0000278	mitotic cell cycle	3.86556249828897e-11
500	1.1182879537694e-05	4	315	GO:0000280;GO:0048285	organelle fission	0.000376278788305243
1037	2.45091794746018e-07	2	98	GO:0000281	mitotic cytokinesis	1.60727064915973e-05
-221	0.445010753815726	2	47	GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	0.690718634743296
152	0.731902188490299	2	20	GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	0.879839821406507
-247	0.740526354789597	7	7	GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA	0.884020268195332
-290	0.414188648238352	2	31	GO:0000291;GO:0043928	nuclear-transcribed mRNA catabolic process, exonucleolytic	0.668176885702831
-127	0.440503170483072	4	147	GO:0000302	response to reactive oxygen species	0.687213145047856
-526	0.234742684129996	2	20	GO:0000303;GO:0000305	response to oxygen radical	0.495234275085104
951	0.128252510054696	3	10	GO:0000335;GO:0000337	negative regulation of transposition, DNA-mediated	0.349625393690815
-919	0.162930023610984	2	9	GO:0000338;GO:0048140	protein deneddylation	0.402327089687206
-559	3.81901706290375e-06	5	278	GO:0000375;GO:0008380;GO:0000377;GO:0000398	RNA splicing	0.000155833722563368
-1393	0.00483109097612606	2	16	GO:0000380	alternative mRNA splicing, via spliceosome	0.0453235380034522
-574	0.0186924259080692	2	66	GO:0000381	regulation of alternative mRNA splicing, via spliceosome	0.108583643775476
-993	0.00601867138086567	3	30	GO:0000387	spliceosomal snRNP assembly	0.0526681859606211
-563	0.420163543295177	2	8	GO:0000389	mRNA 3'-splice site recognition	0.671987720580945
-579	0.512181004226107	3	5	GO:0000393	spliceosomal conformational changes to generate catalytic conformation	0.737123534109651
-226	0.692467339959281	7	12	GO:0000394;GO:0006388	RNA splicing, via endonucleolytic cleavage and ligation	0.85564125570905
-880	0.319514022400536	4	5	GO:0000395	mRNA 5'-splice site recognition	0.582618031466036
-244	0.521370968528195	2	27	GO:0000413;GO:0018208	peptidyl-proline modification	0.742562800419819
485	0.547380718628528	5	6	GO:0000414	regulation of histone H3-K36 methylation	0.76296882240591
27	0.936824713036373	3	34	GO:0000422	mitochondrion degradation	0.974208001087474
431	0.564191030179466	2	7	GO:0000423	macromitophagy	0.77274272679134
-343	0.532045432391834	3	13	GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.751235357981145
-1202	0.136195318196965	7	6	GO:0000459;GO:0000467;GO:0071035	exonucleolytic trimming involved in rRNA processing	0.360984110342222
-985	0.00248857051613253	2	37	GO:0000460	maturation of 5.8S rRNA	0.028396832954527
-993	0.00151659235318892	2	40	GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.0197957126580511
-1398	0.0107958948954778	2	13	GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.0765130936407365
-730	0.0599573098628591	2	26	GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.221854274359988
-895	0.018759377964389	3	27	GO:0000469	cleavage involved in rRNA processing	0.108740462470894
-1184	0.00227167399949917	2	26	GO:0000470	maturation of LSU-rRNA	0.0265337372945794
-910	0.303062298981832	4	5	GO:0000472;GO:0000967	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.569012795225289
-664	0.133280696025926	2	20	GO:0000479;GO:0000478	endonucleolytic cleavage involved in rRNA processing	0.356660190987766
-1039	0.136831108730241	7	8	GO:0000480	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.361715262175183
-1223	0.0799759227884269	6	8	GO:0000491;GO:0000492	small nucleolar ribonucleoprotein complex assembly	0.265021085127893
490	0.00217908985357103	5	156	GO:0000578;GO:0009948;GO:0007351;GO:0008595	anterior/posterior axis specification	0.0259899764281322
362	0.653381165407728	4	6	GO:0000706	meiotic DNA double-strand break processing	0.833846115665712
263	0.765709632761295	3	5	GO:0000710	meiotic mismatch repair	0.895906606001661
788	0.150616053570763	4	13	GO:0000712	resolution of meiotic recombination intermediates	0.383802986697408
-707	0.129382851832463	4	18	GO:0000715	nucleotide-excision repair, DNA damage recognition	0.350645943038498
1611	0.0144471334999454	4	9	GO:0000722	telomere maintenance via recombination	0.0919716346669039
399	0.0973572859706466	2	68	GO:0000723;GO:0032200	telomere organization	0.295309459208134
341	0.139686282886604	2	74	GO:0000724;GO:0000725	double-strand break repair via homologous recombination	0.366415632651463
752	0.0108990665667941	2	45	GO:0000726;GO:0006303	non-recombinational repair	0.0767683308616978
527	0.551110889286972	3	5	GO:0000727	double-strand break repair via break-induced replication	0.764993549632965
14	0.974356434914305	2	20	GO:0000729;GO:0000738	DNA catabolic process, exonucleolytic	0.988338068438047
174	0.583639893449886	3	39	GO:0000731	DNA synthesis involved in DNA repair	0.787065904134578
-35	0.96021370050198	2	8	GO:0000733	DNA strand renaturation	0.984057657089703
206	0.657899815551006	5	18	GO:0000737	DNA catabolic process, endonucleolytic	0.836814947314773
1613	0.0209353498451011	4	8	GO:0000741;GO:0007344	karyogamy	0.116633683937447
611	0.0236551739858371	2	54	GO:0000768;GO:0006949;GO:0007520	syncytium formation	0.124521384917709
-1358	0.12421961442482	5	5	GO:0000820	regulation of glutamine family amino acid metabolic process	0.343037727708927
612	1.52239254001692e-15	3	744	GO:0000904;GO:0048667;GO:0048812;GO:0031175	neuron projection development	1.03579782441401e-12
779	1.51562504540881e-06	4	152	GO:0000910	cytokinesis	7.173519236661e-05
1093	0.00953503252412363	3	22	GO:0000912;GO:0000915	assembly of actomyosin apparatus involved in cytokinesis	0.0710947699024725
274	0.677489330005882	6	9	GO:0000916;GO:0036213	actomyosin contractile ring contraction	0.848052391352957
-325	0.585071522136388	5	11	GO:0000920	cytokinetic cell separation	0.78750132924606
-215	0.653535213213193	2	17	GO:0000959	mitochondrial RNA metabolic process	0.83384720241899
148	0.813474728994672	3	10	GO:0000963	mitochondrial RNA processing	0.921868799864659
-446	0.312936185985285	2	20	GO:0000966;GO:0034471	RNA 5'-end processing	0.576968271204345
-409	0.583756210727777	4	7	GO:0000972	transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery	0.787065904134578
-33	0.796126800791606	3	245	GO:0001101	response to acid	0.912289032017591
371	0.619072409490638	5	7	GO:0001109;GO:0001111;GO:0001112;GO:0001120;GO:0001113	promoter clearance from RNA polymerase II promoter	0.810195864199721
-130	0.882853032132108	2	5	GO:0001178	regulation of transcriptional start site selection at RNA polymerase II promoter	0.949677678635388
1033	0.242414118283992	2	5	GO:0001188	RNA polymerase I transcriptional preinitiation complex assembly	0.502223758861952
-297	0.737176741962212	4	5	GO:0001302	replicative cell aging	0.882686637654158
-518	0.520594268018272	2	6	GO:0001306;GO:0007571	age-dependent response to oxidative stress	0.742277908182446
-393	0.574241766297577	5	8	GO:0001325	formation of extrachromosomal circular DNA	0.779007439834075
504	8.3243802118209e-05	3	247	GO:0001501	skeletal system development	0.00203182069475072
1977	0.000310937630619477	2	13	GO:0001502	cartilage condensation	0.0058359776671097
725	0.000191010019630847	3	105	GO:0001503	ossification	0.00389388590580787
371	0.453367679197593	4	16	GO:0001504	neurotransmitter uptake	0.695307661068915
76	0.538705160856675	3	266	GO:0001505	regulation of neurotransmitter levels	0.755819345960789
62	0.834585163269499	3	45	GO:0001508	action potential	0.92896667559834
-966	0.00158443469554414	2	42	GO:0001510	RNA methylation	0.0204362039048501
140	0.851529674931289	6	7	GO:0001514;GO:0006451	translational readthrough	0.935835898304653
-297	0.470978105390483	2	23	GO:0001516;GO:0006693;GO:0046457;GO:0006692	prostaglandin metabolic process	0.708428276666768
-1131	0.0577534984409696	2	11	GO:0001522	pseudouridine synthesis	0.217438606796677
254	0.417222287790668	2	40	GO:0001523;GO:0016101	diterpenoid metabolic process	0.669669362616932
273	0.116667282256859	2	131	GO:0001525	angiogenesis	0.328886403489538
544	0.218798360134339	3	20	GO:0001539;GO:0060285	cilium or flagellum-dependent cell motility	0.476749189035712
258	0.367648985970851	2	48	GO:0001541;GO:0022602	ovulation cycle process	0.631465266847378
-200	0.80424900176623	3	6	GO:0001542	ovulation from ovarian follicle	0.916374465816718
886	0.204892829064553	3	8	GO:0001553	luteinization	0.458377175749429
-1880	0.00713836397175322	3	8	GO:0001555	oocyte growth	0.0586920167647323
883	0.0322155534947321	3	23	GO:0001556	oocyte maturation	0.151293578664216
351	0.00269922429136405	2	298	GO:0001558	regulation of cell growth	0.0301063070038822
-106	0.879764043673148	4	8	GO:0001561	fatty acid alpha-oxidation	0.949396783657402
570	0.445617548473114	4	7	GO:0001562;GO:0042832	response to protozoan	0.690718634743296
299	0.0181289797887102	2	253	GO:0001568;GO:0001944;GO:0072358	cardiovascular system development	0.106561595021544
977	0.017836431492391	4	23	GO:0001569	patterning of blood vessels	0.105743778041749
443	0.125521899976173	2	47	GO:0001570	vasculogenesis	0.344628417096354
398	0.0545909738109768	3	92	GO:0001578;GO:0035082	microtubule bundle formation	0.210438151878999
1275	0.00026912579618427	2	32	GO:0001649	osteoblast differentiation	0.00512185912108735
526	8.46026921585372e-10	2	581	GO:0001654;GO:0007423	sensory organ development	1.31797051719374e-07
293	0.0223703085219752	2	245	GO:0001655;GO:0072001	urogenital system development	0.120080462805829
269	0.372941477437743	2	43	GO:0001656	metanephros development	0.636937703700544
496	0.061488480801086	5	56	GO:0001657;GO:0001823;GO:0072163;GO:0072164	mesonephric epithelium development	0.225785352172372
816	0.0218035980066779	5	31	GO:0001658;GO:0060675;GO:0072171	ureteric bud morphogenesis	0.118795779730078
-1306	0.0616662459416909	2	8	GO:0001659	temperature homeostasis	0.225874412288441
-911	0.0653095761109401	3	16	GO:0001662;GO:0002209;GO:0042596	behavioral fear response	0.232385781664839
671	4.47257867284612e-08	2	270	GO:0001667	ameboidal cell migration	3.81631656769541e-06
-260	0.610072176261732	2	15	GO:0001672	regulation of chromatin assembly or disassembly	0.805780843337202
-290	0.643250546122508	3	10	GO:0001675	acrosome assembly	0.827514233643302
190	0.43723190157421	6	66	GO:0001676	long-chain fatty acid metabolic process	0.686214163612043
-157	0.568934339577108	2	52	GO:0001678;GO:0071326;GO:0071331;GO:0071333	cellular glucose homeostasis	0.775795028432744
-214	0.719040115302367	2	11	GO:0001682	tRNA 5'-leader removal	0.871461889911107
358	0.0337932428218601	2	140	GO:0001700	embryonic development via the syncytial blastoderm	0.155483195840562
196	0.12596084230882	4	247	GO:0001701	in utero embryonic development	0.345566968088159
633	0.125121570034745	2	23	GO:0001702	gastrulation with mouth forming second	0.343957932171271
558	0.0649071803835329	6	43	GO:0001703;GO:0010004	gastrulation involving germ band extension	0.231817442800242
579	0.004578795493613	2	95	GO:0001704	formation of primary germ layer	0.0434187872329888
632	0.0305360179580332	2	46	GO:0001706;GO:0035987	endoderm formation	0.147011570110536
682	0.00378990695671974	2	71	GO:0001707;GO:0048332	mesoderm morphogenesis	0.0379199697893852
670	0.000325745920018638	4	114	GO:0001708	cell fate specification	0.00607203781733372
646	0.000178303657254563	2	134	GO:0001709	cell fate determination	0.00369429851779349
1175	0.00648011553044587	2	21	GO:0001710	mesodermal cell fate commitment	0.0548558778321174
657	0.0904797764972978	2	26	GO:0001711	endodermal cell fate commitment	0.283361003150053
-584	0.375027938087134	2	9	GO:0001714	endodermal cell fate specification	0.638697455259159
-1603	0.00345112262924701	3	13	GO:0001731	formation of translation preinitiation complex	0.0356441375161129
1234	8.19085559822786e-10	2	98	GO:0001736;GO:0007164;GO:0001738	morphogenesis of a polarized epithelium	1.31797051719374e-07
1100	0.0260657075143805	4	16	GO:0001737	establishment of imaginal disc-derived wing hair orientation	0.132320893205578
405	0.0028399779592421	2	219	GO:0001745;GO:0048749	compound eye development	0.0311098794690079
1489	0.0124779591824886	2	11	GO:0001746;GO:0055034	Bolwig's organ morphogenesis	0.0833343948837858
462	0.0373928546765075	8	80	GO:0001751	compound eye photoreceptor cell differentiation	0.16547098211726
58	0.892737386673053	3	21	GO:0001752;GO:0042706;GO:0046552	photoreceptor cell fate commitment	0.952283860773925
819	0.0425670604917176	3	24	GO:0001755	neural crest cell migration	0.179604995266738
875	0.000185936152873739	2	72	GO:0001756;GO:0061053	somite development	0.00381905841544061
736	0.096044739039115	2	20	GO:0001759;GO:0060484	organ induction	0.292705215335892
433	0.00830577802264055	2	148	GO:0001763;GO:0048754;GO:0061138	morphogenesis of a branching structure	0.0646502625553996
923	1.99728601576711e-06	2	105	GO:0001764	neuron migration	9.13548553262217e-05
1314	0.103208406529602	3	6	GO:0001765	membrane raft assembly	0.307310370208219
-148	0.78665249565279	5	13	GO:0001773;GO:0043011;GO:0097028	dendritic cell differentiation	0.907342558558622
-1325	0.100438875487361	6	6	GO:0001774	microglial cell activation	0.301969012651033
-42	0.642193240755937	2	526	GO:0001775;GO:0045321	cell activation	0.826544764586088
289	0.388658446552975	2	35	GO:0001776;GO:0002260	leukocyte homeostasis	0.650362348750666
1753	0.0189345999880711	5	7	GO:0001778	plasma membrane repair	0.109522877508046
1074	0.124436133811498	2	8	GO:0001779	natural killer cell differentiation	0.343144239046824
203	0.691061896540075	4	15	GO:0001782	B cell homeostasis	0.854674048993136
-320	0.691857506041455	2	6	GO:0001783	B cell apoptotic process	0.855081835918174
113	0.654511171223286	3	62	GO:0001816	cytokine production	0.834310141678769
254	0.0430857746944399	2	258	GO:0001817	regulation of cytokine production	0.180396824355259
350	0.0833408289397567	5	97	GO:0001818	negative regulation of cytokine production	0.270336193038794
342	0.032872621746433	3	155	GO:0001819	positive regulation of cytokine production	0.15305875121115
241	0.10526902691521	2	181	GO:0001822	kidney development	0.309551222852236
34	0.892795805090924	2	61	GO:0001824	blastocyst development	0.952283860773925
272	0.474760766935059	2	27	GO:0001825	blastocyst formation	0.711368983014684
-71	0.889920619389802	2	15	GO:0001829	trophectodermal cell differentiation	0.951818005660528
329	0.480065616964236	3	18	GO:0001832	blastocyst growth	0.714993356594749
80	0.883827857108049	2	13	GO:0001833	inner cell mass cell proliferation	0.949837025662293
-1139	0.0211766916020782	5	16	GO:0001836	release of cytochrome c from mitochondria	0.117276811224724
481	0.0801134842003023	6	52	GO:0001837	epithelial to mesenchymal transition	0.265021085127893
541	0.00129507116837068	2	141	GO:0001838;GO:0072175;GO:0035148	tube formation	0.0174481989342614
267	0.702478287403487	4	8	GO:0001840	neural plate development	0.861013301663577
565	0.00704154425685061	6	90	GO:0001841;GO:0001843;GO:0060606;GO:0014020	neural tube formation	0.0581595225948981
171	0.671387822515065	5	24	GO:0001845;GO:0090382	phagosome maturation	0.845155546419557
