delta.rank	pval	level	nseqs	term	name	p.adj
-45	0.916903870104964	2	15	GO:0000002	mitochondrial genome maintenance	0.973144821316788
782	0.217977050743313	2	7	GO:0000012	single strand break repair	0.598430922777798
308	0.241663055632799	2	41	GO:0000018	regulation of DNA recombination	0.613066736446973
784	0.252765502889339	5	6	GO:0000019	regulation of mitotic recombination	0.626051614637635
382	0.431238905295533	5	12	GO:0000022;GO:0051231	spindle elongation	0.76510625355399
618	0.0850059216103283	3	22	GO:0000027	ribosomal large subunit assembly	0.394207027300083
-93	0.831041454888242	3	15	GO:0000028	ribosomal small subunit assembly	0.945236680590424
-207	0.669774923593605	2	12	GO:0000038	very long-chain fatty acid metabolic process	0.877831161405606
-893	4.15436577395751e-05	2	60	GO:0000041	transition metal ion transport	0.00312584552022318
-164	0.580457890104287	3	32	GO:0000045	autophagic vacuole assembly	0.838101069139506
573	0.334807825915303	3	8	GO:0000050;GO:0019627;GO:0071941;GO:0006526	urea metabolic process	0.693578341518659
480	0.418789205465469	2	8	GO:0000052	citrulline metabolic process	0.753090821512291
-189	0.684773585724093	4	13	GO:0000054;GO:0033753;GO:0071428;GO:0033750	rRNA-containing ribonucleoprotein complex export from nucleus	0.885799850665758
462	0.500725758831075	2	6	GO:0000055	ribosomal large subunit export from nucleus	0.802458973426921
41	0.956536592056779	2	5	GO:0000056	ribosomal small subunit export from nucleus	0.987148943506643
-255	0.519601667800079	3	18	GO:0000060	protein import into nucleus, translocation	0.814501856785099
230	0.165462384361064	2	104	GO:0000070;GO:0000819	sister chromatid segregation	0.535965175056283
145	0.376186475256986	4	107	GO:0000075;GO:0007093	cell cycle checkpoint	0.721847772846288
64	0.895168576482188	2	12	GO:0000076	DNA replication checkpoint	0.96723393185608
80	0.782181285265349	2	34	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	0.928600813473514
112	0.579572851048016	2	70	GO:0000082;GO:0044843	cell cycle G1/S phase transition	0.838101069139506
474	0.372582622008446	2	10	GO:0000083	regulation of transcription involved in G1/S transition of mitotic cell cycle	0.718969063504423
798	0.000506136809887001	2	54	GO:0000086;GO:0044839	cell cycle G2/M phase transition	0.021667891361197
-397	0.15191993823246	2	37	GO:0000096	sulfur amino acid metabolic process	0.517402469995067
-687	0.0677720599365866	5	20	GO:0000097;GO:0009086	sulfur amino acid biosynthetic process	0.349850363456433
-720	0.137845118863987	2	12	GO:0000098	sulfur amino acid catabolic process	0.48992990718547
771	0.260827748522709	5	6	GO:0000101;GO:0015811	sulfur amino acid transport	0.633309858138655
-749	0.318960922917605	3	5	GO:0000105	histidine biosynthetic process	0.682687629231389
124	0.180774459771177	7	351	GO:0000122	negative regulation of transcription from RNA polymerase II promoter	0.554151831619546
585	0.0140846422432413	2	50	GO:0000132;GO:0051294	establishment of spindle orientation	0.158836282563064
-376	0.28351300704113	3	23	GO:0000154	rRNA modification	0.651515776476748
260	0.058931238750326	2	153	GO:0000165;GO:0023014	signal transduction by phosphorylation	0.327207096637742
-572	0.40418335670101	4	6	GO:0000183	chromatin silencing at rDNA	0.742514401091178
313	0.106842450084207	2	76	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	0.434379687745042
-81	0.898628626280581	3	7	GO:0000185	activation of MAPKKK activity	0.96728360081786
-454	0.161020627220052	3	27	GO:0000186	activation of MAPKK activity	0.530438494827466
-85	0.664597336309157	2	74	GO:0000187	activation of MAPK activity	0.876131065705025
951	0.109486869160549	3	8	GO:0000188	inactivation of MAPK activity	0.438482819384099
154	0.250054655052775	2	162	GO:0000209	protein polyubiquitination	0.623066441039679
738	0.00856022308061327	5	36	GO:0000212	meiotic spindle organization	0.117213795173481
377	4.5993497657065e-05	2	350	GO:0000226	microtubule cytoskeleton organization	0.00339961953141391
-248	0.624540745784693	4	11	GO:0000244	spliceosomal tri-snRNP complex assembly	0.856050053427211
656	0.0150556019337206	3	39	GO:0000245	spliceosomal complex assembly	0.164321141105179
-548	0.206635396814121	2	15	GO:0000266	mitochondrial fission	0.584621352523735
1030	0.00406317655004023	4	22	GO:0000271;GO:0033692	polysaccharide biosynthetic process	0.0797538922826078
-143	0.696576890298649	3	21	GO:0000272;GO:0005980;GO:0009251;GO:0044247	cellular polysaccharide catabolic process	0.890216642972284
263	0.000894854982107544	4	493	GO:0000278	mitotic cell cycle	0.031516665540043
40	0.708406534704048	2	254	GO:0000280;GO:0048285	organelle fission	0.893517011772326
477	0.00691135577324556	2	92	GO:0000281	mitotic cytokinesis	0.104097477659537
-115	0.645758332235179	2	45	GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	0.867294390447885
-136	0.730724276462016	2	18	GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	0.903974864778601
258	0.73110335537142	2	5	GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA	0.903974864778601
-83	0.795263901075365	2	28	GO:0000291;GO:0043928	nuclear-transcribed mRNA catabolic process, exonucleolytic	0.934467576435082
-223	0.150533191015511	3	120	GO:0000302	response to reactive oxygen species	0.516262311176124
-653	0.109189210254366	2	17	GO:0000305;GO:0000303	response to oxygen radical	0.438345689671125
373	0.50593531562621	3	9	GO:0000338;GO:0048140	protein deneddylation	0.805796913854958
13	0.894371459646559	2	335	GO:0000375;GO:0008380;GO:0000377;GO:0000398;GO:0006397	mRNA processing	0.966582952906379
-27	0.955044492640613	2	12	GO:0000380	alternative mRNA splicing, via spliceosome	0.986839565221241
244	0.282630053493598	2	55	GO:0000381	regulation of alternative mRNA splicing, via spliceosome	0.651295055985711
