"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
56 0.886088388427634 2 16 "GO:0000002" "mitochondrial genome maintenance" 0.981547023914929
-302 0.608904710585492 2 7 "GO:0000012" "single strand break repair" 0.91380728170838
-32 0.897906883960194 2 40 "GO:0000018" "regulation of DNA recombination" 0.982615080560212
914 0.190939931810353 5 5 "GO:0000019" "regulation of mitotic recombination" 0.694753394894844
521 0.248434506110824 2 12 "GO:0000022;GO:0051231" "spindle elongation" 0.741912972963714
-1372 3.90279857541441e-05 2 22 "GO:0000027" "ribosomal large subunit assembly" 0.00587127260688905
-1779 1.05299762836211e-05 2 15 "GO:0000028" "ribosomal small subunit assembly" 0.00202765223317408
-62 0.886104397048535 2 13 "GO:0000038" "very long-chain fatty acid metabolic process" 0.981547023914929
-445 0.0325360035270362 3 57 "GO:0000041" "transition metal ion transport" 0.417675522611073
487 0.0832993179149981 2 31 "GO:0000045" "autophagic vacuole assembly" 0.556948495059446
853 0.14885012210104 4 7 "GO:0000050;GO:0019627;GO:0071941;GO:0006526" "urea cycle" 0.641829037962884
1171 0.0474515698433899 7 7 "GO:0000052" "citrulline metabolic process" 0.475869531599949
-1045 0.0159169024105319 3 13 "GO:0000054;GO:0033753;GO:0071428;GO:0033750" "rRNA-containing ribonucleoprotein complex export from nucleus" 0.315324972034159
-366 0.566655845328702 2 6 "GO:0000055" "ribosomal large subunit export from nucleus" 0.904474479674839
-90 0.897751275751667 2 5 "GO:0000056" "ribosomal small subunit export from nucleus" 0.982615080560212
505 0.183485521404811 3 17 "GO:0000060" "protein import into nucleus, translocation" 0.687796908137786
-108 0.492365818293249 2 101 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.867905180982681
77 0.613718957660653 2 108 "GO:0000075;GO:0007093" "cell cycle checkpoint" 0.914573041408222
-557 0.259457784536872 4 10 "GO:0000076" "DNA replication checkpoint" 0.748818809808454
-244 0.377452798891074 2 32 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.817757774015135
-306 0.119264627510743 6 64 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.616013879361789
503 0.308958668163718 2 10 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.772637417423448
348 0.109636616655374 2 52 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.602500767784213
-794 0.00359791477085452 2 33 "GO:0000096" "sulfur amino acid metabolic process" 0.143143485180939
-988 0.00245880799501852 2 23 "GO:0000097;GO:0006555;GO:0009086" "methionine metabolic process" 0.114919433864264
-1071 0.0397487379226738 2 9 "GO:0000098" "sulfur amino acid catabolic process" 0.447080430747083
487 0.409900097297746 2 7 "GO:0000101;GO:0015811" "sulfur amino acid transport" 0.834159064841044
234 0.737564135502141 3 5 "GO:0000105" "histidine biosynthetic process" 0.952981260541205
143 0.103850267794188 8 338 "GO:0000122" "negative regulation of transcription from RNA polymerase II promoter" 0.589546213633515
256 0.273487457724062 2 45 "GO:0000132;GO:0051294" "establishment of spindle orientation" 0.755010040003032
-731 0.0474605092000588 6 18 "GO:0000154" "rRNA modification" 0.475869531599949
-9 0.945822456521585 5 150 "GO:0000165;GO:0023014" "signal transduction by phosphorylation" 0.991764170266807
1223 0.080185335768141 2 5 "GO:0000183" "chromatin silencing at rDNA" 0.553819521359872
-977 6.03199602995609e-08 4 76 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 2.2336945298622e-05
-305 0.581071156153793 7 8 "GO:0000185" "activation of MAPKKK activity" 0.906863155015015
-497 0.0988054217811361 4 27 "GO:0000186" "activation of MAPKK activity" 0.58335092384642
-127 0.487833184659646 2 74 "GO:0000187" "activation of MAPK activity" 0.866259295813919
