delta.rank	pval	level	nseqs	term	name	p.adj
0	1	4	21	GO:0000002	mitochondrial genome maintenance	1
0	1	2	6	GO:0000012	single strand break repair	1
0	1	3	67	GO:0000018	regulation of DNA recombination	1
0	1	2	33	GO:0000022;GO:0051231	spindle elongation	1
0	0.172723626792963	2	38	GO:0000027	ribosomal large subunit assembly	1
0	0.0673690308984354	2	14	GO:0000028	ribosomal small subunit assembly	1
0	1	3	19	GO:0000038	very long-chain fatty acid metabolic process	1
0	1	2	81	GO:0000041	transition metal ion transport	1
0	1	3	43	GO:0000045	autophagic vacuole assembly	1
0	1	2	6	GO:0000052	citrulline metabolic process	1
0	1	3	17	GO:0000054;GO:0033753;GO:0071428;GO:0033750	rRNA-containing ribonucleoprotein complex export from nucleus	1
0	1	2	10	GO:0000055	ribosomal large subunit export from nucleus	1
0	1	3	5	GO:0000056	ribosomal small subunit export from nucleus	1
0	1	3	20	GO:0000060	protein import into nucleus, translocation	1
0	1	2	154	GO:0000070;GO:0000819	sister chromatid segregation	1
0	1	2	216	GO:0000075;GO:0007093;GO:1901991;GO:1901988	negative regulation of cell cycle phase transition	1
0	1	2	18	GO:0000076;GO:0033314	DNA replication checkpoint	1
0	1	7	80	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	1
0	1	2	103	GO:0000082;GO:0044843	cell cycle G1/S phase transition	1
0	1	6	22	GO:0000083	regulation of transcription involved in G1/S transition of mitotic cell cycle	1
0	1	2	92	GO:0000086;GO:0044839	cell cycle G2/M phase transition	1
0	1	2	28	GO:0000096	sulfur amino acid metabolic process	1
0	1	2	17	GO:0000097;GO:0006555;GO:0009086	methionine metabolic process	1
0	1	2	9	GO:0000098	sulfur amino acid catabolic process	1
0	1	3	5	GO:0000101	sulfur amino acid transport	1
0	0.382983114376575	2	446	GO:0000122	negative regulation of transcription from RNA polymerase II promoter	1
0	1	2	60	GO:0000132	establishment of mitotic spindle orientation	1
0	1	6	30	GO:0000154	rRNA modification	1
0	1	5	196	GO:0000165;GO:0023014	signal transduction by phosphorylation	1
0	1	7	7	GO:0000183	chromatin silencing at rDNA	1
0	4.12120027405876e-19	4	80	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	4.93513732818537e-16
0	1	2	8	GO:0000185	activation of MAPKKK activity	1
0	1	2	20	GO:0000186	activation of MAPKK activity	1
0	1	2	82	GO:0000187	activation of MAPK activity	1
0	1	3	14	GO:0000188	inactivation of MAPK activity	1
0	1	4	197	GO:0000209	protein polyubiquitination	1
0	1	4	73	GO:0000212	meiotic spindle organization	1
0	0.859258376960073	2	672	GO:0000226;GO:0007017	microtubule-based process	1
0	1	3	19	GO:0000244	spliceosomal tri-snRNP complex assembly	1
0	1	6	51	GO:0000245	spliceosomal complex assembly	1
0	1	2	15	GO:0000266	mitochondrial fission	1
0	1	2	37	GO:0000271;GO:0033692;GO:0034637	cellular carbohydrate biosynthetic process	1
0	0.86736162268196	2	395	GO:0000280;GO:0048285	organelle fission	1
0	0.45235613899986	2	120	GO:0000281	mitotic cytokinesis	1
0	1	4	51	GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	1
0	1	2	20	GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	1
0	1	2	7	GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA	1
0	1	4	34	GO:0000291;GO:0043928	nuclear-transcribed mRNA catabolic process, exonucleolytic	1
0	0.596230078680462	3	180	GO:0000302	response to reactive oxygen species	1
0	1	3	18	GO:0000303;GO:0000305	response to oxygen radical	1
0	1	2	7	GO:0000320	re-entry into mitotic cell cycle	1
0	1	5	5	GO:0000335;GO:0000337	negative regulation of transposition, DNA-mediated	1
0	1	7	10	GO:0000338	protein deneddylation	1
0	1	2	10	GO:0000349;GO:0007510;GO:0042684	generation of catalytic spliceosome for first transesterification step	1
0	0.886150795840474	2	424	GO:0000375;GO:0008380;GO:0000377;GO:0000398;GO:0006397	mRNA processing	1
0	1	2	17	GO:0000380	alternative mRNA splicing, via spliceosome	1
0	1	3	64	GO:0000381	regulation of alternative mRNA splicing, via spliceosome	1
0	1	2	38	GO:0000387	spliceosomal snRNP assembly	1
0	1	2	18	GO:0000389	mRNA 3'-splice site recognition	1
