"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
177 0.76083334543633 4 8 "GO:0000109" "nucleotide-excision repair complex" 0.857961006555861
-260 0.37384020251209 5 32 "GO:0000118" "histone deacetylase complex" 0.568420963655678
-133 0.497765608494522 5 71 "GO:0000123;GO:0031248;GO:1902493" "acetyltransferase complex" 0.675276941040197
367 0.421680980760341 2 13 "GO:0000124" "SAGA complex" 0.613504485733673
-619 0.401012381425181 2 5 "GO:0000125" "PCAF complex" 0.597492343408603
-533 0.469033190148745 6 5 "GO:0000127" "transcription factor TFIIIC complex" 0.658442930976708
-29 0.952204529977843 2 12 "GO:0000137" "Golgi cis cisterna" 0.971851115878349
14 0.970662721875723 2 19 "GO:0000138" "Golgi trans cisterna" 0.986618821413406
-241 0.0136234781184251 3 299 "GO:0000139" "Golgi membrane" 0.049206079206932
1831 0.00167450663325565 4 8 "GO:0000145" "exocyst" 0.0092722680736992
20 0.864247822533348 3 200 "GO:0000151" "ubiquitin ligase complex" 0.924022888068796
-127 0.706262644821952 3 24 "GO:0000152" "nuclear ubiquitin ligase complex" 0.822854546189166
-1213 0.00799708009493592 2 13 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.0329657412802358
-27 0.959141952455151 2 10 "GO:0000159" "protein phosphatase type 2A complex" 0.976245992759564
-318 0.609690612364643 4 7 "GO:0000164" "protein phosphatase type 1 complex" 0.753984057290942
-5 0.994160706156137 2 6 "GO:0000172" "ribonuclease MRP complex" 0.997146462584848
-464 0.260728448702957 4 16 "GO:0000176;GO:0000178" "exosome (RNase complex)" 0.43851896804545
-596 0.252749580581118 4 10 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.430138047686215
-1305 0.0765942872747703 4 5 "GO:0000220;GO:0033179" "vacuolar proton-transporting V-type ATPase, V0 domain" 0.178159752846017
-1460 0.0299030577185289 4 6 "GO:0000221;GO:0033180" "vacuolar proton-transporting V-type ATPase, V1 domain" 0.093620543574466
497 1.22307031742282e-07 2 326 "GO:0000228;GO:0044454" "nuclear chromosome" 3.02506058509244e-06
387 0.481316156124121 5 9 "GO:0000235" "astral microtubule" 0.664775742009195
1145 0.00935814022384564 2 14 "GO:0000242" "pericentriolar material" 0.0370558254258814
-1630 0.00512947377307862 3 8 "GO:0000243" "commitment complex" 0.0227908355666128
-2162 0.0013030024418058 4 6 "GO:0000275;GO:0045261" "mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)" 0.00774903146640297
-1123 0.0714518320477341 3 7 "GO:0000276;GO:0045263" "proton-transporting ATP synthase complex, coupling factor F(o)" 0.169927113395573
215 0.550115331753385 3 21 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.713412415063332
-271 0.219544386395961 3 56 "GO:0000313;GO:0005761" "mitochondrial ribosome" 0.388787433665401
-272 0.429369020174829 3 23 "GO:0000314;GO:0005763" "mitochondrial small ribosomal subunit" 0.62224963470649
-312 0.292951952029451 4 31 "GO:0000315;GO:0005762" "mitochondrial large ribosomal subunit" 0.477737029463412
325 0.513270359696544 2 11 "GO:0000322;GO:0000324" "storage vacuole" 0.689445129257
-229 0.00419824466569927 2 460 "GO:0000323;GO:0005773;GO:0005764" "vacuole" 0.0195748166560889
-177 0.747256773731686 4 9 "GO:0000346" "transcription export complex" 0.848483389842207
115 0.864180324931271 5 6 "GO:0000347;GO:0000445" "THO complex part of transcription export complex" 0.924022888068796
119 0.735821878926895 4 22 "GO:0000407" "pre-autophagosomal structure" 0.838678700712375
-325 0.513270359696544 2 11 "GO:0000421" "autophagic vacuole membrane" 0.689445129257
-15 0.921472927712352 2 117 "GO:0000428;GO:0030880;GO:0016591;GO:0055029" "RNA polymerase complex" 0.954108577345579
401 0.551489072449091 4 6 "GO:0000439" "core TFIIH complex" 0.713412415063332
-1438 1.69094733771636e-09 3 48 "GO:0000502" "proteasome complex" 8.36455283057026e-08
688 2.0398707544039e-05 2 106 "GO:0000775" "chromosome, centromeric region" 0.000265541070134683
369 0.0573191248449226 3 73 "GO:0000776" "kinetochore" 0.147676356371294
1258 0.0113628497093257 5 11 "GO:0000778" "condensed nuclear chromosome kinetochore" 0.0432031757017419
831 0.00193314401332537 3 38 "GO:0000779;GO:0000777" "condensed chromosome, centromeric region" 0.0103478956853779
1285 0.00131389401347459 4 17 "GO:0000780" "condensed nuclear chromosome, centromeric region" 0.00774903146640297
477 0.0392401309291588 2 51 "GO:0000781" "chromosome, telomeric region" 0.112853399804015
808 0.272931004399181 5 5 "GO:0000782;GO:0000783" "nuclear telomere cap complex" 0.455089450031893
252 0.395527204544288 3 31 "GO:0000784" "nuclear chromosome, telomeric region" 0.593110450875384
427 7.49899023920905e-06 2 315 "GO:0000785" "chromatin" 0.000111285015149862
1411 0.000914613258811433 4 15 "GO:0000786;GO:1990104" "nucleosome" 0.00585037101756968
1392 0.0112443025891818 5 9 "GO:0000788" "nuclear nucleosome" 0.0430065593874892
498 3.1776077005415e-05 5 196 "GO:0000790" "nuclear chromatin" 0.000405901002280059
300 0.234480376690997 3 43 "GO:0000791;GO:0005719" "euchromatin" 0.406805123715332
506 0.0233039929113931 3 55 "GO:0000792" "heterochromatin" 0.0761742851993554
884 5.79483722164834e-09 2 120 "GO:0000793" "condensed chromosome" 2.04750915164908e-07
907 4.61707618372312e-06 4 70 "GO:0000794" "condensed nuclear chromosome" 7.78606938255126e-05
1375 6.44140663546613e-05 2 23 "GO:0000795" "synaptonemal complex" 0.000692684597610995
1809 0.00190278004787879 2 8 "GO:0000796" "condensin complex" 0.0103055678505552
1668 0.000454871823180206 5 12 "GO:0000800" "lateral element" 0.00327684361941469
383 0.228164580715457 2 27 "GO:0000803" "sex chromosome" 0.398348515037339
612 0.240521270362455 2 10 "GO:0000805" "X chromosome" 0.413117552335513
-700 0.261185850868273 2 7 "GO:0000808;GO:0005664" "origin recognition complex" 0.43851896804545
-1297 0.0783738710961028 4 5 "GO:0000812" "Swr1 complex" 0.181163278359216
61 0.911188644636856 5 9 "GO:0000813" "ESCRT I complex" 0.950959288244398
-230 0.693585259349681 2 8 "GO:0000815" "ESCRT III complex" 0.813417269669325
-1308 0.0758737966518814 5 5 "GO:0000835" "ER ubiquitin ligase complex" 0.177132595507417
519 0.00270185484411588 2 92 "GO:0000922" "spindle pole" 0.0138260434091999
-2 0.997342494848741 2 7 "GO:0000923" "equatorial microtubule organizing center" 0.997342494848741
262 0.581973072027461 4 12 "GO:0000930" "gamma-tubulin complex" 0.730666699567472
-74 0.90519529350965 3 7 "GO:0000931;GO:0008274" "gamma-tubulin ring complex" 0.95007245002002
-307 0.157440406128735 2 58 "GO:0000932" "cytoplasmic mRNA processing body" 0.30479781968428
971 0.187477500079861 2 5 "GO:0000938" "GARP complex" 0.35007917549211
580 0.187778317851563 4 14 "GO:0000940" "condensed chromosome outer kinetochore" 0.35007917549211
1079 0.108550193867127 2 6 "GO:0000942" "condensed nuclear chromosome outer kinetochore" 0.236894834851201
-265 0.520840654551729 2 16 "GO:0000974" "Prp19 complex" 0.695138183608889
333 0.62038586260296 3 6 "GO:0001520" "outer dense fiber" 0.758362949013832
1232 0.0669898017843893 2 6 "GO:0001527;GO:0043205" "microfibril" 0.162439323281101
-234 0.198972175890345 2 83 "GO:0001650" "fibrillar center" 0.363638804213389
-142 0.577007973319172 2 42 "GO:0001669" "acrosomal vesicle" 0.727740879905041
-329 0.488845565778069 3 12 "GO:0001673" "male germ cell nucleus" 0.669231383408353
1093 0.0130948039060791 2 14 "GO:0001674" "female germ cell nucleus" 0.0483400223796552
1129 0.000139896361469077 3 31 "GO:0001725;GO:0032432;GO:0097517" "actin filament bundle" 0.00126589146597628
783 1.20779233795367e-05 3 86 "GO:0001726" "ruffle" 0.000165959613844745
-601 0.226388225256024 2 11 "GO:0001741" "XY body" 0.397115988510567
545 0.0618334610444159 2 32 "GO:0001750" "photoreceptor outer segment" 0.155079128284527
-237 0.666422779314404 2 9 "GO:0001772" "immunological synapse" 0.793728625302734
419 0.280956681373646 3 18 "GO:0001891" "phagocytic cup" 0.464298123784511
123 0.708370065494511 3 25 "GO:0001917" "photoreceptor inner segment" 0.823841047957566
1818 0.0136147882067765 2 5 "GO:0001931" "uropod" 0.049206079206932
874 0.235295720071696 6 5 "GO:0001940" "male pronucleus" 0.406968354995801
-202 0.658415074783782 3 13 "GO:0002080" "acrosomal membrane" 0.786705290643424
-2114 0.00410133353205664 2 5 "GO:0002081" "outer acrosomal membrane" 0.0192606929163673
1076 0.00353141665992446 3 20 "GO:0002102" "podosome" 0.0169052333010577
837 0.17883931113636 2 7 "GO:0002177" "manchette" 0.33851726750811
62 0.926962021119719 2 6 "GO:0002178;GO:0017059;GO:0031211" "palmitoyltransferase complex" 0.955692143766773
2753 9.81495466684569e-06 3 7 "GO:0005581;GO:0098644" "collagen trimer" 0.000139911318177349
670 1.69406379490186e-05 2 114 "GO:0005604;GO:0044420" "extracellular matrix part" 0.000224463452824496
806 0.0506500981858004 2 16 "GO:0005605" "basal lamina" 0.135955462868757
-56 0.518018646830136 2 393 "GO:0005615" "extracellular space" 0.693808368137114
44 0.66977083826191 4 265 "GO:0005635" "nuclear envelope" 0.79515193918454
-81 0.826248185287364 2 20 "GO:0005637" "nuclear inner membrane" 0.897622479477634
-181 0.727954730551296 3 10 "GO:0005640" "nuclear outer membrane" 0.837073423101845
139 0.789533104257662 4 10 "GO:0005641" "nuclear envelope lumen" 0.871776135951169
1307 0.0519401822211326 2 6 "GO:0005642" "annulate lamellae" 0.137786490567129
-134 0.541011125875232 4 57 "GO:0005643;GO:0046930" "pore complex" 0.706743407393349
-209 0.591634031878376 4 18 "GO:0005652" "nuclear lamina" 0.740282554919232
