"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
261 0.680313859831062 7 7 "GO:0000014" "single-stranded DNA endodeoxyribonuclease activity" 0.87895186652359
-536 0.289618920703743 3 11 "GO:0000030" "mannosyltransferase activity" 0.583317537964376
-880 0.00195786211790939 2 35 "GO:0000049" "tRNA binding" 0.0276514499118436
-608 0.105560889512007 2 20 "GO:0000062;GO:1901567" "fatty acid derivative binding" 0.342319909866947
-565 0.40904390768603 2 6 "GO:0000099;GO:0015184;GO:0042605" "sulfur amino acid transmembrane transporter activity" 0.720180752982889
1269 0.00467378381815638 2 14 "GO:0000146;GO:0030898" "microfilament motor activity" 0.0467832147234876
200 0.284269048346242 3 82 "GO:0000149;GO:0019905" "SNARE binding" 0.578069800483186
59 0.456910975776792 2 492 "GO:0000166;GO:1901265" "nucleoside phosphate binding" 0.736193306827745
-233 0.441087259525961 2 31 "GO:0000175;GO:0016896;GO:0004532" "exoribonuclease activity" 0.729824837789989
1915 0.0051560414593651 5 6 "GO:0000182" "rDNA binding" 0.0506274166152897
865 0.0337396855668325 3 17 "GO:0000217" "DNA secondary structure binding" 0.179307298038167
-369 0.623111537635946 3 5 "GO:0000268" "peroxisome targeting sequence binding" 0.842829501471478
-286 0.652270459900862 4 7 "GO:0000285;GO:0016308;GO:0052810" "1-phosphatidylinositol-4-phosphate 5-kinase activity" 0.861063820944672
-9 0.957191246519612 2 101 "GO:0000287" "magnesium ion binding" 0.989833676190291
-1027 0.133557664952179 2 6 "GO:0000295" "adenine nucleotide transmembrane transporter activity" 0.384459857178081
-260 0.510574436163761 2 18 "GO:0000339" "RNA cap binding" 0.76888220593291
172 0.711939254679415 2 13 "GO:0000340" "RNA 7-methylguanosine cap binding" 0.900624995796904
893 0.0774445087802416 2 11 "GO:0000400" "four-way junction DNA binding" 0.290584468415445
733 0.247672484204146 2 7 "GO:0000403" "Y-form DNA binding" 0.538943250715377
806 0.239329679714892 2 6 "GO:0000405" "bubble DNA binding" 0.531114542266295
-1291 0.0852158574575009 2 5 "GO:0000774" "adenyl-nucleotide exchange factor activity" 0.305060934162095
-814 0.0694486471052365 2 14 "GO:0000900" "translation repressor activity, nucleic acid binding" 0.275363597349798
380 0.000426768711541432 2 252 "GO:0000976;GO:0000977;GO:0001012" "transcription regulatory region sequence-specific DNA binding" 0.00799997348362212
435 0.000894596579945577 7 169 "GO:0000978;GO:0000987;GO:0001159" "core promoter proximal region sequence-specific DNA binding" 0.0153721512320648
280 0.547537614921502 2 13 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.788657069080069
227 0.376678251887308 2 43 "GO:0000980;GO:0001158;GO:0035326" "enhancer binding" 0.693491567313955
379 1.73202229269176e-05 3 388 "GO:0000981;GO:0003700;GO:0001071" "sequence-specific DNA binding transcription factor activity" 0.00068681345529431
59 0.931171728180702 2 6 "GO:0000983" "RNA polymerase II core promoter sequence-specific DNA binding transcription factor activity" 0.987096956006986
219 0.507284952619243 4 26 "GO:0000993;GO:0043175" "RNA polymerase core enzyme binding" 0.765755177379853
672 0.28959124465381 2 7 "GO:0001013;GO:0001163" "RNA polymerase I regulatory region DNA binding" 0.583317537964376
30 0.956916037359344 2 9 "GO:0001016" "RNA polymerase III regulatory region DNA binding" 0.989833676190291
389 0.512093004849336 2 8 "GO:0001032;GO:0000992;GO:0001006" "RNA polymerase III type 3 promoter DNA binding" 0.76888220593291
256 0.446211849395679 6 25 "GO:0001046" "core promoter sequence-specific DNA binding" 0.731390169677178
319 0.268215380107204 2 34 "GO:0001047" "core promoter binding" 0.562052961159608
-469 0.493038694639782 4 6 "GO:0001069" "regulatory region RNA binding" 0.754597397830854
513 0.106377978384472 2 28 "GO:0001076" "RNA polymerase II transcription factor binding transcription factor activity" 0.342319909866947
238 0.382449859734512 2 38 "GO:0001078" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.697886381214658
28 0.873912063556795 2 92 "GO:0001085" "RNA polymerase II transcription factor binding" 0.979611610859243
-265 0.527465025803906 3 16 "GO:0001091" "RNA polymerase II basal transcription factor binding" 0.782469700149391
-223 0.659897368444689 2 11 "GO:0001094" "TFIID-class transcription factor binding" 0.868547254370182
-31 0.912214999065569 3 36 "GO:0001099;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.987096956006986
-350 0.27951512698997 5 27 "GO:0001102" "RNA polymerase II activating transcription factor binding" 0.572015643293385
22 0.956148789944578 2 18 "GO:0001103" "RNA polymerase II repressing transcription factor binding" 0.989833676190291
592 0.430107403604974 5 5 "GO:0001129;GO:0001132;GO:0001083" "TBP-class protein binding RNA polymerase II transcription factor activity" 0.725762247326887
1497 0.0287927905163518 2 6 "GO:0001134;GO:0001135" "transcription factor recruiting transcription factor activity" 0.161902943727534
695 0.272874805668759 2 7 "GO:0001161;GO:0044213" "intronic transcription regulatory region sequence-specific DNA binding" 0.564927559527089
559 0.455803605845729 7 5 "GO:0001162" "RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding" 0.736193306827745
877 0.242605039359901 2 5 "GO:0001164" "RNA polymerase I CORE element sequence-specific DNA binding" 0.53560127533203
159 0.788931259713698 3 8 "GO:0001190" "RNA polymerase II transcription factor binding transcription factor activity involved in positive regulation of transcription" 0.936004751167805
938 0.0213133142972747 2 17 "GO:0001205" "RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription" 0.129258982591119
377 0.271712996037575 2 24 "GO:0001221" "transcription cofactor binding" 0.564790522005524
455 0.416134428194185 2 9 "GO:0001222" "transcription corepressor binding" 0.720736906297066
46 0.921434009634156 3 13 "GO:0001223" "transcription coactivator binding" 0.987096956006986
386 0.489834506283686 3 9 "GO:0001224" "RNA polymerase II transcription cofactor binding" 0.753068959664557
128 0.852238132120724 2 6 "GO:0001226" "RNA polymerase II transcription corepressor binding" 0.96720148517536
265 0.20248632627615 2 66 "GO:0001227" "RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.482455397603317
346 0.00869250411006111 2 166 "GO:0001228;GO:0000982;GO:0001077" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity" 0.0726561310151052
557 0.184804868173014 2 16 "GO:0001530" "lipopolysaccharide binding" 0.465735520975028
122 0.690362043191245 4 30 "GO:0001540" "beta-amyloid binding" 0.882570527184661
-22 0.955475714257438 3 18 "GO:0001653;GO:0008528" "peptide receptor activity" 0.989833676190291
340 0.0478541367807852 2 97 "GO:0001664" "G-protein coupled receptor binding" 0.211749420690942
-1240 0.000961999965102794 2 20 "GO:0001671" "ATPase activator activity" 0.0162593764593603
468 0.201898207551402 5 21 "GO:0001784" "phosphotyrosine binding" 0.482455397603317
1081 0.00633091429139242 2 18 "GO:0001786" "phosphatidylserine binding" 0.0590232729247895
-193 0.729841951128348 3 9 "GO:0001846;GO:0001848" "complement binding" 0.906381338601779
-3 0.995706278051864 3 8 "GO:0001871;GO:0030247" "polysaccharide binding" 0.998612035672638
-783 0.121736029470413 3 11 "GO:0001965" "G-protein alpha-subunit binding" 0.373541209476178
73 0.862771786534383 3 16 "GO:0001968" "fibronectin binding" 0.975086552201686
180 0.309904799473326 2 91 "GO:0002020" "protease binding" 0.608593996679998
66 0.784737760283262 3 48 "GO:0002039" "p53 binding" 0.935622382536958
-872 0.202879911886264 3 6 "GO:0002161" "aminoacyl-tRNA editing activity" 0.482455397603317
1582 0.00765401686685442 2 8 "GO:0002162" "dystroglycan binding" 0.0668753507603975
-152 0.568828962217993 3 40 "GO:0003678" "DNA helicase activity" 0.805580576987295
850 0.128677403811885 2 9 "GO:0003680" "AT DNA binding" 0.382633407011191
344 0.000491705505291155 2 304 "GO:0003682" "chromatin binding" 0.00905264957062823
183 0.513085312979478 2 36 "GO:0003684" "damaged DNA binding" 0.76888220593291
-471 0.330669477919357 3 12 "GO:0003688" "DNA replication origin binding" 0.636045208460554
348 7.25894878068697e-05 3 392 "GO:0003690;GO:0043566" "structure-specific DNA binding" 0.0020788822758023
761 0.230047589208522 2 7 "GO:0003696" "satellite DNA binding" 0.520129527355233
99 0.629435643245031 3 68 "GO:0003697" "single-stranded DNA binding" 0.845869743300172
560 0.0100941281540109 2 60 "GO:0003705" "RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity" 0.0794431002044675
-28 0.779942733590895 2 305 "GO:0003712;GO:0000989;GO:0000988" "protein binding transcription factor activity" 0.935622382536958
-32 0.796819037678677 2 184 "GO:0003713" "transcription coactivator activity" 0.940606359989005
-118 0.498448814368055 2 94 "GO:0003714" "transcription corepressor activity" 0.757374234052655
-381 0.0707831681422024 8 64 "GO:0003724;GO:0004004;GO:0008186" "RNA-dependent ATPase activity" 0.275386590017399
-187 0.477541476292467 4 41 "GO:0003725" "double-stranded RNA binding" 0.748808379810511
-284 0.147393574211779 2 74 "GO:0003727" "single-stranded RNA binding" 0.405795779352745
-468 4.54628355354319e-05 5 222 "GO:0003729;GO:0044822" "mRNA binding" 0.00154875989164624
