Preferred_name	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	diffexpressed	GOs
RPL28	0.0160824839315182	-2.15116245437828	0.145	0.421	1	apo	GO:0000184,GO:0000956,GO:0002181,GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006139,GO:0006401,GO:0006402,GO:0006412,GO:0006413,GO:0006518,GO:0006605,GO:0006612,GO:0006613,GO:0006614,GO:0006725,GO:0006807,GO:0006810,GO:0006886,GO:0008104,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009058,GO:0009059,GO:0009892,GO:0009987,GO:0010467,GO:0010468,GO:0010605,GO:0010629,GO:0015031,GO:0015833,GO:0015934,GO:0016070,GO:0016071,GO:0019222,GO:0019439,GO:0019538,GO:0022625,GO:0022626,GO:0030425,GO:0032991,GO:0033036,GO:0033365,GO:0034613,GO:0034641,GO:0034645,GO:0034655,GO:0035770,GO:0036464,GO:0036477,GO:0042886,GO:0042995,GO:0043005,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044265,GO:0044267,GO:0044270,GO:0044271,GO:0044297,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044463,GO:0044464,GO:0045047,GO:0045184,GO:0046483,GO:0046700,GO:0046907,GO:0048519,GO:0050789,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0060255,GO:0065007,GO:0070727,GO:0070972,GO:0071702,GO:0071704,GO:0071705,GO:0072594,GO:0072599,GO:0072657,GO:0090150,GO:0090304,GO:0097447,GO:0097458,GO:0120025,GO:0120038,GO:1901360,GO:1901361,GO:1901564,GO:1901566,GO:1901575,GO:1901576,GO:1990904
RPL24	0.0178085155550933	-2.04820899612289	0.182	0.526	1	apo	GO:0000027,GO:0000075,GO:0000184,GO:0000278,GO:0000280,GO:0000902,GO:0000904,GO:0000956,GO:0001654,GO:0002181,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005829,GO:0005840,GO:0005844,GO:0006139,GO:0006401,GO:0006402,GO:0006412,GO:0006413,GO:0006518,GO:0006605,GO:0006612,GO:0006613,GO:0006614,GO:0006725,GO:0006807,GO:0006810,GO:0006886,GO:0006928,GO:0006935,GO:0006996,GO:0007049,GO:0007093,GO:0007275,GO:0007346,GO:0007399,GO:0007409,GO:0007411,GO:0007423,GO:0008104,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009058,GO:0009059,GO:0009605,GO:0009653,GO:0009790,GO:0009792,GO:0009892,GO:0009987,GO:0010458,GO:0010467,GO:0010468,GO:0010605,GO:0010629,GO:0012505,GO:0015031,GO:0015833,GO:0015934,GO:0016043,GO:0016070,GO:0016071,GO:0019222,GO:0019439,GO:0019538,GO:0021545,GO:0021554,GO:0021675,GO:0022008,GO:0022402,GO:0022607,GO:0022613,GO:0022618,GO:0022625,GO:0022626,GO:0030030,GO:0030154,GO:0030182,GO:0031175,GO:0031290,GO:0032501,GO:0032502,GO:0032989,GO:0032990,GO:0032991,GO:0033036,GO:0033365,GO:0034613,GO:0034622,GO:0034641,GO:0034645,GO:0034655,GO:0040011,GO:0042221,GO:0042254,GO:0042255,GO:0042273,GO:0042330,GO:0042788,GO:0042886,GO:0043009,GO:0043010,GO:0043043,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044265,GO:0044267,GO:0044270,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0044770,GO:0044772,GO:0045047,GO:0045184,GO:0045786,GO:0045930,GO:0046483,GO:0046700,GO:0046907,GO:0048285,GO:0048468,GO:0048513,GO:0048519,GO:0048523,GO:0048666,GO:0048667,GO:0048699,GO:0048731,GO:0048812,GO:0048856,GO:0048858,GO:0048869,GO:0050789,GO:0050794,GO:0050896,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0051726,GO:0060041,GO:0060255,GO:0061564,GO:0065003,GO:0065007,GO:0070727,GO:0070925,GO:0070972,GO:0071702,GO:0071704,GO:0071705,GO:0071826,GO:0071840,GO:0072594,GO:0072599,GO:0072657,GO:0090150,GO:0090304,GO:0097159,GO:0097485,GO:0120036,GO:0120039,GO:0140014,GO:1901360,GO:1901361,GO:1901363,GO:1901564,GO:1901566,GO:1901575,GO:1901576,GO:1902626,GO:1903047,GO:1990904
RPL13	0.0278520501243541	-2.08014378295225	0.291	0.579	1	apo	GO:0000184,GO:0000956,GO:0001889,GO:0002181,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0005737,GO:0005783,GO:0005829,GO:0005840,GO:0006139,GO:0006401,GO:0006402,GO:0006412,GO:0006413,GO:0006518,GO:0006605,GO:0006612,GO:0006613,GO:0006614,GO:0006725,GO:0006807,GO:0006810,GO:0006886,GO:0007275,GO:0008104,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009058,GO:0009059,GO:0009892,GO:0009987,GO:0010467,GO:0010468,GO:0010605,GO:0010629,GO:0012505,GO:0015031,GO:0015833,GO:0015934,GO:0016070,GO:0016071,GO:0019222,GO:0019439,GO:0019538,GO:0022625,GO:0022626,GO:0031099,GO:0031100,GO:0031974,GO:0031981,GO:0032501,GO:0032502,GO:0032991,GO:0033036,GO:0033365,GO:0034613,GO:0034641,GO:0034645,GO:0034655,GO:0042886,GO:0043043,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044265,GO:0044267,GO:0044270,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0045047,GO:0045184,GO:0046483,GO:0046700,GO:0046907,GO:0048513,GO:0048519,GO:0048731,GO:0048732,GO:0048856,GO:0050789,GO:0050794,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0051726,GO:0060255,GO:0061008,GO:0065007,GO:0070013,GO:0070727,GO:0070972,GO:0071702,GO:0071704,GO:0071705,GO:0072594,GO:0072599,GO:0072657,GO:0090150,GO:0090304,GO:0097159,GO:0097421,GO:1901360,GO:1901361,GO:1901363,GO:1901564,GO:1901566,GO:1901575,GO:1901576,GO:1990904
RPL7	0.150970933388103	-1.41345947919548	0.236	0.526	1	apo	GO:0000184,GO:0000463,GO:0000470,GO:0000956,GO:0001889,GO:0002181,GO:0003674,GO:0003676,GO:0003677,GO:0003723,GO:0003729,GO:0003735,GO:0005198,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005844,GO:0006139,GO:0006364,GO:0006396,GO:0006401,GO:0006402,GO:0006412,GO:0006413,GO:0006518,GO:0006605,GO:0006612,GO:0006613,GO:0006614,GO:0006725,GO:0006807,GO:0006810,GO:0006886,GO:0007275,GO:0008097,GO:0008104,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009058,GO:0009059,GO:0009892,GO:0009987,GO:0010467,GO:0010468,GO:0010605,GO:0010629,GO:0015031,GO:0015833,GO:0015934,GO:0016070,GO:0016071,GO:0016072,GO:0019222,GO:0019439,GO:0019538,GO:0019843,GO:0022613,GO:0022625,GO:0022626,GO:0030016,GO:0030017,GO:0031099,GO:0031100,GO:0031672,GO:0032501,GO:0032502,GO:0032991,GO:0033036,GO:0033365,GO:0034470,GO:0034613,GO:0034641,GO:0034645,GO:0034655,GO:0034660,GO:0042254,GO:0042273,GO:0042802,GO:0042803,GO:0042886,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043292,GO:0043603,GO:0043604,GO:0044085,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044265,GO:0044267,GO:0044270,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044449,GO:0044464,GO:0045047,GO:0045184,GO:0046483,GO:0046700,GO:0046907,GO:0046983,GO:0048513,GO:0048519,GO:0048731,GO:0048732,GO:0048856,GO:0050789,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0060255,GO:0061008,GO:0065007,GO:0070727,GO:0070972,GO:0071702,GO:0071704,GO:0071705,GO:0071840,GO:0072594,GO:0072599,GO:0072657,GO:0090150,GO:0090304,GO:0097159,GO:0097421,GO:0099080,GO:0099081,GO:0099512,GO:1901360,GO:1901361,GO:1901363,GO:1901564,GO:1901566,GO:1901575,GO:1901576,GO:1990904
USP9X	0.381005905371522	-2.18472674947231	0.073	0.211	1	apo	GO:0000003,GO:0000122,GO:0000902,GO:0000904,GO:0001654,GO:0001700,GO:0001701,GO:0001745,GO:0001764,GO:0002682,GO:0003002,GO:0003674,GO:0003824,GO:0004175,GO:0004197,GO:0004843,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006355,GO:0006357,GO:0006464,GO:0006508,GO:0006511,GO:0006605,GO:0006625,GO:0006807,GO:0006810,GO:0006886,GO:0006897,GO:0006928,GO:0006996,GO:0007031,GO:0007097,GO:0007154,GO:0007165,GO:0007166,GO:0007167,GO:0007178,GO:0007179,GO:0007275,GO:0007276,GO:0007292,GO:0007349,GO:0007389,GO:0007399,GO:0007409,GO:0007417,GO:0007420,GO:0007423,GO:0008104,GO:0008150,GO:0008152,GO:0008233,GO:0008234,GO:0008354,GO:0008583,GO:0009056,GO:0009057,GO:0009653,GO:0009719,GO:0009790,GO:0009791,GO:0009792,GO:0009798,GO:0009887,GO:0009889,GO:0009890,GO:0009892,GO:0009893,GO:0009950,GO:0009953,GO:0009966,GO:0009987,GO:0010033,GO:0010468,GO:0010556,GO:0010558,GO:0010604,GO:0010605,GO:0010629,GO:0010646,GO:0015031,GO:0015833,GO:0016043,GO:0016049,GO:0016192,GO:0016477,GO:0016579,GO:0016787,GO:0019219,GO:0019222,GO:0019538,GO:0019783,GO:0019941,GO:0019953,GO:0021537,GO:0021543,GO:0021549,GO:0021575,GO:0021587,GO:0021695,GO:0021696,GO:0021698,GO:0021761,GO:0021766,GO:0022008,GO:0022037,GO:0022412,GO:0022414,GO:0023051,GO:0023052,GO:0030030,GO:0030154,GO:0030162,GO:0030163,GO:0030182,GO:0030424,GO:0030426,GO:0030427,GO:0030509,GO:0030900,GO:0030902,GO:0031175,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0032268,GO:0032269,GO:0032501,GO:0032502,GO:0032504,GO:0032989,GO:0032990,GO:0033036,GO:0033267,GO:0033365,GO:0034613,GO:0035190,GO:0035192,GO:0036211,GO:0036459,GO:0040007,GO:0040011,GO:0042221,GO:0042886,GO:0042995,GO:0043005,GO:0043009,GO:0043170,GO:0043412,GO:0043574,GO:0043632,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044424,GO:0044444,GO:0044463,GO:0044464,GO:0044703,GO:0045177,GO:0045184,GO:0045861,GO:0045892,GO:0045934,GO:0045935,GO:0046332,GO:0046907,GO:0048468,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048532,GO:0048583,GO:0048588,GO:0048589,GO:0048592,GO:0048609,GO:0048646,GO:0048666,GO:0048667,GO:0048675,GO:0048699,GO:0048731,GO:0048749,GO:0048812,GO:0048856,GO:0048858,GO:0048869,GO:0048870,GO:0050776,GO:0050789,GO:0050794,GO:0050854,GO:0050856,GO:0050896,GO:0051052,GO:0051054,GO:0051171,GO:0051172,GO:0051173,GO:0051179,GO:0051234,GO:0051246,GO:0051248,GO:0051252,GO:0051253,GO:0051603,GO:0051640,GO:0051641,GO:0051647,GO:0051649,GO:0051656,GO:0051674,GO:0051704,GO:0051716,GO:0060255,GO:0060322,GO:0060560,GO:0061564,GO:0065007,GO:0070011,GO:0070410,GO:0070646,GO:0070647,GO:0070727,GO:0070848,GO:0070887,GO:0071108,GO:0071310,GO:0071363,GO:0071495,GO:0071559,GO:0071560,GO:0071702,GO:0071704,GO:0071705,GO:0071772,GO:0071773,GO:0071840,GO:0072594,GO:0072662,GO:0072663,GO:0080090,GO:0090596,GO:0097458,GO:0098657,GO:0101005,GO:0120025,GO:0120036,GO:0120038,GO:0120039,GO:0140096,GO:0150034,GO:1901535,GO:1901537,GO:1901564,GO:1901565,GO:1901575,GO:1902679,GO:1903506,GO:1903507,GO:1990138,GO:1990380,GO:2000112,GO:2000113,GO:2001141
BAZ1A	0.442877690441786	-2.07883809626089	0.055	0.158	1	apo	GO:0000228,GO:0000785,GO:0000790,GO:0001672,GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006323,GO:0006325,GO:0006333,GO:0006334,GO:0006338,GO:0006355,GO:0006357,GO:0006725,GO:0006807,GO:0006996,GO:0007275,GO:0007399,GO:0008150,GO:0008152,GO:0008623,GO:0009058,GO:0009059,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0010847,GO:0016043,GO:0016462,GO:0016584,GO:0016590,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019219,GO:0019222,GO:0022607,GO:0031010,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031445,GO:0031497,GO:0031974,GO:0031981,GO:0032501,GO:0032502,GO:0032991,GO:0033043,GO:0033044,GO:0034622,GO:0034641,GO:0034645,GO:0034728,GO:0042623,GO:0042766,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043462,GO:0043933,GO:0044085,GO:0044087,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044446,GO:0044454,GO:0044464,GO:0045892,GO:0045934,GO:0046483,GO:0048519,GO:0048523,GO:0048731,GO:0048856,GO:0050789,GO:0050790,GO:0050794,GO:0051128,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0051276,GO:0051336,GO:0060255,GO:0065003,GO:0065004,GO:0065007,GO:0065009,GO:0070013,GO:0070603,GO:0070615,GO:0071103,GO:0071704,GO:0071824,GO:0071840,GO:0080090,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1901576,GO:1902275,GO:1902494,GO:1902679,GO:1903506,GO:1903507,GO:1904949,GO:2000112,GO:2000113,GO:2001141
HIAT1	0.4525610849661	-6.99170113628535	0	0.053	1	apo	GO:0003674,GO:0005215,GO:0006810,GO:0008150,GO:0051179,GO:0051234,GO:0055085
AGRN.1	0.46867648065086	-2.84125971649251	0.055	0.105	1	apo	GO:0000323,GO:0001523,GO:0001932,GO:0001934,GO:0001941,GO:0002028,GO:0002162,GO:0003674,GO:0004857,GO:0005198,GO:0005200,GO:0005488,GO:0005509,GO:0005515,GO:0005539,GO:0005575,GO:0005576,GO:0005604,GO:0005605,GO:0005615,GO:0005622,GO:0005623,GO:0005737,GO:0005764,GO:0005773,GO:0005775,GO:0005794,GO:0005796,GO:0005829,GO:0005886,GO:0006022,GO:0006023,GO:0006024,GO:0006026,GO:0006027,GO:0006355,GO:0006357,GO:0006629,GO:0006720,GO:0006721,GO:0006807,GO:0006937,GO:0006942,GO:0006996,GO:0007009,GO:0007010,GO:0007154,GO:0007155,GO:0007158,GO:0007165,GO:0007166,GO:0007167,GO:0007169,GO:0007171,GO:0007186,GO:0007213,GO:0007267,GO:0007268,GO:0007275,GO:0007399,GO:0007416,GO:0007417,GO:0007420,GO:0007528,GO:0008016,GO:0008047,GO:0008104,GO:0008150,GO:0008152,GO:0008201,GO:0008582,GO:0009056,GO:0009057,GO:0009058,GO:0009059,GO:0009719,GO:0009725,GO:0009889,GO:0009891,GO:0009893,GO:0009966,GO:0009967,GO:0009986,GO:0009987,GO:0010033,GO:0010256,GO:0010468,GO:0010469,GO:0010556,GO:0010557,GO:0010562,GO:0010604,GO:0010628,GO:0010646,GO:0010647,GO:0010721,GO:0010766,GO:0010769,GO:0010941,GO:0010942,GO:0010959,GO:0010975,GO:0010977,GO:0012505,GO:0016020,GO:0016043,GO:0016101,GO:0019207,GO:0019209,GO:0019219,GO:0019220,GO:0019222,GO:0019838,GO:0019887,GO:0019955,GO:0021700,GO:0022008,GO:0022603,GO:0022604,GO:0022607,GO:0022610,GO:0022898,GO:0023051,GO:0023052,GO:0023056,GO:0030029,GO:0030030,GO:0030031,GO:0030036,GO:0030154,GO:0030182,GO:0030198,GO:0030203,GO:0030234,GO:0030295,GO:0030296,GO:0030297,GO:0030424,GO:0030426,GO:0030427,GO:0030545,GO:0030546,GO:0030548,GO:0031012,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031344,GO:0031345,GO:0031346,GO:0031399,GO:0031401,GO:0031406,GO:0031532,GO:0031594,GO:0031974,GO:0032092,GO:0032101,GO:0032147,GO:0032268,GO:0032270,GO:0032409,GO:0032410,GO:0032412,GO:0032413,GO:0032501,GO:0032502,GO:0032780,GO:0032870,GO:0032879,GO:0032886,GO:0033036,GO:0033043,GO:0033267,GO:0033674,GO:0033691,GO:0034613,GO:0034622,GO:0034762,GO:0034763,GO:0034765,GO:0034766,GO:0035374,GO:0035690,GO:0036094,GO:0036122,GO:0038023,GO:0040008,GO:0040012,GO:0042030,GO:0042221,GO:0042325,GO:0042327,GO:0042391,GO:0042493,GO:0042551,GO:0042981,GO:0042995,GO:0043005,GO:0043062,GO:0043065,GO:0043067,GO:0043068,GO:0043083,GO:0043085,GO:0043086,GO:0043087,GO:0043112,GO:0043113,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0043177,GO:0043202,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043236,GO:0043237,GO:0043266,GO:0043267,GO:0043269,GO:0043271,GO:0043393,GO:0043394,GO:0043395,GO:0043462,GO:0043523,GO:0043525,GO:0043547,GO:0043549,GO:0043933,GO:0044057,GO:0044085,GO:0044087,GO:0044089,GO:0044092,GO:0044093,GO:0044237,GO:0044238,GO:0044255,GO:0044260,GO:0044295,GO:0044325,GO:0044420,GO:0044421,GO:0044422,GO:0044424,GO:0044425,GO:0044431,GO:0044437,GO:0044444,GO:0044446,GO:0044456,GO:0044463,GO:0044464,GO:0045121,GO:0045161,GO:0045162,GO:0045178,GO:0045202,GO:0045213,GO:0045595,GO:0045596,GO:0045664,GO:0045665,GO:0045859,GO:0045860,GO:0045887,GO:0045893,GO:0045927,GO:0045935,GO:0045937,GO:0045944,GO:0046847,GO:0046872,GO:0048468,GO:0048469,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048638,GO:0048639,GO:0048666,GO:0048699,GO:0048731,GO:0048856,GO:0048869,GO:0050431,GO:0050730,GO:0050731,GO:0050767,GO:0050768,GO:0050770,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050803,GO:0050807,GO:0050808,GO:0050840,GO:0050896,GO:0050920,GO:0051049,GO:0051051,GO:0051093,GO:0051094,GO:0051098,GO:0051099,GO:0051128,GO:0051129,GO:0051130,GO:0051171,GO:0051173,GO:0051174,GO:0051179,GO:0051239,GO:0051240,GO:0051241,GO:0051246,GO:0051247,GO:0051252,GO:0051254,GO:0051259,GO:0051262,GO:0051270,GO:0051290,GO:0051291,GO:0051336,GO:0051338,GO:0051345,GO:0051346,GO:0051347,GO:0051489,GO:0051491,GO:0051493,GO:0051641,GO:0051668,GO:0051716,GO:0051960,GO:0051961,GO:0051962,GO:0051963,GO:0051965,GO:0055117,GO:0060089,GO:0060255,GO:0060284,GO:0060322,GO:0060359,GO:0060491,GO:0060589,GO:0060590,GO:0061024,GO:0061097,GO:0061098,GO:0062023,GO:0065003,GO:0065007,GO:0065008,GO:0065009,GO:0070013,GO:0070507,GO:0070727,GO:0070887,GO:0071242,GO:0071310,GO:0071340,GO:0071495,GO:0071695,GO:0071704,GO:0071840,GO:0071944,GO:0072657,GO:0080090,GO:0086036,GO:0090257,GO:0095500,GO:0097367,GO:0097458,GO:0098589,GO:0098609,GO:0098772,GO:0098805,GO:0098857,GO:0098916,GO:0099173,GO:0099536,GO:0099537,GO:0099601,GO:0099602,GO:0120025,GO:0120031,GO:0120032,GO:0120034,GO:0120035,GO:0120036,GO:0120038,GO:0150034,GO:1901016,GO:1901017,GO:1901135,GO:1901136,GO:1901137,GO:1901214,GO:1901216,GO:1901379,GO:1901380,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576,GO:1901681,GO:1901698,GO:1901699,GO:1901700,GO:1901701,GO:1902305,GO:1902306,GO:1902667,GO:1902680,GO:1903276,GO:1903277,GO:1903406,GO:1903407,GO:1903506,GO:1903508,GO:1903522,GO:1903831,GO:1904062,GO:1904063,GO:1904396,GO:1904398,GO:1905144,GO:1905145,GO:2000026,GO:2000112,GO:2000273,GO:2000539,GO:2000541,GO:2000649,GO:2000650,GO:2001141
HEATR5B	0.496274001626043	-3.37865612558428	0.018	0.158	1	apo	GO:0008104,GO:0008150,GO:0033036,GO:0045176,GO:0051179
MAT1A	0.496275000976418	-3.6305860486647	0.018	0.105	1	apo	GO:0000096,GO:0000098,GO:0000166,GO:0000287,GO:0001887,GO:0003674,GO:0003824,GO:0004478,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006555,GO:0006556,GO:0006732,GO:0006790,GO:0006807,GO:0007275,GO:0007568,GO:0007623,GO:0008144,GO:0008150,GO:0008152,GO:0008340,GO:0009056,GO:0009058,GO:0009063,GO:0009066,GO:0009068,GO:0009087,GO:0009108,GO:0009314,GO:0009416,GO:0009628,GO:0009719,GO:0009725,GO:0009987,GO:0010033,GO:0010243,GO:0010259,GO:0010883,GO:0010888,GO:0014070,GO:0014074,GO:0016043,GO:0016054,GO:0016363,GO:0016597,GO:0016740,GO:0016765,GO:0017076,GO:0017144,GO:0019752,GO:0022607,GO:0030554,GO:0031406,GO:0031974,GO:0031981,GO:0032259,GO:0032501,GO:0032502,GO:0032553,GO:0032555,GO:0032559,GO:0032879,GO:0032991,GO:0034097,GO:0034214,GO:0034399,GO:0035639,GO:0036094,GO:0042221,GO:0042493,GO:0042802,GO:0042803,GO:0043167,GO:0043168,GO:0043169,GO:0043177,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043436,GO:0043531,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044272,GO:0044273,GO:0044281,GO:0044282,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0046395,GO:0046500,GO:0046683,GO:0046872,GO:0046983,GO:0048269,GO:0048511,GO:0048519,GO:0048856,GO:0050789,GO:0050896,GO:0051186,GO:0051188,GO:0051259,GO:0051260,GO:0051262,GO:0051289,GO:0051291,GO:0051591,GO:0051716,GO:0065003,GO:0065007,GO:0065008,GO:0070013,GO:0070887,GO:0071310,GO:0071345,GO:0071704,GO:0071840,GO:0097159,GO:0097367,GO:0098601,GO:1901265,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901576,GO:1901605,GO:1901606,GO:1901698,GO:1901700,GO:1902494,GO:1905952,GO:1905953,GO:1990234,GO:1990823,GO:1990830
