Protein_ID	gene
evm.model.Ap11.1448	evm.TU.Ap11.1448
evm.model.Ap11.1449	evm.TU.Ap11.1449
evm.model.Ap11.1446	evm.TU.Ap11.1446
evm.model.Ap11.1447	evm.TU.Ap11.1447
evm.model.Ap11.1444	evm.TU.Ap11.1444
evm.model.Ap11.1445	evm.TU.Ap11.1445
evm.model.Ap11.1442	evm.TU.Ap11.1442
evm.model.Ap11.1443	evm.TU.Ap11.1443
evm.model.Ap11.1440	evm.TU.Ap11.1440
evm.model.Ap11.1441	evm.TU.Ap11.1441
evm.model.Ap11.10	evm.TU.Ap11.10
evm.model.Ap11.11	evm.TU.Ap11.11
evm.model.Ap11.12	evm.TU.Ap11.12
evm.model.Ap11.13	evm.TU.Ap11.13
evm.model.Ap11.14	evm.TU.Ap11.14
evm.model.Ap11.14.1.5f15db9e	evm.TU.Ap11.14.1.5f15db9e
evm.model.Ap11.14.2.5f15db9e	evm.TU.Ap11.14.2.5f15db9e
evm.model.Ap11.15	evm.TU.Ap11.15
evm.model.Ap11.15.1.5f15db9f	evm.TU.Ap11.15.1.5f15db9f
evm.model.Ap11.16	evm.TU.Ap11.16
evm.model.Ap11.17	evm.TU.Ap11.17
evm.model.Ap11.18	evm.TU.Ap11.18
evm.model.Ap11.19	evm.TU.Ap11.19
evm.model.Ap11.1628	evm.TU.Ap11.1628
evm.model.Ap11.1629	evm.TU.Ap11.1629
evm.model.Ap11.1620	evm.TU.Ap11.1620
evm.model.Ap11.1621	evm.TU.Ap11.1621
evm.model.Ap11.738	evm.TU.Ap11.738
evm.model.Ap11.739	evm.TU.Ap11.739
evm.model.Ap11.732	evm.TU.Ap11.732
evm.model.Ap11.730	evm.TU.Ap11.730
evm.model.Ap11.731	evm.TU.Ap11.731
evm.model.Ap11.736	evm.TU.Ap11.736
evm.model.Ap11.737	evm.TU.Ap11.737
evm.model.Ap11.735	evm.TU.Ap11.735
evm.model.Ap11.479	evm.TU.Ap11.479
evm.model.Ap11.478	evm.TU.Ap11.478
evm.model.Ap11.679	evm.TU.Ap11.679
evm.model.Ap11.678	evm.TU.Ap11.678
evm.model.Ap11.677	evm.TU.Ap11.677
evm.model.Ap11.676	evm.TU.Ap11.676
evm.model.Ap11.675	evm.TU.Ap11.675
evm.model.Ap11.674	evm.TU.Ap11.674
evm.model.Ap11.673	evm.TU.Ap11.673
evm.model.Ap11.672	evm.TU.Ap11.672
evm.model.Ap11.671	evm.TU.Ap11.671
evm.model.Ap11.670	evm.TU.Ap11.670
evm.model.Ap11.1235	evm.TU.Ap11.1235
evm.model.Ap11.1232	evm.TU.Ap11.1232
evm.model.Ap11.1820_evm.model.Ap11.1818.2.5f168b98	evm.TU.Ap11.1820.evm.TU.Ap11.1818.2.5f168b98
evm.model.Ap11.1820_evm.model.Ap11.1818.1.5f168b97	evm.TU.Ap11.1820.evm.TU.Ap11.1818.1.5f168b97
evm.model.Ap11.1820_evm.model.Ap11.1818	evm.TU.Ap11.1820.evm.TU.Ap11.1818
evm.model.Ap11.1178	evm.TU.Ap11.1178
evm.model.Ap11.1179	evm.TU.Ap11.1179
evm.model.Ap11.1176	evm.TU.Ap11.1176
evm.model.Ap11.1177	evm.TU.Ap11.1177
evm.model.Ap11.1174	evm.TU.Ap11.1174
evm.model.Ap11.1175	evm.TU.Ap11.1175
evm.model.Ap11.1172	evm.TU.Ap11.1172
evm.model.Ap11.1173	evm.TU.Ap11.1173
evm.model.Ap11.1170	evm.TU.Ap11.1170
evm.model.Ap11.1171	evm.TU.Ap11.1171
evm.model.Ap11.888	evm.TU.Ap11.888
evm.model.Ap11.889	evm.TU.Ap11.889
evm.model.Ap11.884	evm.TU.Ap11.884
evm.model.Ap11.885	evm.TU.Ap11.885
evm.model.Ap11.886	evm.TU.Ap11.886
evm.model.Ap11.887	evm.TU.Ap11.887
evm.model.Ap11.880	evm.TU.Ap11.880
