Preferred_name,Fishers_oculina
DST,1
CEBPA,1
htl,1
beta.Spec,1
g24753,1
ASS1,1
IAH1,1
WDR41.3,1
MYH9,1
g13322,1
g21960,1
EZR,1
RPS14,1
GBA,1
Tspan18,1
RpS27A,1
CSRP1.1,1
RPL27,1
g18493,1
RPL23,1
RPL4,1
g16218,1
Cyp1,1
NRCAM.1,1
RPL27A,1
LLGL1,1
PTPRM,1
RPL13,1
uba52,1
RPL21,1
g22237,1
RPL12,1
g19394,1
RPS13,1
RPS26,1
rps24,1
rpl.41,1
NFAT5,1
RPL7,1
g14047,1
g23153,1
SPTAN1,1
GNB2L1,1
RPS12,1
RPL6,1
rps17,1
RPL24,1
ANKS3,1
HSP90B1,1
rpl26l1,1
g24017,1
npm1,1
rps18,1
DLC1,1
RPS5,1
RpL37A,1
RPL36,1
EEF1D,1
RPS16,1
RPL10A.1,1
AKAP9,1
awd.1,1
rpl30,1
ATP5B,1
rps9,1
RPS3,1
NSA2,1
EIF4A2,1
RPL10A,1
CNKSR1,1
RPL22,1
g901,1
ATP5G2,1
g2185,1
MOXD1.10,1
HSPA5,1
g18583,1
FK506.bp2,1
cib,1
SLC34A2,1
RPSA,1
RPL35A,1
ENDOU,1
g25828,1
CRYAB.1,1
RSL24D1,1
SLC25A31.1,1
g11010,1
BSG.1,1
NDUFA4,1
ADAMTS2,1
g12976,1
g6244,1
CDC42,1
Sh3bgrl3.1,1
EFB1,1
RpL3,1
SULF1,1
grdn.1,1
FKBP3,1
LMO7,1
g15033,1
add.1,1
HYOU1,1
Fim,1
g20696,1
ISYNA1,1
HNF4A,1
RAC2,1
eif5a2,1
TPP1,1
CDC42BPA,1
MOXD1.12,1
g1082,1
PISD,1
pyd,1
GNB4,1
EEF2,1
ELF2,1
Nurf.38,1
SNX2,1
IQGAP1,1
CPT1B,1
SLK,1
ARHGEF12,1
ANO4,1
GIF,1
ATP5A1,1
g28002,1
ABCA3,1
SSR2,1
DAG1,1
IRX4,1
ESYT3.2,1
TNRC18,1
DYSF.2,1
MLLT4,1
g7221,1
RECK,1
ANKRD7,1
DBNL,1
g24009,1
PCYT1A,1
enol.1,1
ITSN1,1
g4327,1
g19262,1
MDH1,1
PFKL,1
PTCHD3.2,1
g15827,1
YTHDC1,1
g3700,1
tud.1,1
FLOT1,1
CCND2,1
g26521,1
PPP1R12C,1
TEX9,1
CROCC.1,1
g4462,1
MYO1,1
SMTNL1,1
SSR4,1
HSPA9,1
PRCP,1
CTTN,1
TPR,1
PPFIA1,1
PSMB5,1
SREBF2,1
crml.1,1
CTSE,1
g19479,1
g29466,1
XIRP2,1
awd,1
APBB2,1
ARHGEF6,1
g266,0
ITLN1,0
COQ9,0
g269,0
SOCS6,0
ITFG1,0
MASP1,0
g274,0
GPR133,0
g276,0
g277,0
g278,0
g279,0
g280,0
g281,0
ADRA1D,0
ADORA2B,0
g285,0
g286,0
g287,0
DNAJA2,0
g290,0
SLC9A8,0
EIF6,0
C8orf37,0
PEPD,0
PRRT4,0
g296,0
PEPD.1,0
PEPD.2,0
HKR1,0
RSPRY1,0
TAF4B,0
g302,0
TMPPE,0
g304,0
g305,0
KIF15,0
g307,0
g308,0
g309,0
GSS,0
g311,0
g312,0
SLC3A1,0
METTL9,0
TMEM64,0
MPHOSPH6,0
C5orf49,0
g318,0
DEF8,0
BBS10,0
CWC2,0
NCOA5,0
g323,0
Mmp1,0
Mmp1.1,0
NELFCD,0
SLMO2,0
g328,0
g329,0
MED10,0
g331,0
XYLB,0
g333,0
UBA3,0
TMPPE.1,0
AARS,0
FA2H,0
g338,0
g340,0
PYURF,0
PRMT5,0
g343,0
KCNA2,0
MYLIP,0
GAS8,0
SIAE,0
g349,0
g368,0
PPP4R1,0
g370,0
g371,0
CSRNP3,0
FIBCD1,0
HIPK1,0
TNR,0
TNR.1,0
g377,0
fibcd1,0
TNR.2,0
TNR.3,0
TNR.4,0
TNR.5,0
USP10,0
AFG3L2,0
g388,0
KIAA1143,0
g390,0
TRPM2,0
PPP1R3E,0
PPP1R3D,0
PPP1R3C,0
PPP1R3E.1,0
g396,0
g397,0
TBC1D32,0
TNR.6,0
g400,0
g401,0
FIBCD1.1,0
Top1,0
PLA2G15,0
g407,0
g408,0
DTX1,0
g410,0
g411,0
TRIM71,0
g413,0
DTX1.1,0
DTX3L,0
KLHDC2,0
KLHDC2.1,0
g419,0
g420,0
g421,0
PARP14,0
g423,0
PARP12,0
g425,0
TMEM151B,0
TMEM151B.1,0
g430,0
g431,0
MIB2,0
MAF,0
MAFG,0
MAFG.1,0
MAFB,0
MAF.1,0
MAFG.2,0
MAF.2,0
g441,0
g447,0
g448,0
g449,0
g450,0
g451,0
g452,0
g453,0
g454,0
g455,0
g456,0
g462,0
ZDHHC1,0
g468,0
g470,0
ymdB,0
g472,0
TNR.7,0
g475,0
MTSS1,0
FAM96B,0
g481,0
ninaE,0
TRIM59,0
npr.9,0
DRD2,0
g486,0
g487,0
g488,0
g489,0
FAM192A,0
LRRC69,0
g492,0
C7orf72,0
NDUFB9,0
g495,0
g496,0
FANCA,0
g500,0
ATXN1L,0
GMPR,0
CDYL2,0
g505,0
NEURL2,0
SEH1L,0
PABPN1,0
TRAPPC2L,0
GALNS,0
AURKA,0
FAM210B,0
DUSP19,0
MC5R,0
PKD1L2,0
g516,0
ACTR2,0
ANGPT4,0
VPS4B,0
g520,0
ATP6V0D1,0
GINS2,0
g523,0
g524,0
g525,0
KIAA0391,0
g527,0
g528,0
FAM92A1,0
PIGU,0
ung,0
g536,0
g537,0
GFOD2,0
OPLAH,0
CCNE1,0
OPLAH.1,0
g542,0
TP53INP1,0
SNX21,0
SNX20,0
g546,0
LSM14B,0
SS18,0
NLRP3,0
g550,0
PSMA7,0
CENPT,0
ENY2,0
HTR7,0
g556,0
sd,0
HTR7.1,0
g559,0
g560,0
g562,0
g563,0
g564,0
g565,0
g567,0
g568,0
g569,0
g570,0
RBM28,0
COG4,0
TRIP4,0
KIAA0355,0
C18orf63,0
SOX21,0
g577,0
C18orf63.1,0
g579,0
g580,0
g582,0
RIPK1,0
g585,0
TNR.8,0
g587,0
ANKRD44,0
KLHL17,0
CBLN4,0
g592,0
CYBA,0
CDT1,0
FAM69C,0
CBFB,0
KATNB1,0
C8orf82,0
AKTIP,0
CCNDBP1,0
TNR.9,0
TNR.10,0
NELL1,0
fibcd1.1,0
g606,0
g607,0
g608,0
HIPK1.1,0
g610,0
g612,0
g613,0
g614,0
BLVRA,0
C1GALT1,0
C1GALT1.1,0
MROH1,0
g621,0
TAT,0
CYB5A,0
CMIP,0
g625,0
g626,0
g627,0
g628,0
g629,0
g630,0
g631,0
NFS1,0
g633,0
CYB5A.1,0
SAMD9L,0
SAMD9L.1,0
DCDC2,0
FURIN,0
ARPC4,0
CNOT1,0
GPX1,0
g643,0
g644,0
g645,0
