Protein_ID,Fishers_oculina
evm.model.Ap3.1410,1
evm.model.Ap13.112,1
evm.model.Ap10.745,1
evm.model.Ap1.949,1
evm.model.Ap11.1270,1
evm.model.Ap1.3444,1
evm.model.Ap12.538,1
evm.model.Ap12.2615,1
evm.model.Ap1.850,1
evm.model.Ap6.2330,1
evm.model.Ap12.2468,1
evm.model.Ap6.3229,1
evm.model.Ap4.1025,1
evm.model.Ap13.987,1
evm.model.Ap7.2899,1
evm.model.Ap5.610,1
evm.model.Ap7.2698,1
evm.model.Ap7.1520,1
evm.model.Ap7.247,1
evm.model.Ap8.489,1
evm.model.Ap5.2789,1
evm.model.Ap3.1067,1
evm.model.Ap13.2990,1
evm.model.Ap4.6536,1
evm.model.Ap3.2101,1
evm.model.Ap2.2138,1
evm.model.Ap9.1190,1
evm.model.Ap6.1814,1
evm.model.Ap12.777,1
evm.model.Ap12.1831,1
evm.model.Ap6.1974,1
evm.model.Ap5.259,1
evm.model.Ap4.1512,1
evm.model.Ap11.1045,1
evm.model.Ap4.1498,1
evm.model.Ap11.1794,1
evm.model.Ap1.3151,1
evm.model.Ap1.509,1
evm.model.Ap7.2881,1
evm.model.Ap2.3811,1
evm.model.Ap9.2258,1
evm.model.Ap10.486,1
evm.model.Ap2.3130,1
evm.model.Ap9.1111,1
evm.model.Ap2.3031,1
evm.model.Ap1.4144,1
evm.model.Ap1.1421,1
evm.model.Ap6.3002,1
evm.model.Ap12.1425,1
evm.model.Ap1.2268,1
evm.model.Ap3.2362,1
evm.model.Ap3.1605,1
evm.model.Ap6.403,1
evm.model.Ap12.2531,1
evm.model.Ap2.499,1
evm.model.Ap12.2760,1
evm.model.Ap2.645,1
evm.model.Ap2.3389,1
evm.model.Ap7.2911,1
evm.model.Ap12.934,1
evm.model.Ap9.140,1
evm.model.Ap2.2609,1
evm.model.Ap3.1409,1
evm.model.Ap1.3239,1
evm.model.Ap5.2325,1
evm.model.Ap7.1442,1
evm.model.Ap1.1468,1
evm.model.Ap7.2221,1
evm.model.Ap3.2051,1
evm.model.Ap7.234,1
evm.model.Ap8.233,1
evm.model.Ap5.2941,1
evm.model.Ap13.971,1
evm.model.Ap1.2103,1
evm.model.Ap11.1460,1
evm.model.Ap7.405,1
evm.model.Ap5.535,1
evm.model.Ap7.2801,1
evm.model.Ap7.2251,1
evm.model.Ap9.2493,1
evm.model.Ap2.2610,1
evm.model.Ap9.1187,1
evm.model.Ap12.1169,1
evm.model.Ap11.89,1
evm.model.Ap1.1293,1
evm.model.Ap8.567,1
evm.model.Ap1.686,1
evm.model.Ap2.1446,1
evm.model.Ap8.2610,1
evm.model.Ap4.6622,1
evm.model.Ap13.933,1
evm.model.Ap13.1223,1
evm.model.Ap6.2880,1
evm.model.Ap9.1745,1
evm.model.Ap3.1408,1
evm.model.Ap13.236,1
evm.model.Ap7.2767,1
evm.model.Ap5.208,1
evm.model.Ap12.1542,1
evm.model.Ap12.486,1
evm.model.Ap13.744,1
evm.model.Ap6.413,1
evm.model.Ap2.1328,1
evm.model.Ap2.832,1
evm.model.Ap6.442,1
evm.model.Ap1.2500,1
evm.model.Ap11.1628,1
evm.model.Ap6.2791,1
evm.model.Ap2.3788,1
evm.model.Ap1.92,1
evm.model.Ap12.2340,1
evm.model.Ap6.3127,1
evm.model.Ap14.498,1
evm.model.Ap2.185,1
evm.model.Ap4.4892,1
evm.model.Ap13.1342,1
evm.model.Ap9.1062,1
evm.model.Ap4.1295,1
evm.model.Ap1.1168,1
evm.model.Ap9.1126,1
evm.model.Ap13.2471,1
evm.model.Ap6.2353,1
