Preferred_name	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	diffexpressed	GOs
c5	3.09138557633132e-27	1.37909395936757	0.632	0.412	6.40504177560085e-23	sym	-
DLC1	8.20781514365334e-16	-2.04199354524975	0.257	0.469	1.70057721961353e-11	apo	GO:0000132,GO:0000226,GO:0000278,GO:0000902,GO:0000910,GO:0000912,GO:0001655,GO:0001667,GO:0001700,GO:0001726,GO:0001838,GO:0001841,GO:0001843,GO:0001894,GO:0001952,GO:0001953,GO:0002009,GO:0002165,GO:0003007,GO:0003158,GO:0003159,GO:0003674,GO:0005096,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005739,GO:0005740,GO:0005811,GO:0005829,GO:0005856,GO:0005886,GO:0005901,GO:0005912,GO:0005924,GO:0005925,GO:0005938,GO:0006915,GO:0006919,GO:0006928,GO:0006996,GO:0007010,GO:0007017,GO:0007044,GO:0007045,GO:0007049,GO:0007051,GO:0007052,GO:0007088,GO:0007091,GO:0007154,GO:0007155,GO:0007160,GO:0007162,GO:0007163,GO:0007165,GO:0007166,GO:0007167,GO:0007169,GO:0007173,GO:0007202,GO:0007264,GO:0007265,GO:0007266,GO:0007267,GO:0007268,GO:0007274,GO:0007275,GO:0007346,GO:0007391,GO:0007399,GO:0007417,GO:0007420,GO:0007424,GO:0007427,GO:0007442,GO:0007443,GO:0007444,GO:0007472,GO:0007476,GO:0007494,GO:0007507,GO:0007552,GO:0007560,GO:0008047,GO:0008092,GO:0008150,GO:0008219,GO:0008258,GO:0008285,GO:0008360,GO:0008586,GO:0009653,GO:0009719,GO:0009725,GO:0009790,GO:0009791,GO:0009792,GO:0009886,GO:0009887,GO:0009888,GO:0009893,GO:0009966,GO:0009968,GO:0009987,GO:0010033,GO:0010243,GO:0010517,GO:0010518,GO:0010562,GO:0010564,GO:0010594,GO:0010596,GO:0010604,GO:0010631,GO:0010632,GO:0010633,GO:0010639,GO:0010646,GO:0010647,GO:0010648,GO:0010669,GO:0010769,GO:0010810,GO:0010812,GO:0010863,GO:0010941,GO:0010942,GO:0010950,GO:0010952,GO:0010965,GO:0010975,GO:0012501,GO:0014020,GO:0015629,GO:0016020,GO:0016043,GO:0016323,GO:0016331,GO:0016477,GO:0016525,GO:0017166,GO:0019220,GO:0019222,GO:0019899,GO:0019904,GO:0021575,GO:0021915,GO:0022008,GO:0022402,GO:0022603,GO:0022604,GO:0022607,GO:0022610,GO:0023051,GO:0023052,GO:0023056,GO:0023057,GO:0030010,GO:0030029,GO:0030036,GO:0030054,GO:0030055,GO:0030154,GO:0030155,GO:0030162,GO:0030234,GO:0030334,GO:0030336,GO:0030431,GO:0030695,GO:0030863,GO:0030864,GO:0030865,GO:0030866,GO:0030900,GO:0030902,GO:0031090,GO:0031252,GO:0031253,GO:0031256,GO:0031323,GO:0031325,GO:0031344,GO:0031399,GO:0031401,GO:0031589,GO:0031966,GO:0031967,GO:0031975,GO:0032231,GO:0032232,GO:0032268,GO:0032270,GO:0032501,GO:0032502,GO:0032506,GO:0032587,GO:0032868,GO:0032869,GO:0032870,GO:0032879,GO:0032956,GO:0032970,GO:0032989,GO:0033043,GO:0033044,GO:0033045,GO:0033047,GO:0034329,GO:0034330,GO:0034332,GO:0034333,GO:0035023,GO:0035024,GO:0035107,GO:0035114,GO:0035120,GO:0035148,GO:0035152,GO:0035160,GO:0035220,GO:0035239,GO:0035277,GO:0035295,GO:0035303,GO:0035304,GO:0035306,GO:0035307,GO:0035556,GO:0038127,GO:0040001,GO:0040011,GO:0040012,GO:0040013,GO:0042127,GO:0042169,GO:0042221,GO:0042592,GO:0042981,GO:0042995,GO:0043009,GO:0043065,GO:0043067,GO:0043068,GO:0043085,GO:0043087,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043274,GO:0043280,GO:0043281,GO:0043434,GO:0043535,GO:0043537,GO:0043542,GO:0043547,GO:0044085,GO:0044087,GO:0044093,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044430,GO:0044444,GO:0044446,GO:0044448,GO:0044459,GO:0044463,GO:0044464,GO:0044770,GO:0044772,GO:0044784,GO:0044853,GO:0045121,GO:0045216,GO:0045595,GO:0045664,GO:0045765,GO:0045862,GO:0045937,GO:0046578,GO:0046580,GO:0048041,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048546,GO:0048563,GO:0048565,GO:0048569,GO:0048583,GO:0048585,GO:0048598,GO:0048619,GO:0048646,GO:0048699,GO:0048707,GO:0048729,GO:0048731,GO:0048736,GO:0048737,GO:0048814,GO:0048856,GO:0048869,GO:0048870,GO:0048871,GO:0050767,GO:0050773,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050804,GO:0050806,GO:0050896,GO:0051056,GO:0051058,GO:0051093,GO:0051128,GO:0051129,GO:0051171,GO:0051173,GO:0051174,GO:0051179,GO:0051234,GO:0051239,GO:0051241,GO:0051246,GO:0051247,GO:0051270,GO:0051271,GO:0051293,GO:0051294,GO:0051301,GO:0051336,GO:0051345,GO:0051492,GO:0051493,GO:0051494,GO:0051497,GO:0051640,GO:0051641,GO:0051649,GO:0051653,GO:0051656,GO:0051674,GO:0051716,GO:0051726,GO:0051783,GO:0051893,GO:0051895,GO:0051960,GO:0051983,GO:0052547,GO:0052548,GO:0055123,GO:0060191,GO:0060193,GO:0060249,GO:0060255,GO:0060284,GO:0060322,GO:0060429,GO:0060541,GO:0060562,GO:0060589,GO:0060606,GO:0061154,GO:0061326,GO:0061333,GO:0061525,GO:0061640,GO:0065007,GO:0065008,GO:0065009,GO:0070161,GO:0070887,GO:0071310,GO:0071375,GO:0071417,GO:0071495,GO:0071840,GO:0071944,GO:0072001,GO:0072002,GO:0072175,GO:0072359,GO:0080090,GO:0090049,GO:0090051,GO:0090109,GO:0090130,GO:0090132,GO:0097498,GO:0098589,GO:0098590,GO:0098772,GO:0098805,GO:0098857,GO:0098916,GO:0099177,GO:0099536,GO:0099537,GO:0099568,GO:0110020,GO:0110053,GO:0120025,GO:0120035,GO:0120038,GO:1900117,GO:1900119,GO:1900274,GO:1901342,GO:1901343,GO:1901652,GO:1901653,GO:1901698,GO:1901699,GO:1901700,GO:1901701,GO:1901888,GO:1901889,GO:1902531,GO:1902532,GO:1902850,GO:1902903,GO:1902904,GO:1903047,GO:1903391,GO:1903392,GO:1903670,GO:1903671,GO:1905818,GO:2000026,GO:2000116,GO:2000145,GO:2000146,GO:2000181,GO:2001056
RpL35	1.1384849229334e-15	0.344373445615883	0.723	0.69	2.3588269118257e-11	sym	GO:0000463,GO:0000470,GO:0002181,GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006139,GO:0006364,GO:0006396,GO:0006412,GO:0006518,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0016070,GO:0016072,GO:0019538,GO:0022613,GO:0022625,GO:0022626,GO:0032991,GO:0034470,GO:0034641,GO:0034645,GO:0034660,GO:0042254,GO:0042273,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0046483,GO:0071704,GO:0071840,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904
RPL27A	2.23296208680742e-15	0.288918120056754	0.779	0.697	4.62647414765629e-11	sym	GO:0002181,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904
RPS21	4.45931646891563e-15	0.444119193408619	0.7	0.605	9.23925779194629e-11	sym	GO:0000184,GO:0000447,GO:0000460,GO:0000461,GO:0000462,GO:0000466,GO:0000469,GO:0000478,GO:0000479,GO:0000956,GO:0002181,GO:0002376,GO:0002520,GO:0003674,GO:0003735,GO:0005198,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005783,GO:0005789,GO:0005791,GO:0005829,GO:0005840,GO:0005844,GO:0006139,GO:0006364,GO:0006396,GO:0006401,GO:0006402,GO:0006412,GO:0006413,GO:0006518,GO:0006605,GO:0006612,GO:0006613,GO:0006614,GO:0006725,GO:0006807,GO:0006810,GO:0006886,GO:0007275,GO:0008104,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009058,GO:0009059,GO:0009892,GO:0009987,GO:0010467,GO:0010468,GO:0010605,GO:0010629,GO:0012505,GO:0015031,GO:0015833,GO:0015935,GO:0016020,GO:0016070,GO:0016071,GO:0016072,GO:0019222,GO:0019439,GO:0019538,GO:0022613,GO:0022626,GO:0022627,GO:0030490,GO:0030867,GO:0031090,GO:0031123,GO:0031125,GO:0031974,GO:0031981,GO:0031984,GO:0032501,GO:0032502,GO:0032991,GO:0033036,GO:0033365,GO:0034470,GO:0034613,GO:0034641,GO:0034645,GO:0034655,GO:0034660,GO:0042127,GO:0042175,GO:0042254,GO:0042274,GO:0042788,GO:0042886,GO:0043021,GO:0043022,GO:0043043,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043603,GO:0043604,GO:0043628,GO:0044085,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044265,GO:0044267,GO:0044270,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044432,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0044877,GO:0045047,GO:0045184,GO:0046483,GO:0046700,GO:0046907,GO:0047485,GO:0048513,GO:0048519,GO:0048534,GO:0048542,GO:0048731,GO:0048732,GO:0048856,GO:0050789,GO:0050794,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0060255,GO:0065007,GO:0070013,GO:0070727,GO:0070972,GO:0071702,GO:0071704,GO:0071705,GO:0071840,GO:0072594,GO:0072599,GO:0072657,GO:0090150,GO:0090304,GO:0090305,GO:0090501,GO:0090502,GO:0098552,GO:0098554,GO:0098556,GO:0098562,GO:0098588,GO:0098827,GO:1901360,GO:1901361,GO:1901564,GO:1901566,GO:1901575,GO:1901576,GO:1990904
APOB	6.9915364772557e-14	0.28306676984478	0.909	0.884	1.44857644272261e-09	sym	GO:0000003,GO:0000323,GO:0001101,GO:0001523,GO:0001568,GO:0001701,GO:0001944,GO:0002218,GO:0002221,GO:0002224,GO:0002237,GO:0002253,GO:0002376,GO:0002682,GO:0002684,GO:0002757,GO:0002758,GO:0002764,GO:0003674,GO:0005102,GO:0005215,GO:0005319,GO:0005488,GO:0005515,GO:0005539,GO:0005543,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0005737,GO:0005764,GO:0005768,GO:0005769,GO:0005773,GO:0005775,GO:0005783,GO:0005788,GO:0005789,GO:0005790,GO:0005829,GO:0005886,GO:0006066,GO:0006464,GO:0006629,GO:0006638,GO:0006639,GO:0006641,GO:0006642,GO:0006720,GO:0006721,GO:0006807,GO:0006810,GO:0006869,GO:0006897,GO:0006898,GO:0006928,GO:0007154,GO:0007165,GO:0007275,GO:0007276,GO:0007283,GO:0007399,GO:0008104,GO:0008150,GO:0008152,GO:0008201,GO:0008202,GO:0008203,GO:0008289,GO:0009056,GO:0009057,GO:0009058,GO:0009059,GO:0009566,GO:0009605,GO:0009607,GO:0009615,GO:0009617,GO:0009653,GO:0009719,GO:0009725,GO:0009743,GO:0009790,GO:0009791,GO:0009792,GO:0009889,GO:0009893,GO:0009987,GO:0010008,GO:0010033,GO:0010035,GO:0010269,GO:0010468,GO:0010604,GO:0010628,GO:0010743,GO:0010744,GO:0010876,GO:0010883,GO:0010884,GO:0010885,GO:0010886,GO:0012505,GO:0012506,GO:0014070,GO:0015031,GO:0015248,GO:0015833,GO:0015850,GO:0015918,GO:0016020,GO:0016042,GO:0016043,GO:0016101,GO:0016125,GO:0016192,GO:0016477,GO:0017127,GO:0019216,GO:0019218,GO:0019222,GO:0019433,GO:0019538,GO:0019899,GO:0019953,GO:0022414,GO:0022607,GO:0023052,GO:0030135,GO:0030136,GO:0030139,GO:0030163,GO:0030301,GO:0030317,GO:0030659,GO:0030662,GO:0030665,GO:0030666,GO:0030669,GO:0031090,GO:0031347,GO:0031349,GO:0031410,GO:0031904,GO:0031974,GO:0031982,GO:0031983,GO:0031984,GO:0032355,GO:0032496,GO:0032501,GO:0032502,GO:0032504,GO:0032870,GO:0032879,GO:0032991,GO:0032994,GO:0033036,GO:0033344,GO:0033993,GO:0034097,GO:0034358,GO:0034359,GO:0034360,GO:0034361,GO:0034362,GO:0034363,GO:0034367,GO:0034368,GO:0034369,GO:0034370,GO:0034371,GO:0034374,GO:0034377,GO:0034378,GO:0034379,GO:0034381,GO:0034382,GO:0034383,GO:0034385,GO:0034447,GO:0034612,GO:0034645,GO:0034694,GO:0035239,GO:0035295,GO:0035473,GO:0036211,GO:0036477,GO:0040011,GO:0042157,GO:0042158,GO:0042159,GO:0042175,GO:0042221,GO:0042592,GO:0042627,GO:0042632,GO:0042886,GO:0042953,GO:0043009,GO:0043025,GO:0043062,GO:0043167,GO:0043168,GO:0043170,GO:0043202,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0043687,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044249,GO:0044255,GO:0044260,GO:0044267,GO:0044281,GO:0044297,GO:0044421,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044433,GO:0044437,GO:0044440,GO:0044444,GO:0044446,GO:0044464,GO:0044703,GO:0044872,GO:0045088,GO:0045089,GO:0045184,GO:0045334,GO:0045540,GO:0045595,GO:0045597,GO:0046461,GO:0046464,GO:0046486,GO:0046503,GO:0046890,GO:0048232,GO:0048514,GO:0048518,GO:0048522,GO:0048583,GO:0048584,GO:0048609,GO:0048731,GO:0048844,GO:0048856,GO:0048870,GO:0048878,GO:0050750,GO:0050776,GO:0050778,GO:0050789,GO:0050793,GO:0050794,GO:0050810,GO:0050896,GO:0050900,GO:0051094,GO:0051179,GO:0051234,GO:0051674,GO:0051704,GO:0051707,GO:0051716,GO:0055088,GO:0055092,GO:0060205,GO:0060255,GO:0060840,GO:0061024,GO:0062012,GO:0065003,GO:0065005,GO:0065007,GO:0065008,GO:0070013,GO:0070325,GO:0070542,GO:0070887,GO:0070971,GO:0071229,GO:0071310,GO:0071345,GO:0071356,GO:0071379,GO:0071396,GO:0071398,GO:0071495,GO:0071682,GO:0071702,GO:0071704,GO:0071705,GO:0071825,GO:0071827,GO:0071830,GO:0071840,GO:0071944,GO:0072358,GO:0072359,GO:0080090,GO:0080134,GO:0090181,GO:0097006,GO:0097367,GO:0097458,GO:0097708,GO:0097722,GO:0098588,GO:0098657,GO:0098805,GO:0098827,GO:0106118,GO:1901360,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576,GO:1901615,GO:1901681,GO:1901700,GO:1901701,GO:1902652,GO:1902930,GO:1905952,GO:1905954,GO:1990777
RPS19	1.89277449157812e-13	0.289420820201631	0.696	0.643	3.9216394691007e-09	sym	GO:0000028,GO:0000184,GO:0000462,GO:0000956,GO:0001906,GO:0002181,GO:0002262,GO:0002376,GO:0002520,GO:0002548,GO:0002682,GO:0002683,GO:0002684,GO:0002697,GO:0002698,GO:0002699,GO:0003674,GO:0003735,GO:0005198,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005730,GO:0005737,GO:0005829,GO:0005840,GO:0006139,GO:0006364,GO:0006396,GO:0006401,GO:0006402,GO:0006412,GO:0006413,GO:0006518,GO:0006605,GO:0006612,GO:0006613,GO:0006614,GO:0006725,GO:0006807,GO:0006810,GO:0006886,GO:0006928,GO:0006935,GO:0006950,GO:0006952,GO:0006955,GO:0006959,GO:0006996,GO:0006997,GO:0007000,GO:0007154,GO:0007165,GO:0007166,GO:0007219,GO:0007275,GO:0008104,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009058,GO:0009059,GO:0009605,GO:0009607,GO:0009617,GO:0009892,GO:0009893,GO:0009987,GO:0009991,GO:0010467,GO:0010468,GO:0010605,GO:0010629,GO:0015031,GO:0015833,GO:0015935,GO:0016043,GO:0016070,GO:0016071,GO:0016072,GO:0016477,GO:0017134,GO:0019222,GO:0019439,GO:0019538,GO:0019730,GO:0019838,GO:0019899,GO:0019900,GO:0019901,GO:0022607,GO:0022613,GO:0022618,GO:0022626,GO:0022627,GO:0023052,GO:0030097,GO:0030099,GO:0030154,GO:0030218,GO:0030490,GO:0030595,GO:0031347,GO:0031348,GO:0031349,GO:0031369,GO:0031640,GO:0031974,GO:0031981,GO:0032101,GO:0032102,GO:0032103,GO:0032501,GO:0032502,GO:0032879,GO:0032991,GO:0033036,GO:0033365,GO:0034101,GO:0034470,GO:0034613,GO:0034622,GO:0034641,GO:0034645,GO:0034655,GO:0034660,GO:0035821,GO:0040011,GO:0042221,GO:0042254,GO:0042255,GO:0042274,GO:0042330,GO:0042592,GO:0042742,GO:0042802,GO:0042803,GO:0042886,GO:0043043,GO:0043170,GO:0043207,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044265,GO:0044267,GO:0044270,GO:0044271,GO:0044364,GO:0044391,GO:0044419,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0044877,GO:0045047,GO:0045088,GO:0045089,GO:0045184,GO:0045595,GO:0045824,GO:0046483,GO:0046700,GO:0046907,GO:0046983,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048534,GO:0048583,GO:0048584,GO:0048585,GO:0048731,GO:0048856,GO:0048869,GO:0048870,GO:0048872,GO:0050727,GO:0050728,GO:0050729,GO:0050776,GO:0050777,GO:0050778,GO:0050789,GO:0050793,GO:0050794,GO:0050829,GO:0050896,GO:0050900,GO:0051179,GO:0051234,GO:0051239,GO:0051240,GO:0051241,GO:0051259,GO:0051262,GO:0051270,GO:0051272,GO:0051641,GO:0051649,GO:0051674,GO:0051704,GO:0051707,GO:0051716,GO:0060255,GO:0060263,GO:0060264,GO:0060265,GO:0060266,GO:0060267,GO:0060268,GO:0060284,GO:0060326,GO:0061844,GO:0065003,GO:0065007,GO:0065008,GO:0070013,GO:0070727,GO:0070887,GO:0070925,GO:0070972,GO:0071674,GO:0071702,GO:0071704,GO:0071705,GO:0071826,GO:0071840,GO:0072594,GO:0072599,GO:0072657,GO:0080134,GO:0090150,GO:0090304,GO:0097529,GO:0098542,GO:1901360,GO:1901361,GO:1901564,GO:1901566,GO:1901575,GO:1901576,GO:1990904
g20264	3.40486736266636e-13	0.303662510991132	0.81	0.827	7.05454468870843e-09	sym	-
RPL38	3.83095764177882e-13	0.27921446735035	0.704	0.639	7.93736113800154e-09	sym	GO:0000027,GO:0000028,GO:0000184,GO:0000956,GO:0001501,GO:0001503,GO:0002181,GO:0003008,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005844,GO:0006139,GO:0006401,GO:0006402,GO:0006412,GO:0006413,GO:0006417,GO:0006518,GO:0006605,GO:0006612,GO:0006613,GO:0006614,GO:0006725,GO:0006807,GO:0006810,GO:0006886,GO:0006996,GO:0007275,GO:0007423,GO:0007498,GO:0007600,GO:0007605,GO:0008104,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009058,GO:0009059,GO:0009653,GO:0009790,GO:0009887,GO:0009888,GO:0009889,GO:0009892,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010605,GO:0010608,GO:0010629,GO:0015031,GO:0015833,GO:0015934,GO:0016043,GO:0016070,GO:0016071,GO:0019222,GO:0019439,GO:0019538,GO:0022607,GO:0022613,GO:0022618,GO:0022625,GO:0022626,GO:0031323,GO:0031326,GO:0032268,GO:0032501,GO:0032502,GO:0032991,GO:0033036,GO:0033291,GO:0033365,GO:0034248,GO:0034463,GO:0034613,GO:0034622,GO:0034641,GO:0034645,GO:0034655,GO:0042254,GO:0042255,GO:0042273,GO:0042274,GO:0042471,GO:0042474,GO:0042788,GO:0042886,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043583,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044265,GO:0044267,GO:0044270,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0045047,GO:0045184,GO:0046483,GO:0046700,GO:0046907,GO:0048318,GO:0048513,GO:0048519,GO:0048562,GO:0048568,GO:0048598,GO:0048731,GO:0048856,GO:0050789,GO:0050794,GO:0050877,GO:0050954,GO:0051171,GO:0051179,GO:0051234,GO:0051246,GO:0051641,GO:0051649,GO:0060255,GO:0065003,GO:0065007,GO:0070727,GO:0070925,GO:0070972,GO:0070992,GO:0071702,GO:0071704,GO:0071705,GO:0071826,GO:0071840,GO:0072594,GO:0072599,GO:0072657,GO:0080090,GO:0090150,GO:0090304,GO:0090596,GO:0097159,GO:1901360,GO:1901361,GO:1901363,GO:1901564,GO:1901566,GO:1901575,GO:1901576,GO:1990904,GO:2000112
g22237	4.68753433023714e-13	0.616570439431981	0.395	0.33	9.71210237881833e-09	sym	-
