gene,pval
evm.model.Ap3.224,407.400227897805
evm.model.Ap10.745,362.043216412179
evm.model.Ap13.112,335.741438600693
evm.model.Ap12.2302,322.081137741364
evm.model.Ap14.1598,310.000830900236
evm.model.Ap12.472,307.335729330182
evm.model.Ap4.5487,-275.492580508166
evm.model.Ap3.1613,251.430853440972
evm.model.Ap13.2163,251.248286241935
evm.model.Ap3.1410,247.015719608306
evm.model.Ap1.949,236.45944382308
evm.model.Ap2.3643,221.214432756686
evm.model.Ap2.483,218.874184456412
evm.model.Ap12.538,216.29375361834
evm.model.Ap3.571,216.212753203225
evm.model.Ap10.1927,211.193419247667
evm.model.Ap11.1270,201.961723409765
evm.model.Ap6.3229,193.839790910922
evm.model.Ap8.1235,175.787424618143
evm.model.Ap10.194,171.482025588173
evm.model.Ap12.2615,167.484415089634
evm.model.Ap5.2789,154.05815392361
evm.model.Ap1.2268,152.12000801257
evm.model.Ap1.3444,150.460987862495
evm.model.Ap1.1466,136.294100850866
evm.model.Ap1.1713,135.304765211909
evm.model.Ap13.166,-132.676646705373
evm.model.Ap2.3822,130.625452287283
evm.model.Ap3.186,122.112769858995
evm.model.Ap9.2720,119.902666842703
evm.model.Ap7.2899,118.239067848448
evm.model.Ap12.1092,113.969525302109
evm.model.Ap11.1271,106.502681856927
evm.model.Ap3.2362,106.317942813601
evm.model.Ap12.2468,105.27522074188
evm.model.Ap7.2874,104.807736340562
evm.model.Ap1.2782,104.730223754884
evm.model.Ap3.1067,103.30574283374
evm.model.Ap2.3811,103.25320123756
evm.model.Ap7.124,102.789234463189
evm.model.Ap6.2330,100.985166494506
evm.model.Ap4.829,99.0321868333532
evm.model.Ap7.113,98.8390350399069
evm.model.Ap1.3652,97.9854340303006
evm.model.Ap12.1198,96.4954432829404
evm.model.Ap6.3002,95.5504077698432
evm.model.Ap3.2270,94.9997507227781
evm.model.Ap7.1520,93.9004458499199
evm.model.Ap10.118,93.6422212324991
evm.model.Ap13.2265,93.2913830538322
evm.model.Ap5.203,92.03163734205
