gene,pval
evm.model.Ap4.5487,-249.930658466103
evm.model.Ap13.112,227.646607799483
evm.model.Ap3.224,177.149455681023
evm.model.Ap3.1410,166.798338752835
evm.model.Ap11.1030,148.764659213537
evm.model.Ap12.472,129.462183629983
evm.model.Ap10.745,127.512886060181
evm.model.Ap11.1270,125.683645208378
evm.model.Ap3.2270,109.969476217257
evm.model.Ap1.949,107.758428417022
evm.model.Ap13.2163,106.383596568435
evm.model.Ap2.3643,99.7346852660003
evm.model.Ap12.2302,98.0887368641828
evm.model.Ap12.538,96.27596690537
evm.model.Ap3.571,94.9292146030381
evm.model.Ap2.483,90.9970718827375
evm.model.Ap12.2468,89.2887398982162
evm.model.Ap3.186,87.8656975913337
evm.model.Ap12.2615,86.0810874639387
evm.model.Ap14.1598,84.2701789951844
evm.model.Ap9.311,82.6663679508596
evm.model.Ap1.3444,82.2103822884493
evm.model.Ap4.1023,-81.2448464087793
evm.model.Ap2.1984,-79.7644618586853
evm.model.Ap4.1025,79.0227210436552
evm.model.Ap5.203,78.1017714976279
evm.model.Ap6.2330,76.5960229559321
evm.model.Ap6.3229,75.1454758401262
evm.model.Ap11.1271,74.660386784864
evm.model.Ap10.118,73.1365412471632
evm.model.Ap12.1975,69.8091539848417
evm.model.Ap7.2899,68.9722933485789
evm.model.Ap2.4017,68.7008131954935
evm.model.Ap1.3652,66.4996459522004
evm.model.Ap1.2782,66.39021219597
evm.model.Ap13.987,66.0004221227951
evm.model.Ap4.829,65.8559919911064
evm.model.Ap3.1994,65.5544238917214
evm.model.Ap3.1613,63.9895975207107
evm.model.Ap5.610,63.850340158169
evm.model.Ap1.39,63.8079896947932
evm.model.Ap7.2698,63.6142953701414
evm.model.Ap13.2265,63.5082844499504
evm.model.Ap3.1067,63.2319506442233
evm.model.Ap9.2720,62.970255918036
evm.model.Ap3.185,62.5897128053161
evm.model.Ap7.247,61.964907640106
evm.model.Ap12.1092,61.7729222076636
evm.model.Ap7.931,61.6441956948781
evm.model.Ap1.850,61.2621603292027
evm.model.Ap3.1162,60.0366321389182
evm.model.Ap7.1520,58.9746619787148
evm.model.Ap10.194,58.3243120632743
evm.model.Ap10.1927,57.9259229112783
evm.model.Ap8.489,57.7447168838269
evm.model.Ap1.19,55.8733420462202
evm.model.Ap2.3130,55.7349694284138
evm.model.Ap10.486,-55.6206012550774
evm.model.Ap3.31,54.7195400859156
evm.model.Ap4.5290,53.9591015127439
evm.model.Ap9.1190,53.3653087763472
evm.model.Ap6.2557,52.8388023377045
evm.model.Ap1.1466,52.3962500773221
evm.model.Ap4.6536,51.695067381386
evm.model.Ap6.1814,51.5478710442715
evm.model.Ap3.2101,51.3319519331283
evm.model.Ap12.530,50.9208590132893
evm.model.Ap8.2728,50.8582217416067
evm.model.Ap6.1974,49.9864064381765
evm.model.Ap4.5490,-49.8468073599554
evm.model.Ap11.1045,49.8109111439398
evm.model.Ap12.1529,49.506447245765
evm.model.Ap4.1512,49.2450383450834
evm.model.Ap13.971,-49.2446026404727
evm.model.Ap2.2138,49.1806854729574
evm.model.Ap9.142,48.8545380823735
