p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,Preferred_name,query,Description
0,2.3746331227669852,0.96,0.381,0,1,EPDR1.1,g15619,cell-matrix adhesion
0,2.0026984203744203,0.972,0.434,0,1,g1804,g1804,Cysteine-type peptidase activity. It is involved in the biological process described with proteolysis
8.871477870749543e-274,1.7578120676230764,0.962,0.466,1.838081500040598e-269,1,CTSB,g11683,Belongs to the peptidase C1 family
4.768047223900634e-237,3.363515335637278,0.596,0.09,9.878917043199724e-233,1,g17871,g17871,-
1.512647401318395e-233,1.3945981022074498,0.964,0.438,3.1340541507915826e-229,1,g25521,NA,NA
2.1183844047346354e-218,2.2989165396365703,0.855,0.395,4.389080648169691e-214,1,g1806,g1806,cysteine-type endopeptidase activity
1.269589855242267e-217,2.707405753171206,0.685,0.157,2.630463221076453e-213,1,IFI30.1,g840,antigen processing and presentation of exogenous peptide antigen via MHC class I
5.2507378185996825e-217,2.4306869854153472,0.751,0.239,1.0879003686356682e-212,1,CSTB,g13327,cysteine-type endopeptidase inhibitor activity
2.7727546035731972e-192,2.110565185201273,0.793,0.279,5.744870263143307e-188,1,HEBP2,g9190,Heme binding protein 2
5.5661610162969415e-185,3.104215678703666,0.564,0.102,1.1532529009665633e-180,1,CSRP1.1,g22235,"Zinc-binding domain present in Lin-11, Isl-1, Mec-3."
3.633601185163827e-184,2.0140474512020177,0.75,0.233,7.528458295540933e-180,1,COF1.5,g14264,Belongs to the actin-binding proteins ADF family
6.521053293041869e-178,1.2772120013160482,0.97,0.853,1.3510970317853449e-173,1,FTH1.1,g24171,"oxidoreductase activity, oxidizing metal ions, oxygen as acceptor"
2.8090831426126214e-176,1.35836392498328,0.984,0.847,5.82013936317909e-172,1,g30147,g30147,Belongs to the actin family
2.4732407719580867e-170,1.3016300673285404,0.959,0.742,5.12430755541996e-166,1,AHCY,g937,S-adenosylhomocysteine catabolic process
1.175859773497936e-161,1.3126010999091227,0.924,0.662,2.4362638647103736e-157,1,FAXC.1,g6735,Failed axon connections homolog
9.663572796366924e-160,1.541441458966573,0.89,0.528,2.0021956476792632e-155,1,LAMP1.1,g22612,Lysosome-associated membrane glycoprotein 1
9.661526038562065e-144,2.095340308443814,0.636,0.172,2.001771579929674e-139,1,GSTM3.3,g29049,glutathione transferase activity
1.1915367410831776e-141,0.9737956476878757,0.897,0.448,2.468744973850236e-137,1,APOB,g26575,triglyceride mobilization
