p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene_symbol,Protein_ID,gene,swissprot_symbol,trembl_symbol,ncbi_symbol
0,2.4437062249162786,0.955,0.354,0,1,CATL.7,evm.model.Ap4.5489,evm.TU.Ap4.5489,Cathepsin L,Predicted protein,cathepsin L1-like [Orbicella faveolata]
0,2.6516594065569796,0.748,0.18,0,1,EPDR1.1,evm.model.Ap13.2163,evm.TU.Ap13.2163,Mammalian ependymin-related protein 1,Mammalian ependymin-related protein 1,"mammalian ependymin-related protein 1-like, partial [Orbicella faveolata]"
0,2.041824679461711,0.964,0.401,0,1,evm.TU.Ap3.1613,evm.model.Ap3.1613,evm.TU.Ap3.1613,NA,Uncharacterized protein,DNA ligase 1-like [Orbicella faveolata]
0,2.5641074657297533,0.785,0.241,0,1,HEBP2.2,evm.model.Ap1.3218,evm.TU.Ap1.3218,Heme-binding protein 2,Uncharacterized protein,uncharacterized protein LOC110064666 [Orbicella faveolata]
0,2.1776112971940353,0.957,0.43,0,1,CATB.1,evm.model.Ap9.2740,evm.TU.Ap9.2740,Cathepsin B,Cathepsin B,cathepsin B-like [Stylophora pistillata]
0,1.7689543088445996,0.916,0.39,0,1,APLP,evm.model.Ap14.1598,evm.TU.Ap14.1598,Apolipophorins,Apolipophorin,uncharacterized protein LOC110065941 [Orbicella faveolata]
1.5641602731118396e-305,1.7954621170090332,0.879,0.381,3.865978531023223e-301,1,CRA1B.3,evm.model.Ap7.2874,evm.TU.Ap7.2874,Collagen alpha-1(XXVII) chain B,Collagen alpha-1(XXVII) chain B,collagen alpha-1(I) chain-like [Orbicella faveolata]
1.6554054847934473e-300,2.34777526870688,0.732,0.201,4.091500196215484e-296,1,CATL.8,evm.model.Ap4.5488,evm.TU.Ap4.5488,Cathepsin L,Predicted protein,cathepsin L1-like [Orbicella faveolata]
1.8113513995687047e-283,1.778484297850004,0.835,0.304,4.476936119174011e-279,1,CO4A1.4,evm.model.Ap7.124,evm.TU.Ap7.124,Collagen alpha-1(IV) chain,Collagen alpha-1(XXVII) chain B,collagen alpha-1(I) chain-like [Stylophora pistillata]
4.670419178050762e-274,1.7195442310288098,0.849,0.34,1.1543408040470264e-269,1,COA,evm.model.Ap7.113,evm.TU.Ap7.113,Collagen alpha chain (Fragment),Collagen alpha-2(I) chain,collagen alpha chain-like [Stylophora pistillata]
1.7528913185031378e-267,2.7613250613189777,0.617,0.138,4.332446182812355e-263,1,GILT,evm.model.Ap4.6695,evm.TU.Ap4.6695,Gamma-interferon-inducible lysosomal thiol reductase,Gamma-interferon-inducible lysosomal thiol reductase,gamma-interferon-inducible lysosomal thiol reductase-like [Orbicella faveolata]
2.2651425856871974e-261,1.3727799018887863,0.975,0.843,5.598526414784477e-257,1,ACTC,evm.model.Ap10.1927,evm.TU.Ap10.1927,"Actin, cytoplasmic","Actin, cytoplasmic","actin, cytoplasmic [Orbicella faveolata]"
9.495027981715856e-259,1.487996390641841,0.775,0.249,2.3467911159608908e-254,1,CO3,evm.model.Ap1.3443,evm.TU.Ap1.3443,Complement C3,Complement C3,complement C3-like [Orbicella faveolata]
1.5140530301314406e-247,1.6667337343062005,0.892,0.529,3.742133469272869e-243,1,GRN.5,evm.model.Ap7.1070,evm.TU.Ap7.1070,Granulins,Uncharacterized protein,putative kielin/chordin-like protein isoform X1 [Apostichopus japonicus]
9.772021084334978e-244,2.521701684870483,0.613,0.147,2.415252731204233e-239,1,GSTMU,evm.model.Ap10.28,evm.TU.Ap10.28,Glutathione S-transferase Y1,Glutathione S-transferase Y1,glutathione S-transferase Mu 1-like isoform X3 [Orbicella faveolata]
1.258432762212424e-240,1.3632273257563394,0.819,0.307,3.110342415084227e-236,1,CO4A1.2,evm.model.Ap8.1235,evm.TU.Ap8.1235,Collagen alpha-1(IV) chain,Collagen alpha-5(IV) chain,collagen alpha-5(IV) chain-like [Orbicella faveolata]
