Protein_ID	COG_category
evm.model.Ap11.1448	T
evm.model.Ap11.1449	H
evm.model.Ap11.1447	H
evm.model.Ap11.1443	TU
evm.model.Ap11.1440	S
evm.model.Ap11.1441	S
evm.model.Ap11.10	-
evm.model.Ap11.11	K
evm.model.Ap11.12	S
evm.model.Ap11.13	K
evm.model.Ap11.15	I
evm.model.Ap11.15.1.5f15db9f	I
evm.model.Ap11.16	-
evm.model.Ap11.1628	-
evm.model.Ap11.1629	U
evm.model.Ap11.1620	K
evm.model.Ap11.1621	K
evm.model.Ap11.731	O
evm.model.Ap11.478	PT
evm.model.Ap11.679	T
evm.model.Ap11.676	A
evm.model.Ap11.1232	U
evm.model.Ap11.1820_evm.model.Ap11.1818.2.5f168b98	G
evm.model.Ap11.1820_evm.model.Ap11.1818.1.5f168b97	G
evm.model.Ap11.1820_evm.model.Ap11.1818	G
evm.model.Ap11.1178	S
evm.model.Ap11.1179	KLT
evm.model.Ap11.1175	T
evm.model.Ap11.1170	-
evm.model.Ap11.884	T
evm.model.Ap11.886	T
evm.model.Ap11.887	I
evm.model.Ap11.882	S
evm.model.Ap11.883	T
evm.model.Ap11.364	S
evm.model.Ap11.361	S
evm.model.Ap11.360	C
evm.model.Ap11.1372	E
evm.model.Ap11.1374	E
evm.model.Ap11.1378	E
evm.model.Ap11.1379	O
evm.model.Ap11.763	S
evm.model.Ap11.351	O
evm.model.Ap11.357	S
evm.model.Ap11.242	K
evm.model.Ap11.243	B
evm.model.Ap11.367	T
evm.model.Ap11.366	S
evm.model.Ap11.969	S
evm.model.Ap11.968	J
evm.model.Ap11.967	U
evm.model.Ap11.966	G
evm.model.Ap11.965	T
evm.model.Ap11.964	S
evm.model.Ap11.963	T
evm.model.Ap11.962	O
evm.model.Ap11.961.1.5f15dcbb	K
evm.model.Ap11.961	K
evm.model.Ap11.1656	U
evm.model.Ap11.1655	S
evm.model.Ap11.1654	G
evm.model.Ap11.1653	Q
evm.model.Ap11.1651	Q
evm.model.Ap11.1650	S
evm.model.Ap11.1658	T
evm.model.Ap11.659_evm.model.Ap11.661	T
evm.model.Ap11.1856	D
evm.model.Ap11.1859	K
evm.model.Ap11.1529	-
evm.model.Ap11.1528	-
evm.model.Ap11.1520	F
evm.model.Ap11.1522	G
evm.model.Ap11.1525	G
evm.model.Ap11.1524	S
evm.model.Ap11.1527	G
evm.model.Ap11.1526	G
evm.model.Ap11.789	E
evm.model.Ap11.258	W
evm.model.Ap11.847	S
evm.model.Ap11.1759	Q
evm.model.Ap11.159_evm.model.Ap11.139_evm.model.Ap11.140_evm.model.Ap11.148	O
evm.model.Ap11.159_evm.model.Ap11.139_evm.model.Ap11.140_evm.model.Ap11.148.2.5f1685b5	S
evm.model.Ap11.159_evm.model.Ap11.139_evm.model.Ap11.140_evm.model.Ap11.148.1.5f1685b5	S
evm.model.Ap11.1285	S
evm.model.Ap11.1287	K
evm.model.Ap11.1281	G
evm.model.Ap11.1288	J
evm.model.Ap11.1289	S
evm.model.Ap11.1756	O
evm.model.Ap11.1757	S
evm.model.Ap11.1754	K
evm.model.Ap11.1755	S
evm.model.Ap11.1896_evm.model.Ap11.1897.3.5f168c0b	Q
evm.model.Ap11.1896_evm.model.Ap11.1897	Q
evm.model.Ap11.1896_evm.model.Ap11.1897.2.5f168c0b	Q
evm.model.Ap11.1896_evm.model.Ap11.1897.1.5f168c0a	Q
evm.model.Ap11.1668	O
evm.model.Ap11.1662	K
evm.model.Ap11.474	G
evm.model.Ap11.477	PT
evm.model.Ap11.476.1.5f15dc04	-
evm.model.Ap11.476	-
evm.model.Ap11.766	KL
evm.model.Ap11.1042	O
evm.model.Ap11.1046	O
evm.model.Ap11.1045	J
evm.model.Ap11.1205	K
evm.model.Ap11.1206	S
evm.model.Ap11.1207	H
evm.model.Ap11.1203	H
evm.model.Ap11.113	J
evm.model.Ap11.116	T
evm.model.Ap11.117	T
evm.model.Ap11.114	G
evm.model.Ap11.1678	O
evm.model.Ap11.875	EG
evm.model.Ap11.877	T
evm.model.Ap11.876	U
evm.model.Ap11.871	O
evm.model.Ap11.870	T
evm.model.Ap11.872	S
evm.model.Ap11.878	T
evm.model.Ap11.1415	S
evm.model.Ap11.1416	M
evm.model.Ap11.40	O
evm.model.Ap11.45	K
evm.model.Ap11.44	T
evm.model.Ap11.49	J
evm.model.Ap11.48	S
evm.model.Ap11.321	S
evm.model.Ap11.320	S
evm.model.Ap11.323	S
evm.model.Ap11.325	S
evm.model.Ap11.324	S
evm.model.Ap11.327	T
evm.model.Ap11.326	U
evm.model.Ap11.326.1.5f15dbde	U
evm.model.Ap11.774	P
evm.model.Ap11.774.1.5f15dc55	P
evm.model.Ap11.1599	S
evm.model.Ap11.1592	C
evm.model.Ap11.1593	S
evm.model.Ap11.1595	S
evm.model.Ap11.1596	O
evm.model.Ap11.1597	O
evm.model.Ap11.1624	PT
evm.model.Ap11.1625	S
evm.model.Ap11.1231	-
evm.model.Ap11.1230	S
evm.model.Ap11.1233	J
evm.model.Ap11.1239	E
evm.model.Ap11.621	D
evm.model.Ap11.622	H
evm.model.Ap11.623	S
evm.model.Ap11.624	S
evm.model.Ap11.625	S
evm.model.Ap11.626	S
evm.model.Ap11.627	S
evm.model.Ap11.628	S
evm.model.Ap11.629	S
evm.model.Ap11.198	S
evm.model.Ap11.191	S
evm.model.Ap11.196	K
evm.model.Ap11.197	L
evm.model.Ap11.194	L
evm.model.Ap11.1129	T
evm.model.Ap11.1128	T
evm.model.Ap11.1125	DL
evm.model.Ap11.1124	L
evm.model.Ap11.1127	P
evm.model.Ap11.1123	L
evm.model.Ap11.124_evm.model.Ap11.120	C
evm.model.Ap11.124_evm.model.Ap11.120.1.5f1685ae	C
evm.model.Ap11.1327	L
evm.model.Ap11.1326	T
evm.model.Ap11.1324	S
evm.model.Ap11.1323	O
evm.model.Ap11.1322	O
evm.model.Ap11.1495	T
evm.model.Ap11.1497.1.5f15de07	E
evm.model.Ap11.1497	E
evm.model.Ap11.1496	T
evm.model.Ap11.1490	OT
evm.model.Ap11.1492	OT
evm.model.Ap11.1498.1.5f15de0a	K
evm.model.Ap11.1498	K
evm.model.Ap11.1868	-
evm.model.Ap11.1869	-
evm.model.Ap11.1864	K
evm.model.Ap11.1865	G
evm.model.Ap11.1867	T
evm.model.Ap11.1860	K
evm.model.Ap11.1861	K
evm.model.Ap11.1862	K
evm.model.Ap11.1863	S
evm.model.Ap11.930	S
evm.model.Ap11.931	S
evm.model.Ap11.934	-
evm.model.Ap11.935	-
evm.model.Ap11.938	S
evm.model.Ap11.1512	S
evm.model.Ap11.1514	S
evm.model.Ap11.1515	C
evm.model.Ap11.1516	T
evm.model.Ap11.1518	L
evm.model.Ap11.1519	S
evm.model.Ap11.208	E
evm.model.Ap11.206	T
evm.model.Ap11.207	F
evm.model.Ap11.205.1.5f15dbbf	T
evm.model.Ap11.205	T
evm.model.Ap11.200	O
evm.model.Ap11.201	O
evm.model.Ap11.761	-
evm.model.Ap11.762	-
evm.model.Ap11.765	-
