gene_symbol	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	diffexpressed	Protein_ID	gene	swissprot_symbol	trembl_symbol	ncbi_symbol	Swiss.Prot_Hit	SP_E.value	Swiss.Prot_Description	Trembl_Hit	TB_E.value	Trembl_Description	NCBI_hit	nr_E.value	NCBI_Description	GO_Swiss.Prot	GO_Trembl
CATL.9	2.86084395438651e-109	-2.90184458848689	0.254	0.667	7.07086191766169e-105	apo	evm.model.Ap4.5487	evm.TU.Ap4.5487	Cathepsin L	Predicted protein	cathepsin L1-like isoform X2 [Orbicella faveolata]	sp|Q26636|CATL_SARPE	1.72e-136	Cathepsin L OS=Sarcophaga peregrina PE=1 SV=1	tr|A7SHX1|A7SHX1_NEMVE	0	Predicted protein OS=Nematostella vectensis GN=v1g190019 PE=3 SV=1	ref|XP_020631217.1|	0	cathepsin L1-like isoform X2 [Orbicella faveolata]	GO:0005764; GO:0008234; GO:0030154; GO:0007275	GO:0005615; GO:0005764; GO:0004197; GO:0051603
MYS.2	5.96057331759237e-57	0.863578404329216	0.789	0.584	1.47321530117613e-52	sym	evm.model.Ap12.472	evm.TU.Ap12.472	Myosin heavy chain, striated muscle	Myosin heavy chain, striated muscle	myosin heavy chain, striated muscle-like isoform X3 [Stylophora pistillata]	sp|P24733|MYS_ARGIR	0	Myosin heavy chain, striated muscle OS=Argopecten irradians PE=1 SV=1	tr|A0A2B4SM05|A0A2B4SM05_STYPI	0	Myosin heavy chain, striated muscle OS=Stylophora pistillata GN=AWC38_SpisGene5058 PE=4 SV=1	ref|XP_022783204.1|	0	myosin heavy chain, striated muscle-like isoform X3 [Stylophora pistillata]	GO:0030016; GO:0032982; GO:0051015; GO:0005524; GO:0005516; GO:0003774	GO:0016459; GO:0051015; GO:0005524; GO:0003774
RBP2A.2	2.51537559553215e-43	0.54036769934386	0.877	0.801	6.21700232191726e-39	sym	evm.model.Ap12.2302	evm.TU.Ap12.2302	Reticulocyte-binding protein 2 homolog a	Reticulocyte-binding protein 2-like a	Reticulocyte-binding protein 2-like a [Stylophora pistillata]	sp|Q8IDX6|RBP2A_PLAF7	5.42e-08	Reticulocyte-binding protein 2 homolog a OS=Plasmodium falciparum (isolate 3D7) GN=PF13_0198 PE=1 SV=1	tr|A0A2B4RPI5|A0A2B4RPI5_STYPI	0	Reticulocyte-binding protein 2-like a OS=Stylophora pistillata GN=AWC38_SpisGene16895 PE=4 SV=1	gb|PFX18709.1|	0	Reticulocyte-binding protein 2-like a [Stylophora pistillata]	GO:0016021; GO:0016020; GO:0005886; GO:0008201; GO:0098609	
TPM2	5.92605839248694e-42	0.739834248555985	0.679	0.455	1.46468459228707e-37	sym	evm.model.Ap3.571	evm.TU.Ap3.571	Tropomyosin-2	Tropomyosin beta chain	tropomyosin-like [Orbicella faveolata]	sp|Q9U5M4|TPM2_PODCA	4.81e-14	Tropomyosin-2 OS=Podocoryna carnea GN=TPM2 PE=2 SV=1	tr|A0A2B4RTG6|A0A2B4RTG6_STYPI	8.54e-104	Tropomyosin beta chain OS=Stylophora pistillata GN=TPM2 PE=4 SV=1	ref|XP_020613743.1|	1.31e-117	tropomyosin-like [Orbicella faveolata]		
APLP	2.52305241823208e-37	0.375276021874144	0.935	0.897	6.2359763569024e-33	sym	evm.model.Ap14.1598	evm.TU.Ap14.1598	Apolipophorins	Apolipophorin	uncharacterized protein LOC110065941 [Orbicella faveolata]	sp|Q9U943|APLP_LOCMI	6.14e-65	Apolipophorins OS=Locusta migratoria PE=1 SV=2	tr|A0A2B4SDY5|A0A2B4SDY5_STYPI	0	Apolipophorin OS=Stylophora pistillata GN=2 PE=4 SV=1	ref|XP_020628786.1|	0	uncharacterized protein LOC110065941 [Orbicella faveolata]	GO:0005576; GO:0008289; GO:0005319; GO:0016055	GO:0005319
RS27	1.45752471224645e-30	0.218697613593171	0.81	0.743	3.60241807878834e-26	sym	evm.model.Ap2.4017	evm.TU.Ap2.4017	40S ribosomal protein S27	40S ribosomal protein S27	40S ribosomal protein S27 [Orbicella faveolata]	sp|P55833|RS27_HOMAM	3.49e-47	40S ribosomal protein S27 OS=Homarus americanus GN=RPS27 PE=3 SV=2	tr|A0A2B4RYK6|A0A2B4RYK6_STYPI	4.21e-56	40S ribosomal protein S27 OS=Stylophora pistillata GN=RPS27 PE=4 SV=1	gb|PFX21640.1|	6.53e-56	40S ribosomal protein S27 [Orbicella faveolata]	GO:0005840; GO:0046872; GO:0003735; GO:0006412	GO:0005840; GO:0046872; GO:0003735; GO:0006412
TYB.1	1.86272868134414e-28	0.233413545400105	0.812	0.657	4.60392020881018e-24	sym	evm.model.Ap5.610	evm.TU.Ap5.610	Thymosin beta	Uncharacterized protein (Fragment)	Thymosin beta-12 [Exaiptasia pallida]	sp|Q8T697|TYB_APLCA	3.92e-17	Thymosin beta OS=Aplysia californica PE=1 SV=1	tr|A0A0K8RQJ9|A0A0K8RQJ9_IXORI	3.91e-15	Uncharacterized protein (Fragment) OS=Ixodes ricinus PE=2 SV=1	gb|KXJ22858.1|	3.15e-15	Thymosin beta-12 [Exaiptasia pallida]	GO:0005737; GO:0005856; GO:0003785; GO:0007015	GO:0003785; GO:0007015
GLCM.1	2.4784594598987e-27	1.31977560213815	0.421	0.218	6.12576040108564e-23	sym	evm.model.Ap1.850	evm.TU.Ap1.850	Glucosylceramidase	Glucosylceramidase	glucosylceramidase-like [Orbicella faveolata]	sp|Q2KHZ8|GLCM_BOVIN	3.61e-174	Glucosylceramidase OS=Bos taurus GN=GBA PE=2 SV=1	tr|A0A2B4SJQ5|A0A2B4SJQ5_STYPI	0	Glucosylceramidase OS=Stylophora pistillata GN=GBA PE=4 SV=1	ref|XP_020606926.1|	0	glucosylceramidase-like [Orbicella faveolata]	GO:0005765; GO:0005764; GO:0004348; GO:0006680	GO:0004348; GO:0006665
FP.3	4.67813887508225e-26	0.577138326985958	0.629	0.457	1.15624880436533e-21	sym	evm.model.Ap10.194	evm.TU.Ap10.194	Fibronectin type III domain-containing protein	Receptor-type tyrosine-protein phosphatase delta	hemicentin-2-like isoform X2 [Orbicella faveolata]	sp|B8VIW9|FP_ACRMI	0	Fibronectin type III domain-containing protein OS=Acropora millepora PE=1 SV=1	tr|A0A2B4RR01|A0A2B4RR01_STYPI	1.09e-166	Receptor-type tyrosine-protein phosphatase delta OS=Stylophora pistillata GN=Ptprd PE=4 SV=1	ref|XP_020621932.1|	0	hemicentin-2-like isoform X2 [Orbicella faveolata]	GO:0016021	GO:0016021; GO:0003677; GO:0004725
MYPH.1	1.12823537959219e-23	0.958788905935562	0.363	0.261	2.78854656420005e-19	sym	evm.model.Ap6.2557	evm.TU.Ap6.2557	Myophilin	Transgelin	myophilin-like [Orbicella faveolata]	sp|Q24799|MYPH_ECHGR	2.87e-39	Myophilin OS=Echinococcus granulosus PE=2 SV=1	tr|A7RPC0|A7RPC0_NEMVE	1.46e-76	Transgelin OS=Nematostella vectensis GN=v1g161196 PE=3 SV=1	ref|XP_020605589.1|	7.49e-104	myophilin-like [Orbicella faveolata]		
