p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene_symbol,Protein_ID,gene,swissprot_symbol,trembl_symbol,ncbi_symbol
0,2.445970627664413,0.955,0.353,0,0,CATL.7,evm.model.Ap4.5489,evm.TU.Ap4.5489,Cathepsin L,Predicted protein,cathepsin L1-like [Orbicella faveolata]
0,2.645137589483151,0.748,0.181,0,0,EPDR1.1,evm.model.Ap13.2163,evm.TU.Ap13.2163,Mammalian ependymin-related protein 1,Mammalian ependymin-related protein 1,"mammalian ependymin-related protein 1-like, partial [Orbicella faveolata]"
0,2.0506162760735185,0.964,0.4,0,0,evm.TU.Ap3.1613,evm.model.Ap3.1613,evm.TU.Ap3.1613,NA,Uncharacterized protein,DNA ligase 1-like [Orbicella faveolata]
0,2.5682319136427614,0.785,0.241,0,0,HEBP2.2,evm.model.Ap1.3218,evm.TU.Ap1.3218,Heme-binding protein 2,Uncharacterized protein,uncharacterized protein LOC110064666 [Orbicella faveolata]
0,1.7778225249826756,0.916,0.389,0,0,APLP,evm.model.Ap14.1598,evm.TU.Ap14.1598,Apolipophorins,Apolipophorin,uncharacterized protein LOC110065941 [Orbicella faveolata]
0,2.186474584501862,0.957,0.43,0,0,CATB.1,evm.model.Ap9.2740,evm.TU.Ap9.2740,Cathepsin B,Cathepsin B,cathepsin B-like [Stylophora pistillata]
2.67112597579413e-310,1.7988435564914709,0.879,0.38,8.287435452498857e-306,0,CRA1B.3,evm.model.Ap7.2874,evm.TU.Ap7.2874,Collagen alpha-1(XXVII) chain B,Collagen alpha-1(XXVII) chain B,collagen alpha-1(I) chain-like [Orbicella faveolata]
1.2194469444901119e-304,2.351034664187422,0.733,0.201,3.783456089975021e-300,0,CATL.8,evm.model.Ap4.5488,evm.TU.Ap4.5488,Cathepsin L,Predicted protein,cathepsin L1-like [Orbicella faveolata]
9.541269364235316e-288,1.783140748226863,0.835,0.304,2.960274232947649e-283,0,CO4A1.4,evm.model.Ap7.124,evm.TU.Ap7.124,Collagen alpha-1(IV) chain,Collagen alpha-1(XXVII) chain B,collagen alpha-1(I) chain-like [Stylophora pistillata]
3.1545430373236336e-279,1.7253364241995546,0.849,0.339,9.787285227600306e-275,0,COA,evm.model.Ap7.113,evm.TU.Ap7.113,Collagen alpha chain (Fragment),Collagen alpha-2(I) chain,collagen alpha chain-like [Stylophora pistillata]
2.1487931504750484e-273,2.7689192650509957,0.618,0.139,6.666845628663885e-269,0,GILT,evm.model.Ap4.6695,evm.TU.Ap4.6695,Gamma-interferon-inducible lysosomal thiol reductase,Gamma-interferon-inducible lysosomal thiol reductase,gamma-interferon-inducible lysosomal thiol reductase-like [Orbicella faveolata]
2.6608299042068617e-270,1.3802970255500195,0.975,0.842,8.25549086079221e-266,0,ACTC,evm.model.Ap10.1927,evm.TU.Ap10.1927,"Actin, cytoplasmic","Actin, cytoplasmic","actin, cytoplasmic [Orbicella faveolata]"
2.4273701052500753e-266,1.501281286500416,0.776,0.248,7.531158488548884e-262,0,CO3,evm.model.Ap1.3443,evm.TU.Ap1.3443,Complement C3,Complement C3,complement C3-like [Orbicella faveolata]
4.494052002705091e-249,1.6770676807339697,0.892,0.527,1.3943245743592815e-244,0,GRN.5,evm.model.Ap7.1070,evm.TU.Ap7.1070,Granulins,Uncharacterized protein,putative kielin/chordin-like protein isoform X1 [Apostichopus japonicus]
9.565418528839772e-248,2.52810479110563,0.613,0.147,2.9677667527578276e-243,0,GSTMU,evm.model.Ap10.28,evm.TU.Ap10.28,Glutathione S-transferase Y1,Glutathione S-transferase Y1,glutathione S-transferase Mu 1-like isoform X3 [Orbicella faveolata]
4.924939063549777e-247,1.3731037769123384,0.819,0.307,1.5280115938569538e-242,0,CO4A1.2,evm.model.Ap8.1235,evm.TU.Ap8.1235,Collagen alpha-1(IV) chain,Collagen alpha-5(IV) chain,collagen alpha-5(IV) chain-like [Orbicella faveolata]
3.509853565049044e-237,2.59951959416363,0.548,0.108,1.0889671670921163e-232,0,GILT.2,evm.model.Ap4.6696,evm.TU.Ap4.6696,Gamma-interferon-inducible lysosomal thiol reductase,Gamma-interferon-inducible lysosomal thiol reductase,gamma-interferon-inducible lysosomal thiol reductase-like [Orbicella faveolata]
7.388422948186124e-235,2.0136283010361673,0.766,0.326,2.2923321039042267e-230,0,Sym.139886.c2.g4.i5,NA,NA,NA,NA,NA
4.824259251916342e-234,1.795461805295226,0.786,0.322,1.4967746754995643e-229,0,SAP,evm.model.Ap2.3217,evm.TU.Ap2.3217,Prosaposin,Prosaposin,prosaposin-like [Orbicella faveolata]
1.952800164578557e-231,1.343833356161635,0.906,0.659,6.05875779062143e-227,0,FAXC.29,evm.model.Ap2.483,evm.TU.Ap2.483,Failed axon connections homolog,Failed axon connections-like,failed axon connections homolog [Orbicella faveolata]
5.567672110179772e-229,1.6431821918032359,0.862,0.518,1.727425948904376e-224,0,LAMP1.1,evm.model.Ap8.256,evm.TU.Ap8.256,Lysosome-associated membrane glycoprotein 1,Lysosome-associated membrane glycoprotein 1,lysosome-associated membrane glycoprotein 1-like [Stylophora pistillata]
1.3887561513811865e-228,1.2907044962750698,0.936,0.752,4.3087548352752694e-224,0,SAHH,evm.model.Ap4.6582,evm.TU.Ap4.6582,Adenosylhomocysteinase,Adenosylhomocysteinase B,adenosylhomocysteinase B-like [Orbicella faveolata]
1.5355827114547602e-227,2.6504499182632024,0.579,0.138,4.764298920559539e-223,0,evm.TU.Ap2.3643,evm.model.Ap2.3643,evm.TU.Ap2.3643,NA,Uncharacterized protein,uncharacterized protein LOC110054211 [Orbicella faveolata]
8.809926134369645e-227,1.5961551564614997,0.804,0.325,2.733367682449526e-222,0,MYP,evm.model.Ap1.2268,evm.TU.Ap1.2268,Major yolk protein,Major yolk protein,major yolk protein-like isoform X2 [Stylophora pistillata]
1.735401542478542e-226,2.628734198705505,0.558,0.121,5.3842568256939244e-222,0,C163A.4,evm.model.Ap9.2720,evm.TU.Ap9.2720,Scavenger receptor cysteine-rich type 1 protein M130,Roundabout-like 2,hypothetical protein BSL78_08542 [Apostichopus japonicus]
2.16344325040088e-223,1.5872845499239627,0.798,0.327,6.712299028693771e-219,0,MLRP2.6,evm.model.Ap4.1023,evm.TU.Ap4.1023,MAM and LDL-receptor class A domain-containing protein 2 (Fragment),MAM and LDL-receptor domain-containing protein (Fragment),RecName: Full=MAM and LDL-receptor class A domain-containing protein 2; AltName: Full=Skeletal organic matrix MAM and LDL-receptor 2; Short=SOM MAM and LDL-receptor 2
2.3846664649811503e-210,2.141445911332216,0.569,0.131,7.398666174250517e-206,0,TPM2,evm.model.Ap3.571,evm.TU.Ap3.571,Tropomyosin-2,Tropomyosin beta chain,tropomyosin-like [Orbicella faveolata]
6.627023168030484e-205,2.389309684844668,0.53,0.115,2.056100208113138e-200,0,evm.TU.Ap9.2758,evm.model.Ap9.2758,evm.TU.Ap9.2758,NA,Uncharacterized protein,uncharacterized protein LOC110060818 isoform X2 [Orbicella faveolata]
9.134474741435708e-193,2.1028880821055123,0.648,0.236,2.8340621332778428e-188,0,CYTB,evm.model.Ap6.2335,evm.TU.Ap6.2335,Cystatin-B,Cystatin-B,cystatin-B-like [Stylophora pistillata]
6.214633691229304e-188,1.511248371391793,0.84,0.428,1.928152249040804e-183,0,RBP2A.2,evm.model.Ap12.2302,evm.TU.Ap12.2302,Reticulocyte-binding protein 2 homolog a,Reticulocyte-binding protein 2-like a,Reticulocyte-binding protein 2-like a [Stylophora pistillata]
