p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene_symbol,Protein_ID,gene,swissprot_symbol,trembl_symbol,ncbi_symbol
0,1.997535372279923,0.957,0.406,0,1,CATL.7,evm.model.Ap4.5489,evm.TU.Ap4.5489,Cathepsin L,Predicted protein,cathepsin L1-like [Orbicella faveolata]
6.845587328309663e-299,1.7051153350212225,0.95,0.478,1.815723582960855e-294,1,CATB.1,evm.model.Ap9.2740,evm.TU.Ap9.2740,Cathepsin B,Cathepsin B,cathepsin B-like [Stylophora pistillata]
1.5253754299306978e-266,1.395682280333686,0.958,0.451,4.0459057903481826e-262,1,evm.TU.Ap3.1613,evm.model.Ap3.1613,evm.TU.Ap3.1613,NA,Uncharacterized protein,DNA ligase 1-like [Orbicella faveolata]
7.473631194360955e-257,2.327964332158743,0.762,0.227,1.9823059379922995e-252,1,EPDR1.1,evm.model.Ap13.2163,evm.TU.Ap13.2163,Mammalian ependymin-related protein 1,Mammalian ependymin-related protein 1,"mammalian ependymin-related protein 1-like, partial [Orbicella faveolata]"
8.229266286805503e-244,2.8326498349358493,0.652,0.162,2.1827305899122917e-239,1,evm.TU.Ap2.3643,evm.model.Ap2.3643,evm.TU.Ap2.3643,NA,Uncharacterized protein,uncharacterized protein LOC110054211 [Orbicella faveolata]
3.7983621315797176e-235,2.22633227783627,0.789,0.286,1.0074775717802042e-230,1,HEBP2.2,evm.model.Ap1.3218,evm.TU.Ap1.3218,Heme-binding protein 2,Uncharacterized protein,uncharacterized protein LOC110064666 [Orbicella faveolata]
8.510791386001526e-224,2.696435190862182,0.622,0.144,2.2574023072230446e-219,1,C163A.4,evm.model.Ap9.2720,evm.TU.Ap9.2720,Scavenger receptor cysteine-rich type 1 protein M130,Roundabout-like 2,hypothetical protein BSL78_08542 [Apostichopus japonicus]
4.159163509266845e-214,2.510012437732886,0.651,0.173,1.103176529197938e-209,1,GILT,evm.model.Ap4.6695,evm.TU.Ap4.6695,Gamma-interferon-inducible lysosomal thiol reductase,Gamma-interferon-inducible lysosomal thiol reductase,gamma-interferon-inducible lysosomal thiol reductase-like [Orbicella faveolata]
2.6284459620705084e-202,2.2002677598375335,0.702,0.261,6.971690069795816e-198,1,CYTB,evm.model.Ap6.2335,evm.TU.Ap6.2335,Cystatin-B,Cystatin-B,cystatin-B-like [Stylophora pistillata]
6.0638716003895676e-201,1.9773951196657258,0.732,0.246,1.6083813032873288e-196,1,CATL.8,evm.model.Ap4.5488,evm.TU.Ap4.5488,Cathepsin L,Predicted protein,cathepsin L1-like [Orbicella faveolata]
6.154692884941328e-190,1.668541215506305,0.857,0.463,1.632470740801838e-185,1,RBP2A.2,evm.model.Ap12.2302,evm.TU.Ap12.2302,Reticulocyte-binding protein 2 homolog a,Reticulocyte-binding protein 2-like a,Reticulocyte-binding protein 2-like a [Stylophora pistillata]
2.6736131552148937e-179,1.0821348580374597,0.895,0.439,7.091491532891984e-175,1,APLP,evm.model.Ap14.1598,evm.TU.Ap14.1598,Apolipophorins,Apolipophorin,uncharacterized protein LOC110065941 [Orbicella faveolata]
1.62124102661548e-177,1.2021948669439926,0.947,0.77,4.300179698994899e-173,1,SAHH,evm.model.Ap4.6582,evm.TU.Ap4.6582,Adenosylhomocysteinase,Adenosylhomocysteinase B,adenosylhomocysteinase B-like [Orbicella faveolata]
1.9756024789518254e-172,1.2139862261808512,0.979,0.855,5.240088015171822e-168,1,ACTC,evm.model.Ap10.1927,evm.TU.Ap10.1927,"Actin, cytoplasmic","Actin, cytoplasmic","actin, cytoplasmic [Orbicella faveolata]"
1.0521363277901007e-169,1.2274102701171188,0.911,0.684,2.790686395830463e-165,1,FAXC.29,evm.model.Ap2.483,evm.TU.Ap2.483,Failed axon connections homolog,Failed axon connections-like,failed axon connections homolog [Orbicella faveolata]
8.107046335890915e-159,2.1612434728135823,0.594,0.17,2.1503129701317063e-154,1,MLP2,evm.model.Ap12.2615,evm.TU.Ap12.2615,Muscle LIM protein Mlp84B,Transgelin,cysteine and glycine-rich protein 1-like [Stylophora pistillata]
2.4951633794474825e-155,1.398380823702757,0.867,0.551,6.618171347646503e-151,1,LAMP1.1,evm.model.Ap8.256,evm.TU.Ap8.256,Lysosome-associated membrane glycoprotein 1,Lysosome-associated membrane glycoprotein 1,lysosome-associated membrane glycoprotein 1-like [Stylophora pistillata]
4.1600928035794135e-154,1.1896110457615565,0.757,0.298,1.1034230152214037e-149,1,CO3,evm.model.Ap1.3443,evm.TU.Ap1.3443,Complement C3,Complement C3,complement C3-like [Orbicella faveolata]
1.744232134454568e-151,2.0299247791774464,0.613,0.188,4.6264013134272957e-147,1,GSTMU,evm.model.Ap10.28,evm.TU.Ap10.28,Glutathione S-transferase Y1,Glutathione S-transferase Y1,glutathione S-transferase Mu 1-like isoform X3 [Orbicella faveolata]
4.16841948785462e-149,1.2163622204706153,0.849,0.43,1.1056315849585595e-144,1,CRA1B.3,evm.model.Ap7.2874,evm.TU.Ap7.2874,Collagen alpha-1(XXVII) chain B,Collagen alpha-1(XXVII) chain B,collagen alpha-1(I) chain-like [Orbicella faveolata]
1.60557552348809e-146,1.2973213701042954,0.8,0.357,4.25862851849981e-142,1,CO4A1.4,evm.model.Ap7.124,evm.TU.Ap7.124,Collagen alpha-1(IV) chain,Collagen alpha-1(XXVII) chain B,collagen alpha-1(I) chain-like [Stylophora pistillata]
1.5044401554382825e-142,2.045806588984231,0.545,0.147,3.9903770682845003e-138,1,GILT.2,evm.model.Ap4.6696,evm.TU.Ap4.6696,Gamma-interferon-inducible lysosomal thiol reductase,Gamma-interferon-inducible lysosomal thiol reductase,gamma-interferon-inducible lysosomal thiol reductase-like [Orbicella faveolata]
5.903997410253999e-142,2.0408219868650885,0.592,0.202,1.5659762730957706e-137,1,evm.TU.Ap8.259,evm.model.Ap8.259,evm.TU.Ap8.259,NA,Uncharacterized protein,uncharacterized protein LOC110065474 [Orbicella faveolata]
1.591596260035683e-141,1.2316184269364063,0.818,0.39,4.2215499201186457e-137,1,COA,evm.model.Ap7.113,evm.TU.Ap7.113,Collagen alpha chain (Fragment),Collagen alpha-2(I) chain,collagen alpha chain-like [Stylophora pistillata]
2.8980476182363245e-138,2.210180998122042,0.524,0.141,7.686781502610027e-134,1,MRC1.11,evm.model.Ap13.1003,evm.TU.Ap13.1003,Macrophage mannose receptor 1,Macrophage mannose receptor 1,macrophage mannose receptor 1-like isoform X2 [Orbicella faveolata]
4.6501385738913095e-137,1.3963517153541876,0.78,0.365,1.233402755338931e-132,1,SAP,evm.model.Ap2.3217,evm.TU.Ap2.3217,Prosaposin,Prosaposin,prosaposin-like [Orbicella faveolata]
