query	Preferred_name
g266	g266
g267	ITLN1
g268	COQ9
g269	g269
g270	SOCS6
g271	ITFG1
g272	MASP1
g274	g274
g275	GPR133
g276	g276
g277	g277
g278	g278
g279	g279
g280	g280
g281	g281
g282	ADRA1D
g283	ADORA2B
g285	g285
g286	g286
g287	g287
g288	DNAJA2
g290	g290
g291	SLC9A8
g292	EIF6
g293	C8orf37
g294	PEPD
g295	PRRT4
g296	g296
g297	PEPD.1
g298	PEPD.2
g299	HKR1
g300	RSPRY1
g301	TAF4B
g302	g302
g303	TMPPE
g304	g304
g305	g305
g306	KIF15
g307	g307
g308	g308
g309	g309
g310	GSS
g311	g311
g312	g312
g313	SLC3A1
g314	METTL9
g315	TMEM64
g316	MPHOSPH6
g317	C5orf49
g318	g318
g319	DEF8
g320	BBS10
g321	CWC2
g322	NCOA5
g323	g323
g324	Mmp1
g325	Mmp1.1
g326	NELFCD
g327	SLMO2
g328	g328
g329	g329
g330	MED10
g331	g331
g332	XYLB
g333	g333
g334	UBA3
g335	TMPPE.1
g336	AARS
g337	FA2H
g338	g338
g340	g340
g341	PYURF
g342	PRMT5
g343	g343
g344	KCNA2
g345	MYLIP
g346	GAS8
g348	SIAE
g349	g349
g368	g368
g369	PPP4R1
g370	g370
g371	g371
g372	CSRNP3
g373	FIBCD1
g374	HIPK1
g375	TNR
g376	TNR.1
g377	g377
g378	fibcd1
g379	TNR.2
g382	TNR.3
g383	TNR.4
g384	TNR.5
g386	USP10
g387	AFG3L2
g388	g388
g389	KIAA1143
g390	g390
g391	TRPM2
g392	PPP1R3E
g393	PPP1R3D
g394	PPP1R3C
g395	PPP1R3E.1
g396	g396
g397	g397
g398	TBC1D32
g399	TNR.6
g400	g400
g401	g401
g402	FIBCD1.1
g405	Top1
g406	PLA2G15
g407	g407
g408	g408
g409	DTX1
g410	g410
g411	g411
g412	TRIM71
g413	g413
g414	DTX1.1
g415	DTX3L
g417	KLHDC2
g418	KLHDC2.1
g419	g419
g420	g420
g421	g421
g422	PARP14
g423	g423
g424	PARP12
g425	g425
g427	TMEM151B
g429	TMEM151B.1
g430	g430
g431	g431
g432	MIB2
g434	MAF
g435	MAFG
g436	MAFG.1
g437	MAFB
g438	MAF.1
g439	MAFG.2
g440	MAF.2
g441	g441
g447	g447
g448	g448
g449	g449
g450	g450
g451	g451
g452	g452
g453	g453
g454	g454
g455	g455
g456	g456
g462	g462
g467	ZDHHC1
g468	g468
g470	g470
g471	ymdB
g472	g472
g474	TNR.7
g475	g475
g476	MTSS1
g480	FAM96B
g481	g481
g482	ninaE
g483	TRIM59
g484	npr.9
g485	DRD2
g486	g486
g487	g487
g488	g488
g489	g489
g490	FAM192A
g491	LRRC69
g492	g492
g493	C7orf72
g494	NDUFB9
g495	g495
g496	g496
g499	FANCA
g500	g500
g501	ATXN1L
g502	GMPR
g503	CDYL2
g505	g505
g506	NEURL2
g507	SEH1L
g508	PABPN1
g509	TRAPPC2L
g510	GALNS
g511	AURKA
g512	FAM210B
g513	DUSP19
g514	MC5R
g515	PKD1L2
g516	g516
g517	ACTR2
g518	ANGPT4
g519	VPS4B
g520	g520
g521	ATP6V0D1
g522	GINS2
g523	g523
g524	g524
g525	g525
g526	KIAA0391
g527	g527
g528	g528
g529	FAM92A1
g531	PIGU
g533	ung
g536	g536
g537	g537
g538	GFOD2
g539	OPLAH
g540	CCNE1
g541	OPLAH.1
g542	g542
g543	TP53INP1
g544	SNX21
g545	SNX20
g546	g546
g547	LSM14B
g548	SS18
g549	NLRP3
g550	g550
g552	PSMA7
g553	CENPT
g554	ENY2
g555	HTR7
g556	g556
g557	sd
g558	HTR7.1
g559	g559
g560	g560
g562	g562
g563	g563
g564	g564
g565	g565
g567	g567
g568	g568
g569	g569
g570	g570
g571	RBM28
g572	COG4
g573	TRIP4
g574	KIAA0355
g575	C18orf63
g576	SOX21
g577	g577
g578	C18orf63.1
g579	g579
g580	g580
g582	g582
g584	RIPK1
g585	g585
g586	TNR.8
g587	g587
g589	ANKRD44
g590	KLHL17
g591	CBLN4
g592	g592
g593	CYBA
g594	CDT1
g595	FAM69C
g596	CBFB
g597	KATNB1
g598	C8orf82
g599	AKTIP
g600	CCNDBP1
g601	TNR.9
g602	TNR.10
g603	NELL1
g604	fibcd1.1
g606	g606
g607	g607
g608	g608
g609	HIPK1.1
g610	g610
g612	g612
g613	g613
g614	g614
g615	BLVRA
g617	C1GALT1
g618	C1GALT1.1
g619	MROH1
g621	g621
g622	TAT
g623	CYB5A
g624	CMIP
g625	g625
g626	g626
g627	g627
g628	g628
g629	g629
g630	g630
g631	g631
g632	NFS1
g633	g633
g634	CYB5A.1
g635	SAMD9L
g636	SAMD9L.1
g637	DCDC2
g639	FURIN
g640	ARPC4
g641	CNOT1
g642	GPX1
g643	g643
g644	g644
g645	g645
g647	HSFA3
g651	g651
g653	SIRT1
g655	g655
g659	g659
g660	ADCK5
g661	NUDT21
g662	ARSB
g663	CYC1
g664	GPAA1
g665	g665
g666	g666
g667	g667
g668	g668
g669	WDR49
g670	g670
g671	g671
g672	g672
g673	KLHL18
g674	g674
g675	g675
g676	g676
g677	Sult5a1
g678	SULT1C3
g679	SULT1C3.1
g680	SULT1B1
g681	Sult5a1.1
g682	GOT2
g683	g683
g684	RBFA
g685	C5orf22
g686	g686
g687	NSMAF
g688	TMEM55A
g689	g689
g692	g692
g693	g693
g694	KIAA1429
g695	RNF151
g696	Sult5a1.2
g697	SULT1C3.2
g698	g698
g699	g699
g700	g700
g701	g701
g702	SULT1C3.3
g703	SULT1C3.4
g705	SULT1C3.5
g706	UGT2A3
g707	UGT2A3.1
g708	SULT1B1.1
g709	SULT1C3.6
g710	SULT1C3.7
g711	g711
g712	g712
g713	g713
g714	g714
g716	g716
g717	g717
g718	g718
g719	MCUR1
g720	g720
g721	g721
g722	FITM2
g723	TIMM21
g728	g728
g731	g731
g732	TMEM231
g733	g733
g734	g734
g735	OTUD6B
g736	KARS
g737	PQLC1
g738	RABGGTA
g739	MC2R
g740	TDRD12
g741	g741
g742	RAB30
g745	g745
g746	g746
g747	g747
g748	g748
g749	g749
g750	g750
g751	NCAN
g752	g752
g753	g753
g754	g754
g755	g755
g756	g756
g757	g757
g758	g758
g759	g759
g760	g760
g761	g761
g762	g762
g763	g763
g764	g764
g765	g765
g766	g766
g767	g767
g768	g768
g769	g769
g770	g770
g771	g771
g772	RIMS1
g773	PMPCB
g774	LDHD
g775	CD209
g777	NPY4R
g778	JARID2
g779	g779
g781	g781
g782	PARP2
g783	MOXD1
g784	MOXD1.1
g785	MOXD1.2
g786	MOXD1.3
g787	DBH
g788	CNR2
g789	PRPF4B
g790	NEGR1
g791	PXDN
g795	CDK10
g796	g796
g797	fabD
g798	TRIM71.1
g799	g799
g800	g800
g801	g801
g802	g802
g803	HERPUD2
g804	g804
g805	g805
g806	CPAMD8
g807	Gstt1
g808	TSNAXIP1
g809	SHARPIN
g810	PMFBP1
g811	g811
g812	g812
g813	BBS4
g814	SLC47A2
g815	g815
g816	g816
g817	CTHRC1
g818	g818
g819	CTHRC1.1
g820	g820
g821	ANKRD12
g822	COTL1
g824	g824
g825	PFDN4
g826	METTL17
g827	L1CAM
g828	TPX2
g829	g829
g830	g830
g831	P4HTM
g832	GPR50
g833	g833
g834	P4HTM.1
g835	P4HTM.2
g836	P4HTM.3
g837	P4HTM.4
g838	g838
g839	IFI30
g840	IFI30.1
g841	IFI30.2
g842	P4HTM.5
g843	P4HTM.6
g844	P4HTM.7
g845	TACR2
g846	SSTR5
g847	HRH2
g848	P4HTM.8
g849	P4HTM.9
g850	SDR39U1
g851	RPGRIP1L
g852	g852
g853	g853
g854	g854
g856	PDCD5
g857	g857
g858	g858
g859	GPRGHP1
g860	CEP89
g861	g861
g862	g862
g863	NUP93
g865	g865
g866	g866
g867	g867
g868	g868
g870	g870
g871	g871
g873	FMN2
g875	VPS35
g876	ABCB9
g877	ANLN
g878	TCAIM
g879	g879
g880	g880
g881	g881
g882	g882
g883	SLC6A18
g884	g884
g885	CCDC102A
g886	g886
g887	morgue
g888	NDUFAF6
g889	DHODH
g890	WRNIP1
g891	SYS1
g892	g892
g893	C19orf12
g894	C19orf12.1
g895	NAGPA
g896	g896
g897	TUBB4B
g898	TUBB
g899	TUBB4B.1
g900	TUBB4B.2
g901	g901
g902	NUDCD1
g903	SACM1L
g904	RPRD1A
g905	DIO3
g906	Tnn
g907	DIO3.1
g908	DIO3.2
g909	g909
g910	ATP9B
g912	g912
g913	g913
g915	g915
g916	g916
g917	g917
g918	g918
g920	g920
g922	g922
g923	g923
g925	g925
g929	LONP2
g930	Mrpl52
g931	g931
g932	PRSS23
g933	CHMP1A
g934	RBM39
g935	g935
g936	MPPE1
g937	AHCY
g938	g938
g939	g939
g940	g940
g941	g941
g942	PDP1
g943	DCLK1
g944	g944
g945	Aprt
g946	g946
g947	g947
g948	g948
g949	PSMB5
g950	CYLD
g951	g951
g952	g952
g953	URI1
g954	ULK4
g955	g955
g956	g956
g957	EDIL3
g958	g958
g959	g959
g960	EDIL3.1
g961	g961
g962	g962
g963	g963
g964	MFGE8
g965	g965
g966	MFGE8.1
g967	ZNRF2
g968	DSE
g969	DSE.1
g970	DSE.2
g971	DSE.3
g972	TMX3
g973	RPL13
g974	C20orf24
g975	RHPN2
g977	RABIF
g978	ABHD5
g979	ABHD5.1
g980	CPNE4
g981	MRPS17
g982	RNF212B
g983	TBC1D31
g984	SLC12A6
g985	g985
g986	g986
g987	SSPO
g988	g988
g989	GPI
g990	TMEM161B
g991	g991
g992	g992
g993	g993
g994	BTBD8
g995	g995
g996	EIF2S2
g997	OSGIN2
g998	LPCAT2
g999	g999
g1000	sls
g1001	g1001
g1002	LPCAT2.1
g1003	LRIG3
g1005	g1005
g1007	LPCAT2.2
g1008	LPCAT2.3
g1009	LPCAT2.4
g1012	g1012
g1013	g1013
g1015	JPH3
g1017	HYDIN
g1018	g1018
g1019	g1019
g1020	g1020
g1021	g1021
g1022	g1022
g1036	g1036
g1037	g1037
g1038	g1038
g1039	g1039
g1040	g1040
g1041	CNBD1
g1042	OXA1L
g1043	g1043
g1045	g1045
g1047	ANKRD42
g1048	g1048
g1049	TRIP13
g1050	CEP76
g1051	g1051
g1052	g1052
g1053	KLHL18.1
g1054	DGAT1
g1055	KLHL18.2
g1056	KLHL18.3
g1057	g1057
g1058	IRX4
g1059	AP1G1
g1061	g1061
g1062	g1062
g1063	E2F4
g1064	PSKH1
g1065	WDR89
g1066	g1066
g1067	TMEM229A
g1068	DIRAS1
g1069	DIRAS1.1
g1070	g1070
g1071	g1071
g1072	g1072
g1073	FBXO15
g1074	HSBP1
g1075	DGAT1.1
g1077	g1077
g1078	g1078
g1079	g1079
g1080	TMEM145
g1081	VPS9D1
g1082	g1082
g1083	g1083
g1084	g1084
g1085	ACOT4
g1086	ACOT4.1
g1087	g1087
g1088	SLC35C2
g1089	g1089
g1090	NWD2
g1091	CEP192
g1092	C20orf85
g1093	g1093
g1094	g1094
g1095	g1095
g1096	g1096
g1097	g1097
g1098	g1098
g1099	g1099
g1100	g1100
g1101	g1101
g1102	g1102
g1103	g1103
g1104	g1104
g1105	g1105
g1106	g1106
g1108	g1108
g1109	ACTR2.1
g1112	g1112
g1113	CHST6
g1114	CHST6.1
